# COUNTERFACTUAL EMITTER-FOLLOWER HEADROOM RESISTOR AUDIT TSV V2 (t >= 2.0ns)
# Classification: PROVISIONAL_COUNTERFACTUAL (Frozen-waveform assumption)
device_instance	r_lower_max_ohm	t_r_lower_max_ns	vce_at_r_lower_max_V	ic_at_r_lower_max_A	clk_p_at_r_lower_max_V	clk_n_at_r_lower_max_V	r_upper_min_ohm	t_r_upper_min_ns	vce_at_r_upper_min_V	ic_at_r_upper_min_A	clk_p_at_r_upper_min_V	clk_n_at_r_upper_min_V	common_r_lower_choice_ohm	vce_est_min_at_common_r_V	vce_est_max_at_common_r_V	max_resistor_drop_at_common_r_V	max_resistor_power_at_common_r_W	device_interval_width_ohm
XQSEF1_M	7.31388826550752071e+01	2.2009800000e+00	1.67958556854659014e+00	1.08814307325308173e-03	1.19999999999999996e+00	0.00000000000000000e+00	5.38397754496273819e+02	3.9158187121e+00	9.88234058944677529e-01	1.09256410159999759e-03	0.00000000000000000e+00	1.19999999999999996e+00	7.37045910482929543e+01	8.80905117180887265e-01	1.59938442833043903e+00	9.05864487250629818e-02	1.11335054925435596e-04	4.65258871841198584e+02
XQSEF2_M	7.31620690786553212e+01	2.0009800000e+00	1.67959542710383403e+00	1.08793296999654598e-03	1.19999999999999996e+00	0.00000000000000000e+00	5.38570164733267575e+02	3.7158188564e+00	9.88326820946369700e-01	1.09238658112029759e-03	0.00000000000000000e+00	1.19999999999999996e+00	7.37045910482929543e+01	8.81029810304088556e-01	1.59940977246228377e+00	9.05861655982063002e-02	1.11334358973771229e-04	4.65408095654612225e+02
XQSEF1_S	7.36119305575678027e+01	2.3029800000e+00	1.68019800902126493e+00	1.08947025860905012e-03	0.00000000000000000e+00	1.19999999999999996e+00	5.38667746909887683e+02	3.6138056023e+00	9.88980408709781100e-01	1.09340203137929851e-03	1.19999999999999996e+00	0.00000000000000000e+00	7.37045910482929543e+01	8.80629084889121838e-01	1.59989904915120684e+00	9.05182042714453294e-02	1.11167366754107662e-04	4.65055816352319880e+02
XQSEF2_S	7.37045910482929543e+01	2.1029800000e+00	1.68026466701757160e+00	1.08900498430254157e-03	0.00000000000000000e+00	1.19999999999999996e+00	5.38751073070295206e+02	3.8138056788e+00	9.88940919233931681e-01	1.09315962171102317e-03	1.19999999999999996e+00	0.00000000000000000e+00	7.37045910482929543e+01	8.80636250279263177e-01	1.60000000000000009e+00	9.05028067570453204e-02	1.11129549929071776e-04	4.65046482022002237e+02
