instance	Nx	raw_vector	sample_count	finite_count	nonfinite_count	scalar_min	scalar_max	scalar_mean	scalar_final	t_at_scalar_max_ns
XQ1_M	1	v(xdiv2.xq1_m.t)	1141	1141	0	1.52921600921929723e+01	1.69937533252553159e+01	1.61632386570628839e+01	1.52921600921929723e+01	2.1021400000e+00
XQ2_M	1	v(xdiv2.xq2_m.t)	1141	1141	0	1.54618311580532772e+01	1.70801433538495928e+01	1.62153304198745580e+01	1.54618311580532772e+01	2.0000000000e+00
XQ3_M	1	v(xdiv2.xq3_m.t)	1141	1141	0	1.07456919467628653e+00	2.02822279046739595e+00	1.58120387287020892e+00	1.99355085368707896e+00	3.8021000000e+00
XQ4_M	1	v(xdiv2.xq4_m.t)	1141	1141	0	1.07594754444265761e+00	2.02827947915708862e+00	1.49083628195532425e+00	2.02827947915708862e+00	4.0000000000e+00
XQCLK_TRACK_M	1	v(xdiv2.xqclk_track_m.t)	1141	1141	0	5.20386067635485006e+00	5.29469243016491564e+00	5.25060200092121132e+00	5.20399435127997290e+00	2.1013000000e+00
XQCLK_LATCH_M	1	v(xdiv2.xqclk_latch_m.t)	1141	1141	0	7.52182415522803405e-01	1.39588966809523307e+00	1.06669016108076398e+00	1.39588966809523307e+00	4.0000000000e+00
XQEF1_M	1	v(xdiv2.xqef1_m.t)	1141	1141	0	1.34921081429824827e+01	1.35555759666727393e+01	1.35248514031643463e+01	1.35456094728284775e+01	2.0098049970e+00
XQEF2_M	1	v(xdiv2.xqef2_m.t)	1141	1141	0	1.35000207117529918e+01	1.35644752650577232e+01	1.35332425881726284e+01	1.35139741540686309e+01	2.2098050756e+00
XQSEF1_M	3	v(xdiv2.xqsef1_m.t)	1141	1141	0	5.83653929502255409e+00	5.88819385559904784e+00	5.86262340109003421e+00	5.84293514767566524e+00	3.8058056788e+00
XQSEF2_M	3	v(xdiv2.xqsef2_m.t)	1141	1141	0	5.83077150707568936e+00	5.88289967724350671e+00	5.85704836437624632e+00	5.88289967724350671e+00	4.0000000000e+00
XQP1_COMP_M	1	v(xdiv2.xqp1_comp_m.t)	1141	1141	0	3.12330648271415212e+00	3.12421755747360841e+00	3.12374637413784662e+00	3.12421667269379055e+00	3.9986000000e+00
XQP2_COMP_M	4	v(xdiv2.xqp2_comp_m.t)	1141	1141	0	7.82185260238014046e-01	7.82216393021696099e-01	7.82201895163663785e-01	7.82215992084871803e-01	3.9982000000e+00
XQS_COMP_M	6	v(xdiv2.xqs_comp_m.t)	1141	1141	0	1.01187433343151367e+00	1.03417192314552042e+00	1.02372923991296250e+00	1.03405224747824964e+00	3.9980000000e+00
XQ1_S	1	v(xdiv2.xq1_s.t)	1141	1141	0	1.08399444325496930e+00	2.04618174162366762e+00	1.59530191927586706e+00	2.01115633850725795e+00	3.8021000000e+00
XQ2_S	1	v(xdiv2.xq2_s.t)	1141	1141	0	1.08601396705376274e+00	2.04682732775033438e+00	1.50469141967236064e+00	2.04682732775033438e+00	4.0000000000e+00
XQ3_S	1	v(xdiv2.xq3_s.t)	1141	1141	0	1.54431452415759676e+01	1.70699596960237976e+01	1.62007306093225267e+01	1.54431452415759676e+01	2.0000000000e+00
XQ4_S	1	v(xdiv2.xq4_s.t)	1141	1141	0	1.52746214822130106e+01	1.69829144602071693e+01	1.61490433309859185e+01	1.52746214822130106e+01	2.1021400000e+00
XQCLK_TRACK_S	1	v(xdiv2.xqclk_track_s.t)	1141	1141	0	7.52000089467494970e-01	1.39555957752435766e+00	1.06643041131143668e+00	1.39555957752435766e+00	4.0000000000e+00
XQCLK_LATCH_S	1	v(xdiv2.xqclk_latch_s.t)	1141	1141	0	5.20419547546180183e+00	5.29488973526490536e+00	5.25087184574844823e+00	5.20432924041206668e+00	2.1013000000e+00
XQEF1_S	1	v(xdiv2.xqef1_s.t)	1141	1141	0	1.34954181825950670e+01	1.35584577926443988e+01	1.35280440077430519e+01	1.35188893880155909e+01	2.1118200926e+00
XQEF2_S	1	v(xdiv2.xqef2_s.t)	1141	1141	0	1.35256537499752056e+01	1.35931450126919060e+01	1.35606123435599049e+01	1.35631308210463839e+01	2.3118199169e+00
XQSEF1_S	3	v(xdiv2.xqsef1_s.t)	1141	1141	0	5.84597713147325493e+00	5.89507330231094517e+00	5.87042877902590998e+00	5.87345650080121473e+00	3.9078187121e+00
XQSEF2_S	3	v(xdiv2.xqsef2_s.t)	1141	1141	0	5.82254539361055645e+00	5.87624334945590121e+00	5.84931841551384668e+00	5.85337307306973731e+00	3.7078188564e+00
XQP1_COMP_S	1	v(xdiv2.xqp1_comp_s.t)	1141	1141	0	3.12331002156953597e+00	3.12422144786871758e+00	3.12374759526008372e+00	3.12422073251468335e+00	3.9986000000e+00
XQP2_COMP_S	4	v(xdiv2.xqp2_comp_s.t)	1141	1141	0	7.82185909557686077e-01	7.82217089440642166e-01	7.82201955672262694e-01	7.82216678597290827e-01	3.9138187121e+00
XQS_COMP_S	6	v(xdiv2.xqs_comp_s.t)	1141	1141	0	1.01187520407599241e+00	1.03417244742384429e+00	1.02372947156266814e+00	1.03405283957066163e+00	3.9980000000e+00
