seed,point_status,reason_code,selected_attempt_id,vos_mV
2001,complete,none,1,-5.354270989685
2002,complete,none,1,9.224359082347
2003,complete,none,1,4.735356061926
2004,complete,none,1,-5.174324173388
2005,complete,none,1,-7.703416071387
2006,complete,none,1,1.433379928628
2007,complete,none,1,4.225936160214
2008,complete,none,1,13.515068201696
2009,complete,none,1,9.826752919478
2010,complete,none,1,5.773853478247
2011,complete,none,1,-11.521121220104
2012,complete,none,1,8.499912734366
2013,complete,none,1,-10.649120631635
2014,complete,none,1,-3.648418006658
2015,complete,none,1,-18.211305200188
2016,complete,none,1,-4.341006611251
2017,complete,none,1,8.557197526030
2018,complete,none,1,-1.913448014629
2019,complete,none,1,-8.066506458174
2020,complete,none,1,4.326159810274
2021,complete,none,1,5.108030123666
2022,complete,none,1,2.249844450363
2023,complete,none,1,7.878231756405
2024,complete,none,1,7.256810532299
2025,complete,none,1,2.239258670639
2026,complete,none,1,-13.301036081324
2027,complete,none,1,-10.331322646048
2028,complete,none,1,-6.892156000254
2029,complete,none,1,-4.367120498395
2030,complete,none,1,-10.307751862148
2031,complete,none,1,8.465059613576
2032,complete,none,1,-9.684573748825
2033,complete,none,1,6.084139531811
2034,complete,none,1,-11.784036632377
2035,complete,none,1,5.675338397142
2036,complete,none,1,-8.396096650216
2037,complete,none,1,-5.933750035631
2038,complete,none,1,6.924934623971
2039,complete,none,1,-8.150946137905
2040,complete,none,1,19.543175073915
2041,complete,none,1,-0.998794759547
2042,complete,none,1,3.472161903015
2043,complete,none,1,-6.796153965694
2044,complete,none,1,5.651266292549
2045,complete,none,1,1.336655969327
2046,complete,none,1,-17.980044226760
2047,complete,none,1,4.290956436803
2048,complete,none,1,3.211777687799
2049,complete,none,1,1.469382555687
2050,complete,none,1,-14.791416458460
2051,complete,none,1,-2.919230314065
2052,complete,none,1,4.363879336034
2053,complete,none,1,7.181623797993
2054,complete,none,1,0.749898466619
2055,complete,none,1,5.821781848189
2056,complete,none,1,-12.712752608238
2057,complete,none,1,-2.480799895343
2058,complete,none,1,-1.192316554282
2059,complete,none,1,-7.770962849177
2060,complete,none,1,4.410669235906
2061,complete,none,1,4.198182955116
2062,complete,none,1,1.165467901496
2063,complete,none,1,0.803796759188
2064,complete,none,1,-7.858668063233
2065,complete,none,1,1.626776664454
2066,complete,none,1,-4.252061455363
2067,complete,none,1,9.147364987970
2068,complete,none,1,-11.026128079996
2069,complete,none,1,3.696115888387
2070,complete,none,1,12.754206074259
2071,complete,none,1,-1.365231821676
2072,complete,none,1,10.405951961781
2073,complete,none,1,1.274954909636
2074,complete,none,1,-0.581871012630
2075,complete,none,1,-4.560248957736
2076,complete,none,1,-5.000676987982
2077,complete,none,1,2.502022416120
2078,complete,none,1,12.785110747793
2079,complete,none,1,-2.606130749756
2080,complete,none,1,13.123815319970
2081,complete,none,1,-12.089765212298
2082,complete,none,1,-3.145568078182
2083,complete,none,1,-7.032503723121
2084,complete,none,1,5.610497018911
2085,complete,none,1,-2.069471063058
2086,complete,none,1,8.084846113464
2087,complete,none,1,-7.561940675498
2088,complete,none,1,1.063162121259
2089,complete,none,1,8.270282859093
2090,complete,none,1,8.304703431012
2091,complete,none,1,-8.394921970721
2092,complete,none,1,13.278285763405
2093,complete,none,1,-4.711666860903
2094,complete,none,1,-3.982064125206
2095,complete,none,1,0.583260704825
2096,complete,none,1,4.959572617882
2097,complete,none,1,6.078995501799
2098,complete,none,1,-0.370422653892
2099,complete,none,1,-0.342188078770
2100,complete,none,1,-4.309565197264
2101,complete,none,1,7.527064499677
2102,complete,none,1,6.978577578750
2103,complete,none,1,9.565476081920
2104,complete,none,1,-3.767566876789
2105,complete,none,1,-2.191284376700
2106,complete,none,1,-6.668763436282
2107,complete,none,1,-16.637400634111
2108,complete,none,1,-22.435466072107
2109,complete,none,1,-3.725696903196
2110,complete,none,1,7.544885567683
2111,complete,none,1,4.075199025831
2112,complete,none,1,-4.336621027609
2113,complete,none,1,-11.120745004769
2114,complete,none,1,10.303338975324
2115,complete,none,1,1.202465354696
2116,complete,none,1,10.538249173287
2117,complete,none,1,-6.492560332252
2118,complete,none,1,-2.774692889601
2119,complete,none,1,5.296225009783
2120,complete,none,1,5.422655843704
2121,complete,none,1,-9.701785995394
2122,complete,none,1,10.444888118657
2123,complete,none,1,-1.408671172879
2124,complete,none,1,6.926409557458
2125,complete,none,1,-19.614434663162
2126,complete,none,1,-9.081969664190
2127,complete,none,1,8.318662990385
2128,complete,none,1,3.313104443654
2129,complete,none,1,9.330896466957
2130,complete,none,1,-0.154999440313
2131,complete,none,1,11.917961613809
2132,complete,none,1,-8.200605417250
2133,complete,none,1,-15.113824963372
2134,complete,none,1,-12.469325995989
2135,complete,none,1,9.476161632722
2136,complete,none,1,-4.404523859354
2137,complete,none,1,-1.688241777546
2138,complete,none,1,-0.398807770780
2139,complete,none,1,7.576495506594
2140,complete,none,1,3.137945464385
2141,complete,none,1,3.272219921171
2142,complete,none,1,10.766472610221
2143,complete,none,1,1.494501504285
2144,complete,none,1,-0.459103093614
2145,unknown,native_nonconvergence,2,
2146,complete,none,1,11.697101594393
2147,complete,none,1,3.289818558588
2148,complete,none,1,0.078781159261
2149,complete,none,1,-8.045317706941
2150,complete,none,1,-3.546536064651
2151,complete,none,1,-1.372443469521
2152,complete,none,1,-5.952915880071
2153,complete,none,1,-9.139523199159
2154,complete,none,1,-4.951655917781
2155,complete,none,1,-15.469149692733
2156,complete,none,1,9.990471366680
2157,complete,none,1,-2.266440438812
2158,complete,none,1,-1.941051352293
2159,complete,none,1,11.506241487142
2160,complete,none,1,0.349344264682
2161,complete,none,1,8.684656681381
2162,complete,none,1,-4.905766033726
2163,complete,none,1,-3.203094151000
2164,complete,none,1,5.993584273191
2165,complete,none,1,3.050478871807
2166,complete,none,1,-8.796411218313
2167,complete,none,1,-3.899229492250
2168,complete,none,1,-6.504193863319
2169,complete,none,1,3.043800777170
2170,complete,none,1,4.077157484984
2171,complete,none,1,-6.317184176836
2172,complete,none,1,1.250732000003
2173,complete,none,1,3.137720097357
2174,complete,none,1,-2.685361567571
2175,complete,none,1,-0.188587775742
2176,complete,none,1,-0.149279067710
2177,complete,none,1,9.649818072651
2178,complete,none,1,-1.630659811026
2179,complete,none,1,4.668041520660
2180,complete,none,1,-1.356807856228
2181,complete,none,1,4.007932094020
2182,complete,none,1,-6.300931678365
2183,complete,none,1,3.061530475740
2184,complete,none,1,11.521389309788
2185,complete,none,1,-4.455549369366
2186,complete,none,1,-5.262656845544
2187,complete,none,1,-4.544580652207
2188,complete,none,1,2.448250725419
2189,complete,none,1,3.110072394792
2190,complete,none,1,-6.035601402190
2191,complete,none,1,-6.155535719612
2192,complete,none,1,-11.343136996338
2193,complete,none,1,-6.186892621343
2194,complete,none,1,9.481346420824
2195,complete,none,1,1.802002970799
2196,complete,none,1,0.365279224083
2197,complete,none,1,-13.399295477557
2198,complete,none,1,-3.163184047826
2199,complete,none,1,1.405097283907
