seed	attempt_count	selected_attempt_id	point_status	reason_code	reconciliation_rule	deck_file	selected_log_file	selected_raw_file
2067	1	1	complete	none	single_attempt	tb_comp_mc_seed2067.cir	log_comp_mc_seed2067.log	raw_comp_mc_seed2067.txt
2068	1	1	complete	none	single_attempt	tb_comp_mc_seed2068.cir	log_comp_mc_seed2068.log	raw_comp_mc_seed2068.txt
2069	1	1	complete	none	single_attempt	tb_comp_mc_seed2069.cir	log_comp_mc_seed2069.log	raw_comp_mc_seed2069.txt
2070	1	1	complete	none	single_attempt	tb_comp_mc_seed2070.cir	log_comp_mc_seed2070.log	raw_comp_mc_seed2070.txt
2071	1	1	complete	none	single_attempt	tb_comp_mc_seed2071.cir	log_comp_mc_seed2071.log	raw_comp_mc_seed2071.txt
2072	1	1	complete	none	single_attempt	tb_comp_mc_seed2072.cir	log_comp_mc_seed2072.log	raw_comp_mc_seed2072.txt
2073	1	1	complete	none	single_attempt	tb_comp_mc_seed2073.cir	log_comp_mc_seed2073.log	raw_comp_mc_seed2073.txt
2074	1	1	complete	none	single_attempt	tb_comp_mc_seed2074.cir	log_comp_mc_seed2074.log	raw_comp_mc_seed2074.txt
2075	1	1	complete	none	single_attempt	tb_comp_mc_seed2075.cir	log_comp_mc_seed2075.log	raw_comp_mc_seed2075.txt
2076	1	1	complete	none	single_attempt	tb_comp_mc_seed2076.cir	log_comp_mc_seed2076.log	raw_comp_mc_seed2076.txt
2077	1	1	complete	none	single_attempt	tb_comp_mc_seed2077.cir	log_comp_mc_seed2077.log	raw_comp_mc_seed2077.txt
2078	1	1	complete	none	single_attempt	tb_comp_mc_seed2078.cir	log_comp_mc_seed2078.log	raw_comp_mc_seed2078.txt
2079	1	1	complete	none	single_attempt	tb_comp_mc_seed2079.cir	log_comp_mc_seed2079.log	raw_comp_mc_seed2079.txt
2080	1	1	complete	none	single_attempt	tb_comp_mc_seed2080.cir	log_comp_mc_seed2080.log	raw_comp_mc_seed2080.txt
2081	1	1	complete	none	single_attempt	tb_comp_mc_seed2081.cir	log_comp_mc_seed2081.log	raw_comp_mc_seed2081.txt
2082	1	1	complete	none	single_attempt	tb_comp_mc_seed2082.cir	log_comp_mc_seed2082.log	raw_comp_mc_seed2082.txt
2083	1	1	complete	none	single_attempt	tb_comp_mc_seed2083.cir	log_comp_mc_seed2083.log	raw_comp_mc_seed2083.txt
2084	1	1	complete	none	single_attempt	tb_comp_mc_seed2084.cir	log_comp_mc_seed2084.log	raw_comp_mc_seed2084.txt
2085	1	1	complete	none	single_attempt	tb_comp_mc_seed2085.cir	log_comp_mc_seed2085.log	raw_comp_mc_seed2085.txt
2086	1	1	complete	none	single_attempt	tb_comp_mc_seed2086.cir	log_comp_mc_seed2086.log	raw_comp_mc_seed2086.txt
2087	1	1	complete	none	single_attempt	tb_comp_mc_seed2087.cir	log_comp_mc_seed2087.log	raw_comp_mc_seed2087.txt
2088	1	1	complete	none	single_attempt	tb_comp_mc_seed2088.cir	log_comp_mc_seed2088.log	raw_comp_mc_seed2088.txt
2089	1	1	complete	none	single_attempt	tb_comp_mc_seed2089.cir	log_comp_mc_seed2089.log	raw_comp_mc_seed2089.txt
2090	1	1	complete	none	single_attempt	tb_comp_mc_seed2090.cir	log_comp_mc_seed2090.log	raw_comp_mc_seed2090.txt
2091	1	1	complete	none	single_attempt	tb_comp_mc_seed2091.cir	log_comp_mc_seed2091.log	raw_comp_mc_seed2091.txt
2092	1	1	complete	none	single_attempt	tb_comp_mc_seed2092.cir	log_comp_mc_seed2092.log	raw_comp_mc_seed2092.txt
2093	1	1	complete	none	single_attempt	tb_comp_mc_seed2093.cir	log_comp_mc_seed2093.log	raw_comp_mc_seed2093.txt
2094	1	1	complete	none	single_attempt	tb_comp_mc_seed2094.cir	log_comp_mc_seed2094.log	raw_comp_mc_seed2094.txt
2095	1	1	complete	none	single_attempt	tb_comp_mc_seed2095.cir	log_comp_mc_seed2095.log	raw_comp_mc_seed2095.txt
2096	1	1	complete	none	single_attempt	tb_comp_mc_seed2096.cir	log_comp_mc_seed2096.log	raw_comp_mc_seed2096.txt
2097	1	1	complete	none	single_attempt	tb_comp_mc_seed2097.cir	log_comp_mc_seed2097.log	raw_comp_mc_seed2097.txt
2098	1	1	complete	none	single_attempt	tb_comp_mc_seed2098.cir	log_comp_mc_seed2098.log	raw_comp_mc_seed2098.txt
2099	1	1	complete	none	single_attempt	tb_comp_mc_seed2099.cir	log_comp_mc_seed2099.log	raw_comp_mc_seed2099.txt
2100	1	1	complete	none	single_attempt	tb_comp_mc_seed2100.cir	log_comp_mc_seed2100.log	raw_comp_mc_seed2100.txt
2101	1	1	complete	none	single_attempt	tb_comp_mc_seed2101.cir	log_comp_mc_seed2101.log	raw_comp_mc_seed2101.txt
2102	1	1	complete	none	single_attempt	tb_comp_mc_seed2102.cir	log_comp_mc_seed2102.log	raw_comp_mc_seed2102.txt
2103	1	1	complete	none	single_attempt	tb_comp_mc_seed2103.cir	log_comp_mc_seed2103.log	raw_comp_mc_seed2103.txt
2104	1	1	complete	none	single_attempt	tb_comp_mc_seed2104.cir	log_comp_mc_seed2104.log	raw_comp_mc_seed2104.txt
2105	1	1	complete	none	single_attempt	tb_comp_mc_seed2105.cir	log_comp_mc_seed2105.log	raw_comp_mc_seed2105.txt
2106	1	1	complete	none	single_attempt	tb_comp_mc_seed2106.cir	log_comp_mc_seed2106.log	raw_comp_mc_seed2106.txt
2107	1	1	complete	none	single_attempt	tb_comp_mc_seed2107.cir	log_comp_mc_seed2107.log	raw_comp_mc_seed2107.txt
2108	1	1	complete	none	single_attempt	tb_comp_mc_seed2108.cir	log_comp_mc_seed2108.log	raw_comp_mc_seed2108.txt
2109	1	1	complete	none	single_attempt	tb_comp_mc_seed2109.cir	log_comp_mc_seed2109.log	raw_comp_mc_seed2109.txt
