artifact_relative_path	artifact_sha256	bytes	line_count	role
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_noise_gen.sch	168839d8b0f3b721a46d8336f5932faaaa4cf6bcc166ba626f817b45892b905a	1994	59	Block Source Schematic: Noise Generator
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_noise_gen.sym	425204566fbeee8f4b799af22364f9c0783f71ae3e6008a7fd92d109498c178b	971	30	Block Symbol: Noise Generator
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_noise_amp.sch	8bc1d588bced233fa8c57d9ab8623456d09a981471761f50b558268c8d915107	8432	186	Block Source Schematic: Noise Preamplifier
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_noise_amp.sym	72b8c8eca3bba0d22907d216b49055df189e4f3dc576a7bd60b63d54e1866132	911	27	Block Symbol: Noise Preamplifier
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_comparator.sch	ae3c87816fc0c56bb49da6e159e0d7faa56f73c24fe180dc977ef1e8a9bdd209	13194	271	Block Source Schematic: Comparator
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_comparator.sym	c6b0bd8cf7d9329b8c48f0d87639baf2f209d8d81214ea32b163deb4bcaa701d	1489	45	Block Symbol: Comparator
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sch	e91c46604e14e0de056f0aacb2c8e6976490d8453130e656a5653d1db7f5ca50	1889	49	Top Candidate Schematic V2
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top.sym	2c5fd1fad185ad89e1c67083543029c7a29d18a42c47e59afe3bbb59f32adb91	2096	60	Top Candidate Symbol V2
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top_hier.sch	bd5ec8d596a1c15a98588c69ccd4c7ac6b366594487e6948a503e2782925f6e6	1128	27	Top Candidate Test Harness Schematic V2
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/xschemrc	d6d8fa5157ad2072e6d1ce63bda5f5d593ef4eb84631f23eed5e9ae3886f18b5	19794	471	Xschem Netlisting Configuration
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/openada-netlist-result.json	57eef3b9fe2d88eb7fafc50822adc7d15e82d9cd78422abfae4bfc6851248d98	2178	76	OpenADA Netlist Result JSON
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top_hier.spice	e60b11d9236af1a3b8a3e44ac84479782af04c836b49ef04e90c8aba0284c1b2	8339	178	Generated Hierarchical SPICE Netlist
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/p1_top_v2_harness_plan_v2.tsv	a1797fd1efe5e54a2562b3c58afabf30729f866c7664fade004be62011588e2e	3353	18	Read-Only Harness Plan TSV V2
cace_ihp_sg13g2_demo/xschem/candidates/p1_top_hier_v2/README_harness_plan_v2.md	a7189eeb41932cc7f13b36e86311a50ba46e2b39a06779767a9616d2a7604fba	3033	39	Read-Only Harness Plan README V2
