role	private_artifact	private_bytes	private_sha256	public_artifact	public_bytes	public_sha256	publication_transform
candidate_v5	p1_cml_div2_front_integrated_sinks.spice	5454	689d4beedfce278f0c13cf0e79a25b87ba8a12d25b9459e51dfbfde041cd3db7	p1_cml_div2_front_integrated_sinks.spice	5454	689d4beedfce278f0c13cf0e79a25b87ba8a12d25b9459e51dfbfde041cd3db7	verbatim
deck	tb_p1_cml_div2_front_dc_op_v5.cir	1546	868dc3a0d534e6728976162f5b6e5e4dcaea3324f4672e03903025922f902dfe	tb_p1_cml_div2_front_dc_op_v5.public.cir	1450	91240e844bb2ccefbd45bc34615b1192332112d6847a3fe862380d22e28e7f2a	paths_only
native_log	evidence/tb_p1_cml_div2_front_dc_op_v5.log	1033	96da8e4b662f6a6298dbe30440d75f5c0e7b1cf3bdab8430e47d5d8dedc1aa73	evidence/tb_p1_cml_div2_front_dc_op_v5.log	1033	96da8e4b662f6a6298dbe30440d75f5c0e7b1cf3bdab8430e47d5d8dedc1aa73	verbatim
native_raw	raw_tb_p1_cml_div2_front_dc_op_v5.raw	22226	a3d8c778d84135e57b9e72d0c5acd7b0e3846a0b2bcb9853301a86d72c4d5acf	raw_tb_p1_cml_div2_front_dc_op_v5.raw	22226	a3d8c778d84135e57b9e72d0c5acd7b0e3846a0b2bcb9853301a86d72c4d5acf	verbatim
openada_result	openada-result.json	7878	1e7f16beb36b5d2a0f344f94f4c58c6db1fdc5bc2921a140988e16f9e584129b	openada-result.public.json	6683	b33364f3687f8ac18e2079c2bc9312ee9f8936de8849678badafc514b67451e9	paths_only
preflight	preflight.json	2250	f963ce9d7187cc02e5d5b53532c6a4f364d95347df6f10a76037a05d652a2d9f	preflight.public.json	2155	602b846776effb8a6db6b2b04c3882628ad4cefa4dbe47ddf529426348e2b934	paths_only
control	evidence/tb_p1_cml_div2_front_dc_op_v5.openada-control.sp	188	e9c820fa1b85b847041607c605028a09bfc9f6202dfe9c6f977b4b1049f6750a	evidence/tb_p1_cml_div2_front_dc_op_v5.openada-control.public.sp	90	33813238a8e2ab6cd695a35e669752565a152ae4aace1f30ab917e2a48e2ec6a	paths_only
base_candidate_v3	../custom-cml-div2-op-nobleed-v1/p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	../custom-cml-div2-op-nobleed-v1/p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	retained_external_reference
base_raw_v3	../custom-cml-div2-op-nobleed-v1/raw_tb_p1_cml_div2_front_dc_op_nobleed.raw	18682	514ce90fd56e265b553a366ae995f7c78e70f146c63e554ac21fc6be586b5a4c	../custom-cml-div2-op-nobleed-v1/raw_tb_p1_cml_div2_front_dc_op_nobleed.raw	18682	514ce90fd56e265b553a366ae995f7c78e70f146c63e554ac21fc6be586b5a4c	retained_external_reference
candidate_diff	V3-V5-DIFF.patch	689	4276b63fd84ab4a2f90bde2e40381b8c72d179d9f31f9321d9e5a2e65a3f2499	V3-V5-DIFF.patch	689	4276b63fd84ab4a2f90bde2e40381b8c72d179d9f31f9321d9e5a2e65a3f2499	advisor_derived_from_candidates
static_hbt_audit	STATIC-HBT-AUDIT.tsv	3036	0cc8c21a47c3ad98a2d1115cde228c3b5a9ae2f6cbfb8b0382d35a7b35155e0a	STATIC-HBT-AUDIT.tsv	3036	0cc8c21a47c3ad98a2d1115cde228c3b5a9ae2f6cbfb8b0382d35a7b35155e0a	advisor_derived_from_raw
bias_comparison	V3-V5-BIAS-COMPARISON.tsv	908	04302bec51163cd7fe34d0bd530c06fe70a64f840933025670e02ff7c3f0a4f7	V3-V5-BIAS-COMPARISON.tsv	908	04302bec51163cd7fe34d0bd530c06fe70a64f840933025670e02ff7c3f0a4f7	advisor_derived_from_two_raws
