quantity	stage	v3_value	v5_value	delta	relative_delta_pct	source
c_p1_comp_V	master	8.46460141036531777e-01	8.45457450483814599e-01	-1.00269055271717811e-03	-1.18456912985e-01	raws 514ce90f/a3d8c778
c_p1_comp_V	slave	8.46460141036486036e-01	8.45457415274444957e-01	-1.00272576204107899e-03	-1.18461072581e-01	raws 514ce90f/a3d8c778
tail_Ic_A	master	1.95817316775317128e-03	1.91735333878064363e-03	-4.08198289725276563e-05	-2.084587290069e+00	raws 514ce90f/a3d8c778
tail_Ic_A	slave	1.95817316769679017e-03	1.91735210255747032e-03	-4.08210651393198492e-05	-2.084650418703e+00	raws 514ce90f/a3d8c778
physical_sink_Ic_vs_half_v3_tail_A	master	9.79086583876585640e-04	1.03767334917735806e-03	5.85867653007724181e-05	5.983818618861e+00	raws 514ce90f/a3d8c778
physical_sink_Ic_vs_half_v3_tail_A	slave	9.79086583848395084e-04	1.03766564072922066e-03	5.85790568808255800e-05	5.983031311753e+00	raws 514ce90f/a3d8c778
