source	signal	positive_vector	negative_vector	window_start_ns	window_end_ns	min_diff_V	max_diff_V	zero_crossing_count	mean_adjacent_crossing_ps	mean_two_crossing_period_ps	inferred_full_cycle_frequency_GHz
physical_v5	master_collector	v(xdiv2.c_p_m)	v(xdiv2.c_n_m)	2.000000000000000	4.000000000000000	-6.88266734231952837e-01	6.88173775384866238e-01	10	2.00000222336932751e+02	4.00000420242727614e+02	2.499997373485712
physical_v5	master_follower	v(xdiv2.ef_p_m)	v(xdiv2.ef_n_m)	2.000000000000000	4.000000000000000	-6.55083252290394102e-01	6.54948112795766257e-01	10	2.00000185391577446e+02	4.00000411904015095e+02	2.499997425602557
physical_v5	slave_collector	v(xdiv2.c_p_s)	v(xdiv2.c_n_s)	2.000000000000000	4.000000000000000	-6.91364255750748224e-01	6.91396152205581149e-01	10	1.99999726645928888e+02	3.99999447498396364e+02	2.500003453139792
physical_v5	output_terminal	v(div2_p)	v(div2_n)	2.000000000000000	4.000000000000000	-6.55084549211890077e-01	6.55065543599853251e-01	10	1.99999549142697646e+02	3.99999320963351522e+02	2.500004243986258
selft0_diagnostic	master_collector	v(xdiv2.c_p_m)	v(xdiv2.c_n_m)	2.000000000000000	4.000000000000000	-7.48894680678065416e-01	7.48926510834564629e-01	10	1.99999970921702243e+02	3.99999941898629061e+02	2.500000363133621
selft0_diagnostic	master_follower	v(xdiv2.ef_p_m)	v(xdiv2.ef_n_m)	2.000000000000000	4.000000000000000	-7.22559740808661477e-01	7.22591788021235693e-01	10	1.99999952746702689e+02	3.99999905595000371e+02	2.500000590031387
selft0_diagnostic	slave_collector	v(xdiv2.c_p_s)	v(xdiv2.c_n_s)	2.000000000000000	4.000000000000000	-7.49025692375857588e-01	7.48992855024232629e-01	10	1.99999971491345178e+02	3.99999943045400983e+02	2.500000355966295
selft0_diagnostic	output_terminal	v(div2_p)	v(div2_n)	2.000000000000000	4.000000000000000	-7.22744026114847560e-01	7.22711067118706474e-01	10	1.99999953898074580e+02	3.99999907861493739e+02	2.500000575865796
