source	crossing_index	interpolated_time_ns
physical_v5	1	2.107635719092526
physical_v5	2	2.307634219373877
physical_v5	3	2.507634946185315
physical_v5	4	2.707633533380515
physical_v5	5	2.907634210887440
physical_v5	6	3.107632879518096
physical_v5	7	3.307633511071728
physical_v5	8	3.507632256057764
physical_v5	9	3.707632844796410
physical_v5	10	3.907631661376805
selft0_diagnostic	1	2.107604673534764
selft0_diagnostic	2	2.307604619357322
selft0_diagnostic	3	2.507604567252644
selft0_diagnostic	4	2.707604517250024
selft0_diagnostic	5	2.907604469333288
selft0_diagnostic	6	3.107604423442475
selft0_diagnostic	7	3.307604379502968
selft0_diagnostic	8	3.507604337436762
selft0_diagnostic	9	3.707604297166601
selft0_diagnostic	10	3.907604258617436
