source	vector_count	samples_per_vector	total_scalars	finite_scalars	nonfinite_scalars	global_min	global_max	temperature_limiting_nan_count	heat_sink_rth_message_count
physical_v5	26	1141	29666	29666	0	7.52000089467494970e-01	1.70801433538495928e+01	1	1
selft0_diagnostic	26	1141	29666	29666	0	0.00000000000000000e+00	0.00000000000000000e+00	0	0
