 time                   v(gate)                v(gfet)                v(gate_core)           v(en_core)             v(vdd)                 v(vdda)                i(vdda)                i(vdd)                
 0.000000000000000e+00  4.816594489934503e-08  4.816594489934503e-08  4.550692934473999e-08  6.036433525200315e-08  1.199999999547858e+00  3.299999999875120e+00 -2.497611006901934e-10 -9.042837589845476e-10 
 5.000000000000000e-11  4.816594489920334e-08  4.816594489934489e-08  4.550689104677267e-08  6.036433352891828e-08  1.199999999547859e+00  3.299999999875114e+00 -2.497717588312298e-10 -9.042833148953378e-10 
 1.000000000000000e-10  4.816594486450887e-08  4.816594489931008e-08  4.550688799409303e-08  6.036433276769993e-08  1.199999999547858e+00  3.299999999875109e+00 -2.497833051506859e-10 -9.042837589845476e-10 
 2.000000000000000e-10  4.816594467021984e-08  4.816594489900769e-08  4.550694421929981e-08  6.036433958993368e-08  1.199999999547857e+00  3.299999999875099e+00 -2.498019568974996e-10 -9.042864235198067e-10 
 4.000000000000000e-10  4.816594487144776e-08  4.816594489870038e-08  4.550695626137071e-08  6.036433297388808e-08  1.199999999547854e+00  3.299999999875086e+00 -2.498277140716709e-10 -9.042921966795348e-10 
 8.000000000000000e-10  4.816594485410053e-08  4.816594489824264e-08  4.550692740272781e-08  6.036433779723249e-08  1.199999999547853e+00  3.299999999875082e+00 -2.498374840342876e-10 -9.042953053040037e-10 
 1.600000000000000e-09  4.816594497900062e-08  4.816594489864784e-08  4.550692522928192e-08  6.036433481587303e-08  1.199999999547855e+00  3.299999999875072e+00 -2.498570239595210e-10 -9.042913085011151e-10 
 3.200000000000000e-09  4.816594486841200e-08  4.816594489839630e-08  4.550692941176799e-08  6.036433652643574e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499032092373454e-10 -9.042828708061279e-10 
 6.400000000000000e-09  4.816594488445819e-08  4.816594489768708e-08  4.550692927650021e-08  6.036433476890844e-08  1.199999999547859e+00  3.299999999875045e+00 -2.499103146647030e-10 -9.042824267169181e-10 
 1.140000000000000e-08  4.816594487253197e-08  4.816594489582061e-08  4.550692925208872e-08  6.036433525283531e-08  1.199999999547859e+00  3.299999999875048e+00 -2.499049855941848e-10 -9.042815385384984e-10 
 1.640000000000000e-08  4.816594493411465e-08  4.816594489763072e-08  4.550692908230605e-08  6.036433555812970e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499032092373454e-10 -9.042824267169181e-10 
 2.140000000000000e-08  4.816594491221377e-08  4.816594489910782e-08  4.550692923147533e-08  6.036433536446747e-08  1.199999999547859e+00  3.299999999875048e+00 -2.499040974157651e-10 -9.042833148953378e-10 
 2.640000000000000e-08  4.816594488445819e-08  4.816594489865381e-08  4.550692927656459e-08  6.036433524214914e-08  1.199999999547859e+00  3.299999999875047e+00 -2.499058737726045e-10 -9.042828708061279e-10 
 3.140000000000000e-08  4.816594489681809e-08  4.816594489839720e-08  4.550692910742227e-08  6.036433550107525e-08  1.199999999547859e+00  3.299999999875048e+00 -2.499040974157651e-10 -9.042828708061279e-10 
 3.640000000000000e-08  4.816594489356549e-08  4.816594489801503e-08  4.550692926185671e-08  6.036433531786880e-08  1.199999999547859e+00  3.299999999875048e+00 -2.499040974157651e-10 -9.042828708061279e-10 
 4.139999999999999e-08  4.816594492175474e-08  4.816594489937934e-08  4.550692939976384e-08  6.036433536276324e-08  1.199999999547859e+00  3.299999999875050e+00 -2.499014328805060e-10 -9.042828708061279e-10 
 4.639999999999999e-08  4.816594488142242e-08  4.816594489868337e-08  4.550692923926803e-08  6.036433538477763e-08  1.199999999547859e+00  3.299999999875048e+00 -2.499049855941848e-10 -9.042833148953378e-10 
 5.139999999999999e-08  4.816594489942018e-08  4.816594489851194e-08  4.550692929567026e-08  6.036433546243361e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499032092373454e-10 -9.042828708061279e-10 
 5.639999999999999e-08  4.816594491828530e-08  4.816594489969419e-08  4.550692932081359e-08  6.036433549696206e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499032092373454e-10 -9.042833148953378e-10 
 6.139999999999999e-08  4.816594487990454e-08  4.816594489882681e-08  4.550692918116157e-08  6.036433550650643e-08  1.199999999547859e+00  3.299999999875047e+00 -2.499058737726045e-10 -9.042828708061279e-10 
 6.640000000000000e-08  4.816594489399917e-08  4.816594489825402e-08  4.550692917681121e-08  6.036433537466575e-08  1.199999999547859e+00  3.299999999875048e+00 -2.499040974157651e-10 -9.042833148953378e-10 
 7.140000000000000e-08  4.816594489313181e-08  4.816594489775489e-08  4.550692919417200e-08  6.036433522558795e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499032092373454e-10 -9.042828708061279e-10 
 7.640000000000001e-08  4.816594492088738e-08  4.816594489904469e-08  4.550692930086427e-08  6.036433540415944e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499023210589257e-10 -9.042828708061279e-10 
 8.140000000000001e-08  4.816594488337399e-08  4.816594489846834e-08  4.550692924705396e-08  6.036433549759056e-08  1.199999999547859e+00  3.299999999875050e+00 -2.499005447020863e-10 -9.042828708061279e-10 
 8.640000000000002e-08  4.816594488922868e-08  4.816594489771075e-08  4.550692936763418e-08  6.036433535802833e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499023210589257e-10 -9.042828708061279e-10 
 9.140000000000002e-08  4.816594491980318e-08  4.816594489885478e-08  4.550692920977435e-08  6.036433521414623e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499023210589257e-10 -9.042824267169181e-10 
 9.640000000000003e-08  4.816594488185610e-08  4.816594489814987e-08  4.550692921497852e-08  6.036433548102768e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499032092373454e-10 -9.042824267169181e-10 
 1.014000000000000e-07  4.816594489139708e-08  4.816594489750753e-08  4.550692931731026e-08  6.036433520811027e-08  1.199999999547859e+00  3.299999999875048e+00 -2.499049855941848e-10 -9.042828708061279e-10 
 1.064000000000000e-07  4.816594491828530e-08  4.816594489860541e-08  4.550692913520495e-08  6.036433567554710e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499023210589257e-10 -9.042833148953378e-10 
 1.114000000000000e-07  4.816594488727712e-08  4.816594489824049e-08  4.550692918201199e-08  6.036433534412852e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499023210589257e-10 -9.042833148953378e-10 
 1.164000000000000e-07  4.816594489269813e-08  4.816594489778005e-08  4.550692924277136e-08  6.036433518716315e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499023210589257e-10 -9.042824267169181e-10 
 1.214000000000000e-07  4.816594489226445e-08  4.816594489729145e-08  4.550692922283898e-08  6.036433561660546e-08  1.199999999547859e+00  3.299999999875049e+00 -2.499023210589257e-10 -9.042828708061279e-10 
