# TMR copy separation: 199 stages (128 chain stages, 71 control-register bits), 597 flops, all placed
# min distance between two copies of one stage: min 4.0 um, median 114.7 um, max 116.6 um
# stages with a copy pair closer than  5 um: 1
# stages with a copy pair closer than 10 um: 2
# stages with a copy pair closer than 20 um: 3
# stages with a copy pair closer than 40 um: 5
# stage  min_pair_um  a(x,y)  b(x,y)  c(x,y)
chain.0      114.7   (13.9,15.1)  (128.6,15.1)  (259.2,15.1)
chain.1      114.7   (34.6,15.1)  (149.3,15.1)  (288.5,15.1)
chain.2      114.7   (55.2,15.1)  (169.9,15.1)  (303.4,139.9)
chain.3        4.0   (75.8,15.1)  (190.1,15.1)  (191.5,18.9)
chain.4       33.0   (96.0,15.1)  (210.7,11.3)  (178.6,18.9)
chain.5       20.1   (96.0,22.7)  (210.7,22.7)  (204.0,41.6)
chain.6       16.8   (75.8,22.7)  (190.1,22.7)  (206.4,26.5)
chain.7      114.7   (55.2,22.7)  (169.9,22.7)  (314.4,15.1)
chain.8      114.7   (34.6,22.7)  (149.3,22.7)  (275.5,11.3)
chain.9      114.7   (13.9,22.7)  (128.6,22.7)  (249.6,22.7)
chain.10     114.7   (13.9,30.2)  (128.6,30.2)  (245.8,26.5)
chain.11     114.7   (34.6,30.2)  (149.3,30.2)  (272.2,26.5)
chain.12     114.7   (55.2,30.2)  (169.9,30.2)  (310.6,30.2)
chain.13     114.2   (75.8,30.2)  (190.1,30.2)  (296.2,102.1)
chain.14       9.4   (96.0,30.2)  (210.7,30.2)  (202.1,34.0)
chain.15     114.7   (96.0,37.8)  (210.7,37.8)  (299.5,124.7)
chain.16     105.0   (75.8,37.8)  (190.1,37.8)  (278.4,94.5)
chain.17     114.7   (55.2,37.8)  (169.9,37.8)  (302.9,34.0)
chain.18     114.7   (34.6,37.8)  (149.3,37.8)  (271.2,30.2)
chain.19     114.7   (13.9,37.8)  (128.6,37.8)  (245.3,30.2)
chain.20     114.7   (13.9,45.4)  (128.6,45.4)  (243.8,37.8)
chain.21     114.7   (34.6,45.4)  (149.3,45.4)  (269.3,41.6)
chain.22     114.7   (55.2,45.4)  (169.9,45.4)  (284.6,30.2)
chain.23     114.2   (75.8,45.4)  (190.1,45.4)  (321.1,41.6)
chain.24      92.0   (96.0,45.4)  (210.7,45.4)  (283.2,102.1)
chain.25     114.7   (96.0,52.9)  (210.7,52.9)  (312.5,109.6)
chain.26     114.2   (75.8,52.9)  (190.1,52.9)  (320.6,52.9)
chain.27     114.7   (55.2,52.9)  (169.9,52.9)  (294.7,52.9)
chain.28     114.7   (34.6,52.9)  (149.3,52.9)  (265.4,45.4)
chain.29     114.7   (13.9,52.9)  (128.6,52.9)  (243.4,41.6)
chain.30     114.7   (13.9,60.5)  (128.6,60.5)  (243.4,56.7)
chain.31     114.7   (34.6,60.5)  (149.3,60.5)  (269.3,56.7)
chain.32     114.7   (55.2,60.5)  (169.9,60.5)  (297.6,60.5)
chain.33     114.2   (75.8,60.5)  (190.1,60.5)  (305.8,45.4)
chain.34     114.7   (96.0,60.5)  (210.7,60.5)  (328.8,26.5)
chain.35     114.7   (96.0,68.0)  (210.7,68.0)  (333.6,49.1)
chain.36     114.2   (75.8,68.0)  (190.1,68.0)  (315.8,64.3)
chain.37     114.7   (55.2,68.0)  (169.9,68.0)  (284.6,60.5)
chain.38     114.7   (34.6,68.0)  (149.3,68.0)  (264.0,68.0)
