# DUAL-ILOAD FOLLOWER DEVICE RANGE AUDIT TSV (t >= 2.0ns)
instance_name	vbe_min_V	t_vbe_min_ns	vbe_max_V	t_vbe_max_ns	vbe_in_line34_range_boolean	vbe_margin_min_V	vbe_margin_max_V	vce_min_V	t_vce_min_ns	vce_max_V	t_vce_max_ns	vce_in_line34_range_boolean	vce_margin_min_V	vce_margin_max_V	vce_below_line27_ceiling_boolean	vce_margin_1p6v_ceiling_V	ic_min_A	t_ic_min_ns	ic_max_A	t_ic_max_ns	ic_in_line34_range_boolean	ic_margin_3mA_ceiling_A
XQEF1_M	7.10107861097414084e-01	2.0057951307e+00	9.89426440248267092e-01	2.1041000000e+00	FALSE	6.01078610974140615e-02	-2.94264402482671272e-02	7.73451551843520546e-01	2.3020000000e+00	1.58189999160789352e+00	3.7118087620e+00	TRUE	3.73451551843520524e-01	4.18100008392106481e-01	TRUE	1.81000083921065702e-02	6.91469525370960389e-05	3.7098087620e+00	2.71159427102165033e-03	3.7041000000e+00	TRUE	2.88405728978349731e-04
XQEF2_M	7.10123878630973815e-01	2.2057952447e+00	9.89427052631842940e-01	2.3041000000e+00	FALSE	6.01238786309737927e-02	-2.94270526318429759e-02	7.73452364901307865e-01	2.1020000000e+00	1.58195590470480307e+00	3.9118086505e+00	TRUE	3.73452364901307843e-01	4.18044095295196927e-01	TRUE	1.80440952951970157e-02	6.91556258147223342e-05	3.9098086505e+00	2.71165922215679768e-03	3.9041000000e+00	TRUE	2.88340777843202386e-04
XQEF1_S	7.11016087622906356e-01	3.7078087620e+00	9.89157983903948601e-01	2.2021000000e+00	FALSE	6.10160876229063343e-02	-2.91579839039486366e-02	7.73360253571860223e-01	2.1024200000e+00	1.58242177753063640e+00	3.8097960820e+00	TRUE	3.73360253571860201e-01	4.17578222469363602e-01	TRUE	1.75782224693636913e-02	6.46487916339784846e-05	2.2077952447e+00	2.73055783906163852e-03	2.2021000000e+00	TRUE	2.69442160938361541e-04
XQEF2_S	7.11039752984172546e-01	3.9078086505e+00	9.89182312692184817e-01	2.0021000000e+00	FALSE	6.10397529841725239e-02	-2.91823126921848530e-02	7.73389128030642858e-01	2.3024200000e+00	1.58242024572993478e+00	3.6097959816e+00	TRUE	3.73389128030642836e-01	4.17579754270065218e-01	TRUE	1.75797542700653064e-02	6.45669010431047167e-05	2.0077951307e+00	2.73081201768957463e-03	2.0021000000e+00	TRUE	2.69187982310425435e-04
