role	artifact	bytes	sha256	disposition
candidate_v3	p1_cml_div2_front_nobleed.spice	4890	d5900dae655f376e6c2aeeebe18d7753f3c36c73283ca859586e57f25dcedd52	provisional_controlled_experiment
base_candidate_v2	../custom-cml-div2-v2/p1_cml_div2_front.spice	5194	64226d8548e664d3a26247817926b1f5bfc5a0cf0552d342861b21c03ef78652	retained_unchanged_source
