 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00  1.79670595892508778e-15  8.93948274464434538e-15  9.02386960643819513e-04  6.63042257144347988e-07 
 1.02329299228075410e+00  1.80875415556683294e-15  9.14771003859050721e-15  9.02386960658696502e-04  6.78486495321819978e-07 
 1.04712854805089939e+00  1.80120539794090262e-15  9.36078757554154517e-15  9.02386960673795535e-04  6.94290476019942052e-07 
 1.07151930523760619e+00  1.80041935136585063e-15  9.57882834836913400e-15  9.02386960690004791e-04  7.10462578718470927e-07 
 1.09647819614318465e+00  1.80228282384981009e-15  9.80194790427868002e-15  9.02386960706547114e-04  7.27011378080317006e-07 
 1.12201845430196312e+00  1.79585214971425544e-15  1.00302646161245620e-14  9.02386960724199660e-04  7.43945648497957518e-07 
 1.14815362149688238e+00  1.79743101912793746e-15  1.02638994772693393e-14  9.02386960742740385e-04  7.61274368745715845e-07 
 1.17489755493952908e+00  1.79257921440606482e-15  1.05029764126036622e-14  9.02386960762169288e-04  7.79006726740437895e-07 
 1.20226443461741250e+00  1.79685503672380453e-15  1.07476221660497085e-14  9.02386960782153302e-04  7.97152124413050048e-07 
 1.23026877081238117e+00  1.79505932687562542e-15  1.09979664461449714e-14  9.02386960802914473e-04  8.15720182693581414e-07 
 1.25892541179416684e+00  1.79321618318240006e-15  1.12541419988341534e-14  9.02386960825118933e-04  8.34720746612308794e-07 
 1.28824955169313360e+00  1.79883370568859058e-15  1.15162846405563909e-14  9.02386960848433617e-04  8.54163890519725754e-07 
 1.31825673855640679e+00  1.79826449954803569e-15  1.17845333707418172e-14  9.02386960872747501e-04  8.74059923428090152e-07 
 1.34896288259165331e+00  1.79325684076386827e-15  1.20590304048987873e-14  9.02386960897949564e-04  8.94419394477405884e-07 
 1.38038426460288455e+00  1.78908943866337711e-15  1.23399213135802209e-14  9.02386960924261849e-04  9.15253098528714215e-07 
 1.41253754462275394e+00  1.79107488389174119e-15  1.26273550091487121e-14  9.02386960952461514e-04  9.36572081887665336e-07 
 1.44543977074592700e+00  1.78862187647649273e-15  1.29214839045952074e-14  9.02386960981549358e-04  9.58387648161429325e-07 
 1.47910838816820678e+00  1.80018218214061942e-15  1.32224639069215610e-14  9.02386961012413558e-04  9.80711364252010007e-07 
 1.51356124843620754e+00  1.80130704189457314e-15  1.35304546686034404e-14  9.02386961043943892e-04  1.00355506648916668e-06 
 1.54881661891248057e+00  1.78776806726566040e-15  1.38456194287716494e-14  9.02386961077583649e-04  1.02693086690619356e-06 
 1.58489319246111271e+00  1.80455964841202965e-15  1.41681253440843725e-14  9.02386961112555674e-04  1.05085115966188799e-06 
 1.62181009735892911e+00  1.79344657614405323e-15  1.44981433960829470e-14  9.02386961149526101e-04  1.07532862761209425e-06 
 1.65958690743755977e+00  1.77979240503431391e-15  1.48358485235407605e-14  9.02386961187273684e-04  1.10037624903431797e-06 
 1.69824365246174347e+00  1.79144080212495505e-15  1.51814198209865981e-14  9.02386961228240914e-04  1.12600730450897587e-06 
