point	time_s	cml_diff_V	cmos_out_n_V	cmos_out_p_V	cm_n_V	cm_p_V
0	0	0.57716382921544618	6.428434926721268e-08	1.1999999369699861	0.79583342547959446	1.1998179990689279
1	2e-14	0.57698135701021203	6.419599621332317e-08	1.199999936931774	0.7958334250241097	1.1998179985337842
2	4e-14	0.57679888480497832	6.3976424408140886e-08	1.1999999368268544	0.79583342390947764	1.199817997290332
3	8e-14	0.57643394039451001	6.325671814133571e-08	1.1999999364597058	0.79583342015743808	1.1998179934172215
4	1.6e-13	0.57570405157357429	6.0291946851753764e-08	1.1999999347950105	0.79583340100192401	1.1998179790923551
5	3.2e-13	0.57424427393170241	5.0413816371497333e-08	1.1999999288382728	0.79583328294156319	1.1998179376228215
6	6.4e-13	0.57132471864795864	3.9584800715086743e-08	1.1999999217146984	0.79583251816395673	1.199817905624492
7	1.28e-12	0.56548560808047066	2.7657195422747805e-07	1.2000000630124485	0.79582834270346525	1.1998188857536429
8	2.56e-12	0.55380738694549558	2.6627126133993428e-06	1.2000013787067423	0.79581004865345328	1.1998290680375499
9	4.56e-12	0.53556016642209636	1.1388320361294113e-05	1.2000053609080457	0.795759843142404	1.1998731268420542
10	6.5599999999999995e-12	0.51731294589869758	2.4115047687567337e-05	1.2000097052005922	0.79568839578101891	1.1999530883759246
11	8.5599999999999991e-12	0.49906572537529836	3.8514906144093697e-05	1.2000129868363616	0.79560006461255417	1.2000671542437675
12	1.0559999999999999e-11	0.48081850485189959	5.3307124328216826e-05	1.2000149946486778	0.79549867208047176	1.200212710310312
13	1.2559999999999998e-11	0.46257128432850037	6.7881998354946127e-05	1.200015976147436	0.79538789293701673	1.2003873708870003
14	1.4559999999999999e-11	0.44432406380510159	8.1939299075073357e-05	1.2000162357149309	0.79527107533025965	1.2005889529440779
15	1.6559999999999999e-11	0.42607684328170281	9.5313374753880353e-05	1.2000160114688943	0.7951511475669707	1.2008154123341652
16	1.8559999999999998e-11	0.40782962275830359	0.00010791925157088711	1.2000154774709035	0.79503061768803196	1.2010648278634486
17	2.0559999999999998e-11	0.38958240223490481	0.00011971311231007142	1.2000147505927032	0.79491158433192488	1.2013353753688121
18	2.2559999999999998e-11	0.37133518171150559	0.00013068100435553731	1.2000139109004628	0.79479577438429749	1.2016253243956363
19	2.4559999999999997e-11	0.35308796118810681	0.0001408249742253509	1.2000130106122486	0.79468457324474906	1.2019330249236704
20	2.6559999999999997e-11	0.33484074066470759	0.00015015969603021651	1.2000120850732428	0.79457906574001147	1.2022569081092491
21	2.8559999999999996e-11	0.31659352014130882	0.00015870639159298872	1.2000111570941496	0.79448006815104177	1.2025954780223371
22	3.0559999999999996e-11	0.29834629961790959	0.00016649165596094306	1.2000102420087835	0.79438816515268895	1.2029473131135382
23	3.2559999999999995e-11	0.28009907909451082	0.00017354459803903266	1.2000093495657744	0.79430373918765296	1.2033110604526271
24	3.4559999999999995e-11	0.2618518585711116	0.00017989642366911252	1.2000084861898184	0.79422700191869167	1.2036854368562671
25	3.6559999999999994e-11	0.24360463804771282	0.00018557903113514129	1.2000076557929464	0.79415801951750686	1.2040692244434832
26	3.8559999999999994e-11	0.22535741752431404	0.00019062485116022598	1.200006860771716	0.79409673845508055	1.2044612710602076
27	4.0559999999999994e-11	0.20711019700091482	0.00019506611160025056	1.2000061023547075	0.79404300628447455	1.2048604864772676
28	4.2559999999999993e-11	0.18886297647751604	0.00019893475559357165	1.2000053810389504	0.79399659207950191	1.2052658420366493
