point	sweep_V	cmos_out_n_V	cmos_out_p_V	cm_n_V	cm_p_V
23	1.1849999999999976	1.1999998854019431	4.7687969440983421e-08	0.991153469000432	0.0027533839987097207
24	1.1899999999999975	1.1999998849933158	4.7687969981481921e-08	0.98932732025947601	0.0030527860144492613
25	1.1949999999999974	1.199999884533153	4.7687970375439274e-08	0.98750000131953608	0.00338706765153848
26	1.1999999999999973	1.1999998840134543	4.7687970733421232e-08	0.98567154521073463	0.0037607393832872274
27	1.2049999999999972	1.199999883425068	4.7687971425980569e-08	0.98384198309811499	0.0041790013810344626
28	1.2099999999999971	1.1999998827571763	4.7687971859174818e-08	0.98201134695081294	0.0046478763350044118
29	1.214999999999997	1.1999998819964923	4.7687972443904108e-08	0.98017966645073873	0.0051743761630711968
30	1.2199999999999969	1.1999998811270018	4.7687973626979165e-08	0.97834697147204575	0.0057667118049997829
31	1.2249999999999968	1.1999998801288236	4.7687974404548211e-08	0.97651328897899481	0.0064345621667894481
32	1.2299999999999967	1.1999998789774928	4.7687975314580928e-08	0.97467864680626592	0.0071894207864913393
33	1.2349999999999965	1.199999877642272	4.7687976674571734e-08	0.9728430717620834	0.0080450514741548726
34	1.2399999999999964	1.199999876083653	4.7687977907613054e-08	0.97100658915219173	0.0090180946342339405
35	1.2449999999999963	1.199999874250897	4.7687979519765992e-08	0.96916922394789917	0.010128887096341167
36	1.2499999999999962	1.199999872076545	4.7687981623918229e-08	0.96733099883198626	0.011402592501696347
37	1.2549999999999961	1.1999998694704757	4.7687984019149739e-08	0.96549193803068212	0.012870787322481633
38	1.259999999999996	1.1999998663077796	4.7687986961643942e-08	0.96365206210716792	0.014573741590146114
39	1.2649999999999959	1.1999998624120378	4.7687990536571907e-08	0.96181139227154555	0.016563767968424667
40	1.2699999999999958	1.1999998575252633	4.7687995037667507e-08	0.95996994656195545	0.01891027790349295
41	1.2749999999999957	1.1999998512558869	4.7688000710039844e-08	0.95812774225908071	0.021707615716342943
42	1.2799999999999956	1.1999998429819587	4.7688008384034255e-08	0.95628479370745878	0.025087542797805729
43	1.2849999999999955	1.1999998316626206	4.7688018723490369e-08	0.95444111074823246	0.02923961172691758
44	1.2899999999999954	1.1999998154391713	4.7688033842373721e-08	0.95259669767710131	0.034444813856886303
45	1.2949999999999953	1.1999997907341688	4.7688056473108414e-08	0.95075155069298545	0.041129813082429079
46	1.2999999999999952	1.199999750046596	4.7688093666360704e-08	0.94890564990504167	0.049942983847150069
47	1.3049999999999951	1.1999996762759022	4.7688161215829843e-08	0.94705895853192557	0.061804343875792478
48	1.3099999999999949	1.1999995282039908	4.7688297089010446e-08	0.94521142658582913	0.07771512749992282
49	1.3149999999999948	1.1999992068856207	4.7688591492125292e-08	0.94336302912477676	0.098036932930128051
50	1.3199999999999947	1.1999984840096736	4.7689254562047831e-08	0.94151379930423551	0.12193288022899584
51	1.3249999999999946	1.1999968315364367	4.7690769789624293e-08	0.93966380118478365	0.14813241620119544
52	1.3299999999999945	1.1999929753616974	4.7694306589328125e-08	0.93781308140197583	0.17581699903378634
53	1.3349999999999944	1.1999837140294822	4.770280156875137e-08	0.93596166440329098	0.20466560598227779
54	1.3399999999999943	1.1999606983323967	4.7723922446853018e-08	0.93410956091154529	0.23462098253954933
55	1.3449999999999942	1.1999013499193725	4.7778445703195998e-08	0.93225677471867208	0.26573057683517831
56	1.3499999999999941	1.1997427049516165	4.7924623498593301e-08	0.93040330810416083	0.29807425256820608
57	1.354999999999994	1.1993070275429814	4.8329291145408113e-08	0.92854916161431256	0.33173522319933557
58	1.3599999999999939	1.1981107535948337	4.9465240676707139e-08	0.92669433597633177	0.36678876340968514
59	1.3649999999999938	1.1950079222470411	5.2591752373324133e-08	0.92483883176281201	0.40329794422904364
60	1.3699999999999937	1.1878750934539002	6.0899310517934979e-08	0.92298265008857261	0.44131210791344788
61	1.3749999999999936	1.1730465375071675	8.4457353614360603e-08	0.92112579260768002	0.48086641460699697
62	1.3799999999999935	1.1404500779542639	1.8334505373572208e-07	0.91926826120457739	0.52198171323378117
63	1.3849999999999933	1.0082427258034663	7.3995113150404667e-06	0.91741005798515418	0.56466440219777647
64	1.3899999999999932	0.34785527585086129	1.1988964080664521	0.91555118801831015	0.60890757657339689
65	1.3949999999999931	0.058947932236232292	1.19999974716324	0.91369165413542508	0.65468824740522047
66	1.399999999999993	0.022066570083601189	1.1999998996470458	0.91183146104161916	0.70196685874690035
67	1.4049999999999929	0.0083017340854203425	1.1999999255936658	0.90997061325129946	0.75068426196309135
68	1.4099999999999928	0.00264716904627154	1.1999999336386777	0.90810911692688057	0.80075481705818019
69	1.4149999999999927	0.00067417073449013362	1.1999999361786222	0.9062469821510073	0.85205005594885019
70	1.4199999999999926	0.00014941081947060508	1.1999999367926264	0.90438420097914829	0.90435931769536237
71	1.4249999999999925	3.2079314704707134e-05	1.1999999369314496	0.90252076080137977	0.95727502828486521
72	1.4299999999999924	7.082840796992845e-06	1.1999999369615022	0.90065663231475024	1.0098354075751068
73	1.4349999999999923	1.7415266931089762e-06	1.1999999369679566	0.89879171464498664	1.059437859735296
74	1.4399999999999922	5.6335232346057028e-07	1.1999999369693823	0.89692579758323077	1.1004604088488481
75	1.4449999999999921	2.7611046032645161e-07	1.1999999369697298	0.89505876522285899	1.1282958646632648
76	1.449999999999992	1.8570155481924106e-07	1.1999999369698391	0.89319080920180904	1.1451624653098247
77	1.4549999999999919	1.4511669682529395e-07	1.1999999369698884	0.89132219830389348	1.156149388785038
78	1.4599999999999917	1.2285784396583291e-07	1.199999936969915	0.88945306097737853	1.163898255712517
79	1.4649999999999916	1.0908321825139371e-07	1.1999999369699319	0.88758345324023735	1.1696709918404724
80	1.4699999999999915	9.9815934760477904e-08	1.1999999369699428	0.8857134004224605	1.1741487374525601
81	1.4749999999999914	9.3197706407344236e-08	1.1999999369699508	0.883842912890895	1.1777274968028084
82	1.4799999999999913	8.8259455130817733e-08	1.1999999369699572	0.88197199275327465	1.1806528145997741
83	1.4849999999999912	8.4450687155423501e-08	1.1999999369699614	0.88010063745747646	1.1830855474182489
84	1.4899999999999911	8.143678856727725e-08	1.199999936969965	0.87822884148716973	1.1851360415953154
85	1.494999999999991	7.9003020602332066e-08	1.1999999369699681	0.87635659707020808	1.1868829487893129
86	1.4999999999999909	7.7005345615010375e-08	1.1999999369699703	0.87448389515820824	1.1883841456147994
87	1.5049999999999908	7.5343554185176397e-08	1.1999999369699723	0.87261072540469464	1.1896833735849173
88	1.5099999999999907	7.394576409008432e-08	1.1999999369699741	0.87073707648458498	1.1908144440887709
89	1.5149999999999906	7.2759054984082753e-08	1.1999999369699754	0.86886293626443212	1.1918039977101775
90	1.5199999999999905	7.1743591667556336e-08	1.1999999369699772	0.86698829190630544	1.1926733714853053
91	1.5249999999999904	7.0868802754061917e-08	1.1999999369699779	0.86511312995381817	1.1934398971901556
92	1.5299999999999903	7.0110831836164437e-08	1.199999936969979	0.86323743635890637	1.1941178258901066
93	1.5349999999999902	6.9450783043636819e-08	1.1999999369699796	0.86136119661710442	1.1947190003890678
94	1.53999999999999	6.8873494751797092e-08	1.1999999369699803	0.85948439582335956	1.1952533536856846
95	1.5449999999999899	6.8366659338005665e-08	1.1999999369699808	0.85760701880759083	1.1957292848132461
96	1.5499999999999898	6.7920181525240111e-08	1.1999999369699812	0.85572905010308242	1.1961539464813125
97	1.5549999999999897	6.7525705157077767e-08	1.1999999369699819	0.85385047415679338	1.1965334683932716
98	1.5599999999999896	6.7176254805562228e-08	1.1999999369699823	0.85197127551101803	1.1968731328038194
99	1.5649999999999895	6.6865964483025766e-08	1.1999999369699828	0.85009143882229266	1.1971775141111329
100	1.5699999999999894	6.6589868356015161e-08	1.199999936969983	0.8482109490767078	1.197450590997682
101	1.5749999999999893	6.6343735858164489e-08	1.1999999369699832	0.84632979177904122	1.1976958374823086
102	1.5799999999999892	6.6123943897858546e-08	1.1999999369699836	0.84444795321298671	1.1979162973992297
103	1.5849999999999891	6.5927374148688229e-08	1.1999999369699841	0.84256542051144234	1.1981146459242091
104	1.589999999999989	6.5751330699956181e-08	1.1999999369699845	0.84068218213654022	1.1982932407470297
105	1.5949999999999889	6.5593471928434916e-08	1.1999999369699845	0.83879822789245195	1.1984541648918505
106	1.5999999999999888	6.5451757933157843e-08	1.1999999369699843	0.83691354946346541	1.1985992628803153
107	1.6049999999999887	6.5324405986208874e-08	1.1999999369699847	0.83502814051126528	1.1987301713594349
108	1.6099999999999886	6.5209850208765429e-08	1.199999936969985	0.83314199717343551	1.198848345225908
109	1.6149999999999884	6.5106714992723061e-08	1.1999999369699847	0.83125511836727273	1.198955079995669
110	1.6199999999999883	6.5013787040940011e-08	1.1999999369699852	0.82936750608639709	1.1990515310747873
111	1.6249999999999882	6.4929993130316298e-08	1.199999936969985	0.82747916588413195	1.1991387303385832
112	1.6299999999999881	6.4854382217425644e-08	1.199999936969985	0.82559010721648374	1.1992176005284483
113	1.634999999999988	6.4786111242162816e-08	1.1999999369699852	0.82370034381277146	1.1992889677634491
114	1.6399999999999879	6.4724429252274138e-08	1.1999999369699856	0.82180989410319172	1.1993535724066042
115	1.6449999999999878	6.4668667803401372e-08	1.1999999369699854	0.81991878167116683	1.1994120785891245
116	1.6499999999999877	6.4618231103188248e-08	1.1999999369699854	0.81802703547116362	1.1994650825707023
117	1.6549999999999876	6.4572586451023298e-08	1.1999999369699856	0.81613469041366948	1.1995131200523317
118	1.6599999999999875	6.4531257276809484e-08	1.1999999369699854	0.81424178754990062	1.1995566726517424
119	1.6649999999999874	6.4493817352547917e-08	1.1999999369699859	0.81234837452253217	1.1995961736333653
120	1.6699999999999873	6.4459884464422168e-08	1.1999999369699856	0.81045450573735911	1.1996320129600635
121	1.6749999999999872	6.4429116219336136e-08	1.1999999369699854	0.80856024273808835	1.1996645418145939
122	1.6799999999999871	6.4401204448774249e-08	1.1999999369699856	0.80666565436077819	1.1996940765872457
123	1.684999999999987	6.4375873406490274e-08	1.1999999369699854	0.80477081692548602	1.1997209024629081
124	1.6899999999999868	6.4352874285796659e-08	1.1999999369699859	0.80287581430475286	1.1997452765908063
125	1.6949999999999867	6.4331983690885429e-08	1.1999999369699859	0.80098073803525061	1.1997674309480699
126	1.6999999999999866	6.4313000123968038e-08	1.1999999369699859	0.79908568725933304	1.1997875748651055
127	1.7049999999999865	6.4295742730735932e-08	1.1999999369699859	0.79719076865359462	1.1998058973238062
128	1.7099999999999864	6.4280047901966954e-08	1.1999999369699859	0.79529609626471309	1.199822568980655
129	1.7149999999999863	6.4265768599069008e-08	1.1999999369699859	0.79340179129945243	1.1998377440084977
130	1.7199999999999862	6.4252771934543365e-08	1.1999999369699861	0.79150798176752746	1.1998515617304535
131	1.7249999999999861	6.4240937993403532e-08	1.1999999369699863	0.78961480212998902	1.1998641480894043
132	1.729999999999986	6.4230158288279065e-08	1.1999999369699859	0.78772239289804458	1.1998756169753229
133	1.7349999999999859	6.4220335078151415e-08	1.1999999369699859	0.78583089993697586	1.1998860714101316
134	1.7399999999999858	6.4211380102418718e-08	1.1999999369699859	0.78394047403952016	1.1998956046112004
135	1.7449999999999857	6.4203213412408974e-08	1.1999999369699861	0.78205127012088194	1.1999043009574171
136	1.7499999999999856	6.4195762752144966e-08	1.1999999369699859	0.78016344652981706	1.1999122368438493
137	1.7549999999999855	6.4188962184726174e-08	1.1999999369699861	0.77827716428506144	1.1999194814600656
138	1.7599999999999854	6.4182753306425568e-08	1.1999999369699863	0.77639258613401618	1.1999260974926926
139	1.7649999999999852	6.4177081829748534e-08	1.1999999369699859	0.7745098758300093	1.1999321417501048
140	1.7699999999999851	6.4171899455751349e-08	1.1999999369699859	0.77262919705135591	1.1999376657320013
