point	sweep_V	cmos_out_n_V	cmos_out_p_V	cm_n_V	cm_p_V
0	1.0700000000000001	1.1999998886293093	4.7687966382502032e-08	1.0327355297656029	0.00029383466878693347
1	1.075	1.1999998885933676	4.7687966515124945e-08	1.0309488720728748	0.00032228056177532297
2	1.0799999999999998	1.1999998885535608	4.7687966721208908e-08	1.0291597065465197	0.00035364135267426937
3	1.0849999999999997	1.1999998885096343	4.7687966761970675e-08	1.0273682272157565	0.00038822837740858595
4	1.0899999999999996	1.1999998884611975	4.7687966647794445e-08	1.0255745321136494	0.0004263874512374353
5	1.0949999999999995	1.1999998884076191	4.7687966631538613e-08	1.0237786931367558	0.00046850288287126089
6	1.0999999999999994	1.199999888348334	4.7687966723706597e-08	1.0219807826422795	0.00051500195204475137
7	1.1049999999999993	1.1999998882828307	4.768796668907989e-08	1.0201808603752454	0.00056636016072547819
8	1.1099999999999992	1.1999998882102128	4.7687966784086705e-08	1.0183789910339813	0.00062310674245352055
9	1.1149999999999991	1.1999998881300791	4.7687966783524911e-08	1.0165752363185423	0.00068583123101810181
10	1.119999999999999	1.1999998880410532	4.7687966940824223e-08	1.0147696512119018	0.00075519088095931525
11	1.1249999999999989	1.1999998879424516	4.7687967276641235e-08	1.0129622953431414	0.00083191878623621466
12	1.1299999999999988	1.1999998878330329	4.7687967317402578e-08	1.0111532169664106	0.0009168336908429997
13	1.1349999999999987	1.199999887711797	4.7687967336418891e-08	1.0093424704954708	0.0010108504377945426
14	1.1399999999999986	1.1999998875769542	4.768796760090747e-08	1.0075301102022474	0.0011149924413118972
15	1.1449999999999985	1.1999998874270066	4.7687967644173066e-08	1.0057161782702477	0.001230406265073398
16	1.1499999999999984	1.1999998872601976	4.7687967746845317e-08	1.0039007242629612	0.0013583774386513774
17	1.1549999999999983	1.1999998870744319	4.7687967940755723e-08	1.0020837904813662	0.0015003498250470253
18	1.1599999999999981	1.199999886867402	4.7687968025752938e-08	1.0002654229369154	0.0016579471999159552
19	1.164999999999998	1.1999998866362271	4.7687968283278694e-08	0.99844566145204672	0.0018329992433380633
20	1.1699999999999979	1.1999998863779577	4.7687968520365545e-08	0.99662454651819099	0.0020275712584786384
21	1.1749999999999978	1.1999998860890124	4.7687968786789595e-08	0.99480211827717013	0.0022439995048986541
22	1.1799999999999977	1.1999998857652268	4.7687969149682861e-08	0.99297841469882653	0.0024849330917736875
