LVSDB input file passed, bypassing LVS
Unable to find info about extracted LVS layer 'cont_drw'
Unable to find info about extracted LVS layer 'emwind_drw'
(19, 0) -> (via1_drw)
(29, 0) -> (via2_drw)
(46, 0) -> (pwell pwell_sub)
(8, 0) -> (metal1_con)
(10, 0) -> (metal2_con)
(30, 0) -> (metal3_con)
(65, 244) -> (ptap)
(8, 2) -> (metal1_pin_con)
(10, 2) -> (metal2_pin_con)
(30, 2) -> (metal3_pin_con)
Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;c2;dvbe;10.962;
C2;c2;vbe;0.299;
C3;c2;vd1;0.087;
C4;c2;vd2;45.151;
C5;c2;vss;67.975;
C6;dvbe;vbe;5.512;
C7;dvbe;vd1;0.179;
C8;dvbe;vd2;46.453;
C9;dvbe;vss;4.656;
C10;vbe;vd1;50.353;
C11;vbe;vd2;0.277;
C12;vbe;vss;2.849;
C13;vd1;vd2;18.848;
C14;vd1;vss;5.516;
C15;vd2;vss;11.483;
C16;VSUBS;c2;10.559;
C17;VSUBS;dvbe;17.836;
C18;VSUBS;vbe;18.812;
C19;VSUBS;vd1;28.388;
C20;VSUBS;vd2;17.539;
C21;VSUBS;vss;100.366;
<results-root>/bgr-union-pilot-check-20260922-r1/union_kpex/union__bgr_hbt_worstrows/bgr_hbt_worstrows_k25d_pex_netlist.csv
Wrote expanded netlist to: <results-root>/bgr-union-pilot-check-20260922-r1/union_kpex/union__bgr_hbt_worstrows/bgr_hbt_worstrows_k25d_pex_netlist.spice
