 time                   v(clk)                 v(xt.icmp)             v(xt.vth_soft)         v(xt.vth_hard)         v(cmp_soft)            v(cmp_hard)            v(isense)              v(xt.icmp_h)          
 0.000000000000000e+00  0.000000000000000e+00  1.000008862284034e+00  8.005235446364739e-01  9.986912380733399e-01  6.169513002890340e-01  6.166610163157706e-01  2.000021771068552e+00  9.999902386554788e-01 
 2.000000000000000e-12  0.000000000000000e+00  1.000008862284035e+00  8.005235446364742e-01  9.986912380733414e-01  6.169513002890238e-01  6.166610163157714e-01  2.000021771068595e+00  9.999902386554789e-01 
 4.000000000000001e-12  0.000000000000000e+00  1.000008862284036e+00  8.005235446364745e-01  9.986912380733427e-01  6.169513002890171e-01  6.166610163157702e-01  2.000021771068640e+00  9.999902386554791e-01 
 8.000000000000001e-12  0.000000000000000e+00  1.000008862284038e+00  8.005235446364748e-01  9.986912380733449e-01  6.169513002890050e-01  6.166610163157735e-01  2.000021771068726e+00  9.999902386554793e-01 
 1.600000000000000e-11  0.000000000000000e+00  1.000008862284043e+00  8.005235446364781e-01  9.986912380733519e-01  6.169513002889839e-01  6.166610163158143e-01  2.000021771068821e+00  9.999902386554831e-01 
 3.200000000000001e-11  0.000000000000000e+00  1.000008862284051e+00  8.005235446364646e-01  9.986912380733766e-01  6.169513002889265e-01  6.166610163159679e-01  2.000021771068854e+00  9.999902386554922e-01 
 6.400000000000001e-11  0.000000000000000e+00  1.000008862284007e+00  8.005235446363697e-01  9.986912380733733e-01  6.169513002887946e-01  6.166610163163493e-01  2.000021771068664e+00  9.999902386554509e-01 
 1.280000000000000e-10  0.000000000000000e+00  1.000008862283945e+00  8.005235446361817e-01  9.986912380733501e-01  6.169513002874726e-01  6.166610163214620e-01  2.000021771068084e+00  9.999902386553901e-01 
 2.560000000000000e-10  0.000000000000000e+00  1.000008862283905e+00  8.005235446358676e-01  9.986912380733559e-01  6.169513002952679e-01  6.166610162906276e-01  2.000021771067313e+00  9.999902386553395e-01 
 5.120000000000001e-10  0.000000000000000e+00  1.000008862283889e+00  8.005235446354779e-01  9.986912380733618e-01  6.169513002767915e-01  6.166610163635338e-01  2.000021771067138e+00  9.999902386553211e-01 
 1.024000000000000e-09  0.000000000000000e+00  1.000008862285193e+00  8.005235446363101e-01  9.986912380750570e-01  6.169513003053807e-01  6.166610162506350e-01  2.000021771070302e+00  9.999902386565280e-01 
 2.024000000000000e-09  0.000000000000000e+00  1.000008862288270e+00  8.005235446390204e-01  9.986912380792061e-01  6.169513002694785e-01  6.166610163922004e-01  2.000021771070444e+00  9.999902386594797e-01 
 3.024000000000000e-09  0.000000000000000e+00  1.000008862290755e+00  8.005235446402184e-01  9.986912380814288e-01  6.169513003117161e-01  6.166610162257620e-01  2.000021771067147e+00  9.999902386617802e-01 
 4.024000000000000e-09  0.000000000000000e+00  1.000008862293144e+00  8.005235446407002e-01  9.986912380834010e-01  6.169513002622917e-01  6.166610164209496e-01  2.000021771066660e+00  9.999902386640500e-01 
 5.024000000000000e-09  0.000000000000000e+00  1.000008862295422e+00  8.005235446408814e-01  9.986912380858259e-01  6.169513003202138e-01  6.166610161917803e-01  2.000021771066469e+00  9.999902386661618e-01 
 6.024000000000000e-09  0.000000000000000e+00  1.000008862297593e+00  8.005235446409729e-01  9.986912380869433e-01  6.169513002522711e-01  6.166610164609837e-01  2.000021771066236e+00  9.999902386682846e-01 
 7.024000000000000e-09  0.000000000000000e+00  1.000008862299663e+00  8.005235446410437e-01  9.986912380872581e-01  6.169513003317016e-01  6.166610161449493e-01  2.000021771065998e+00  9.999902386702436e-01 
 8.024000000000000e-09  0.000000000000000e+00  1.000008862301659e+00  8.005235446410901e-01  9.986912380870905e-01  6.169513002387517e-01  6.166610165157886e-01  2.000021771065752e+00  9.999902386722618e-01 
 9.024000000000000e-09  0.000000000000000e+00  1.000008862303583e+00  8.005235446411010e-01  9.986912380870616e-01  6.169513003479102e-01  6.166610160808168e-01  2.000021771065527e+00  9.999902386740460e-01 
 1.002400000000000e-08  0.000000000000000e+00  1.000008862305438e+00  8.005235446411063e-01  9.986912380868975e-01  6.169513002200074e-01  6.166610165911313e-01  2.000021771065337e+00  9.999902386759673e-01 
 1.102400000000000e-08  0.000000000000000e+00  1.000008862307227e+00  8.005235446411083e-01  9.986912380870383e-01  6.169513003699483e-01  6.166610159923671e-01  2.000021771065156e+00  9.999902386775774e-01 
 1.202400000000000e-08  0.000000000000000e+00  1.000008862308951e+00  8.005235446411194e-01  9.986912380869266e-01  6.169513001940787e-01  6.166610166950282e-01  2.000021771064926e+00  9.999902386793504e-01 
 1.302400000000000e-08  0.000000000000000e+00  1.000008862310614e+00  8.005235446411425e-01  9.986912380871171e-01  6.169513004000513e-01  6.166610158705650e-01  2.000021771064696e+00  9.999902386807534e-01 
 1.402400000000000e-08  0.000000000000000e+00  1.000008862312241e+00  8.005235446411543e-01  9.986912380869171e-01  6.169513001586452e-01  6.166610168380265e-01  2.000021771064463e+00  9.999902386824983e-01 
 1.502400000000000e-08  0.000000000000000e+00  1.000008862313809e+00  8.005235446411718e-01  9.986912380871793e-01  6.169513004418660e-01  6.166610157026421e-01  2.000021771064223e+00  9.999902386837504e-01 
 1.602400000000000e-08  0.000000000000000e+00  1.000008862315295e+00  8.005235446412355e-01  9.986912380869287e-01  6.169513001096567e-01  6.166610170350597e-01  2.000021771063969e+00  9.999902386854167e-01 
 1.702400000000000e-08  0.000000000000000e+00  1.000008862316727e+00  8.005235446413348e-01  9.986912380872360e-01  6.169513004989748e-01  6.166610154712523e-01  2.000021771063698e+00  9.999902386864312e-01 
 1.802400000000000e-08  0.000000000000000e+00  1.000008862318103e+00  8.005235446413854e-01  9.986912380867921e-01  6.169513000427846e-01  6.166610173062678e-01  2.000021771063432e+00  9.999902386880857e-01 
 1.902400000000000e-08  0.000000000000000e+00  1.000008862319428e+00  8.005235446413690e-01  9.986912380872157e-01  6.169513005774639e-01  6.166610151531572e-01  2.000021771063165e+00  9.999902386888539e-01 
 2.000000000000000e-08  0.000000000000000e+00  1.000008862317980e+00  8.005235446402353e-01  9.986912380848655e-01  6.169512999493859e-01  6.166610176856110e-01  2.000021771063646e+00  9.999902386879642e-01 
 2.002000000000000e-08  1.199999999999971e-01  1.000289803322120e+00  8.008009187134298e-01  9.986944561194013e-01  6.169600372157192e-01  6.166603624015380e-01  2.000021771164846e+00  9.999934313281933e-01 
 2.006000000000000e-08  3.599999999999914e-01  1.000720067151246e+00  8.012239464881378e-01  9.986956771315154e-01  6.169311795137070e-01  6.166590088461380e-01  2.000021772164802e+00  9.999946585471304e-01 
 2.009960112921206e-08  5.976067752723392e-01  9.990673739936872e-01  7.995964963573677e-01  9.986886347526605e-01  6.169399484483857e-01  6.166666677388549e-01  2.000021776241699e+00  9.999876809611323e-01 
 2.014181336910178e-08  8.508802146106935e-01  9.826281270500841e-01  7.875162541307926e-01  9.986543726509401e-01  6.168374029982147e-01  6.166912342340777e-01  2.000021779252271e+00  9.999536541573010e-01 
 2.017090668455089e-08  1.025440107305342e+00  9.674435979749947e-01  7.755768239221302e-01  9.986066165774583e-01  6.166485116714072e-01  6.167245335006860e-01  2.000021762455089e+00  9.999061748709406e-01 
 2.020000000000000e-08  1.199999999999991e+00  9.598328919179256e-01  7.671941719488624e-01  9.985465916412694e-01  6.180450785370656e-01  6.167689079076887e-01  2.000021677050219e+00  9.998464080930589e-01 
