instance,logical_pin,old_x_um,old_y_um,new_x_um,new_y_um,dx_um,dy_um
IO_BOND_pad01_vdd,VDD,395.0,106.0,395.0,101.0,0.0,-5.0
IO_BOND_pad02_vss,VSS,507.0,106.0,507.0,101.0,0.0,-5.0
IO_BOND_pad03_iovdd,IOVDD,619.0,106.0,619.0,101.0,0.0,-5.0
IO_BOND_pad04_iovss,IOVSS,731.0,106.0,731.0,101.0,0.0,-5.0
IO_BOND_pad05_vss,VSS,843.0,106.0,843.0,101.0,0.0,-5.0
IO_BOND_pad06_iovss,IOVSS,955.0,106.0,955.0,101.0,0.0,-5.0
IO_BOND_pad07_vdda,VDDA,1308.0,395.0,1313.0,395.0,5.0,0.0
IO_BOND_pad08_sense_p,SENSE_P,1308.0,507.0,1313.0,507.0,5.0,0.0
IO_BOND_pad09_sense_n,SENSE_N,1308.0,619.0,1313.0,619.0,5.0,0.0
IO_BOND_pad10_gate,GATE,1308.0,731.0,1313.0,731.0,5.0,0.0
IO_BOND_pad11_fault_n,FAULT_N,1308.0,843.0,1313.0,843.0,5.0,0.0
IO_BOND_pad12_en,EN,1308.0,955.0,1313.0,955.0,5.0,0.0
IO_BOND_pad13_trip_set,TRIP_SET,395.0,1308.0,395.0,1313.0,0.0,5.0
IO_BOND_pad14_sclk,SCLK,507.0,1308.0,507.0,1313.0,0.0,5.0
IO_BOND_pad15_sdi,SDI,619.0,1308.0,619.0,1313.0,0.0,5.0
IO_BOND_pad16_sdo,SDO,731.0,1308.0,731.0,1313.0,0.0,5.0
IO_BOND_pad17_temp_out,TEMP_OUT,843.0,1308.0,843.0,1313.0,0.0,5.0
IO_BOND_pad18_vref,VREF,955.0,1308.0,955.0,1313.0,0.0,5.0
IO_BOND_pad19_g_shared,G_SHARED,106.0,395.0,101.0,395.0,-5.0,0.0
IO_BOND_pad20_d_std,D_STD,106.0,507.0,101.0,507.0,-5.0,0.0
IO_BOND_pad21_d_elt,D_ELT,106.0,619.0,101.0,619.0,-5.0,0.0
IO_BOND_pad22_hbt_e,HBT_E,106.0,731.0,101.0,731.0,-5.0,0.0
IO_BOND_pad23_hbt_b,HBT_B,106.0,843.0,101.0,843.0,-5.0,0.0
IO_BOND_pad24_hbt_c,HBT_C,106.0,955.0,101.0,955.0,-5.0,0.0
