seed,run_id,vref25_V,loaded_reference_four_point_box_TC_ppm_C,loaded_reference_25_to_100_slope_ppm_C,linear_cold_residual_C,linear_hot_residual_C,linear_endpoint_status
51001,t2f_mc_s51001_20260921_01,1.03968,43.31169497374512,-55.27341746178305,-1.0736273917925274,-0.323149498701909,passed
51002,t2f_mc_s51002_20260921_01,1.04904,19.411687222257058,-27.58077226162392,-1.3804947737720852,-0.37833652649230487,passed
51003,t2f_mc20_20260921_01_s51003,1.03777,45.8442213359001,-57.816279136998126,-0.9290603596672895,-0.27015094744132284,passed
51004,t2f_mc20_20260921_01_s51004,1.05216,11.865921993658938,-5.829278183292116,-1.2198964750054415,-0.3689894996165606,passed
51005,t2f_mc20_20260921_01_s51005,1.033,48.10936079087087,-59.761213294609774,-0.7977625618993045,-0.26188967300177524,passed
51006,t2f_mc20_20260921_01_s51006,1.02895,63.789653176891974,-75.67585078640083,-0.7910285559847807,-0.24532514473399658,passed
51007,t2f_mc20_20260921_01_s51007,1.04539,30.146788772755368,-42.089555094271994,-1.0842857092261085,-0.3130351200602064,passed
51008,t2f_mc20_20260921_01_s51008,1.05008,17.718707723279547,4.698054751385664,-1.3173360749641034,-0.3877736646639818,passed
51009,t2f_mc20_20260921_01_s51009,0.993645,179.85205069123396,-192.42284719391822,0.45021814855856235,0.09874960190767013,passed
51010,t2f_mc20_20260921_01_s51010,1.08943,130.0652356709204,119.57323248548887,-2.644540265034024,-0.7666532969795554,failed
51011,t2f_mc20_20260921_01_s51011,1.01437,138.99655884336067,-151.81837002277229,0.07892280402755603,0.013362340025480535,passed
51012,t2f_mc20_20260921_01_s51012,1.04033,47.47910700829546,-59.7246386563229,-0.8819334463742621,-0.2423405506990548,passed
51013,t2f_mc20_20260921_01_s51013,1.07108,77.06749686807179,66.35047491005963,-1.9247253133353723,-0.5578635607560329,passed
51014,t2f_mc20_20260921_01_s51014,1.02043,101.26449960637382,-113.67756730005823,-0.20210002385329062,-0.030581997039860198,passed
51015,t2f_mc20_20260921_01_s51015,1.01916,114.23549042764839,-126.64023967450552,-0.23958869460949472,-0.0693227040205926,passed
51016,t2f_mc20_20260921_01_s51016,1.04582,11.76400365553361,-15.04401649742082,-1.3026448633299736,-0.41671774154984575,passed
51017,t2f_mc20_20260921_01_s51017,1.0259,77.56677802491154,-89.67735646749315,-0.46905619519068864,-0.15499905744879072,passed
51018,t2f_mc20_20260921_01_s51018,1.06352,28.778077145761806,17.17566822125131,-1.5146006782562011,-0.4914350092826538,passed
51019,t2f_mc20_20260921_01_s51019,1.03602,32.291408905759795,-43.88589666866061,-1.0487199896883652,-0.3835974308558434,passed
51020,t2f_mc20_20260921_01_s51020,1.05071,21.284309051629407,9.13667900752794,-1.5174563357189186,-0.5071461196503009,passed
51021,t2f_mc100_20260921_01_s51021,1.05029,12.752610606536924,-16.63032749684934,-1.2017257473526826,-0.41792756098740824,passed
51022,t2f_mc100_20260921_01_s51022,1.03005,46.01129983392944,-57.47293820688319,-0.9876103971143237,-0.31925530956317516,passed
51023,t2f_mc100_20260921_01_s51023,1.04722,10.880177416340427,-13.623371084078665,-1.2681756365489747,-0.35427429251028286,passed
51024,t2f_mc100_20260921_01_s51024,1.03446,53.255717080320174,-65.2192126004536,-0.8460124523919745,-0.24034984785591007,passed
51025,t2f_mc100_20260921_01_s51025,1.0155,111.84220342270551,-124.20810766453332,-0.24778160246644632,-0.07021312260256707,passed
51026,t2f_mc100_20260921_01_s51026,1.04483,19.373892635570982,-27.564292755758817,-1.1762006693856364,-0.39677289175561725,passed
51027,t2f_mc100_20260921_01_s51027,1.03099,42.91256388754959,-54.44605023650517,-0.7785048110387152,-0.29596125731352174,passed
51028,t2f_mc100_20260921_01_s51028,1.0459,11.821050161235888,-15.170347706918719,-1.266312313497778,-0.3650130584730533,passed
51029,t2f_mc100_20260921_01_s51029,0.998637,182.4972285710269,-195.42636613704514,0.4965034419957419,0.11807008380438333,passed
51030,t2f_mc100_20260921_01_s51030,1.0829,106.05640857741712,95.29965832486849,-2.266962052548436,-0.6818273095500018,failed
51031,t2f_mc100_20260921_01_s51031,1.04546,17.21730147494963,-23.976686498448824,-1.316937202352122,-0.38256279540648563,passed
51032,t2f_mc100_20260921_01_s51032,1.01569,128.1111482058614,-140.72535255179673,-0.08478912367934299,-0.07311775508938467,passed
51033,t2f_mc100_20260921_01_s51033,1.02924,65.18490254062081,-77.07952793647,-0.720401027345261,-0.23772386299839354,passed
51034,t2f_mc100_20260921_01_s51034,1.01641,119.91104758787135,-132.36128465218934,-0.24671299300645444,-0.09471877743663981,passed
51035,t2f_mc100_20260921_01_s51035,1.0359,39.60836280558228,-51.22759597129859,-0.9069380365783388,-0.2468636550325698,passed
51036,t2f_mc100_20260921_01_s51036,1.034,57.4409471894967,-69.50354609929063,-0.9229300832583363,-0.32715189359572605,passed
51037,t2f_mc100_20260921_01_s51037,1.08308,103.80049712324372,92.94481170981565,-2.4659693504327294,-0.6711139161750594,failed
51038,t2f_mc100_20260921_01_s51038,1.05211,16.647642846424684,3.29496598898101,-1.4148898987667167,-0.4363000732464002,passed
51039,t2f_mc100_20260921_01_s51039,1.02995,58.13756772541245,-70.03576225383057,-0.8252570779207105,-0.23006989500409247,passed
51040,t2f_mc100_20260921_01_s51040,1.02814,64.42938144846377,-76.12452260068459,-0.6873770034453486,-0.24517246716057173,passed
51041,t2f_mc100_20260921_01_s51041,1.0262,58.940604643196004,-70.42162021698199,-0.6978137526285337,-0.24096496115480193,passed
51042,t2f_mc100_20260921_01_s51042,1.04986,9.871446062938842,-10.668089078542664,-1.27911983297372,-0.3601136121887407,passed
51043,t2f_mc100_20260921_01_s51043,1.06915,54.58881949552124,43.398961792077515,-1.9289522630839713,-0.547733940304056,passed
51044,t2f_mc100_20260921_01_s51044,1.02852,80.1976125742308,-92.43054745330011,-0.7471671032915026,-0.25024496288916964,passed
51045,t2f_mc100_20260921_01_s51045,1.01754,107.09131529934577,-119.24183160694658,-0.29952577590401575,-0.12895576902698735,passed
51046,t2f_mc100_20260921_01_s51046,1.04371,28.917820258326635,-40.75206075761765,-1.0576137877478828,-0.3104275779116392,passed
51047,t2f_mc100_20260921_01_s51047,1.02684,80.80099817858367,-92.97131653097573,-0.4466915795463393,-0.1599789213132965,passed
51048,t2f_mc100_20260921_01_s51048,1.0383,35.080653399058896,-46.87148865132033,-0.9995576878280445,-0.33969108700215145,passed
51049,t2f_mc100_20260921_01_s51049,1.03282,68.8905280218376,-81.07253280662086,-0.6514826346379863,-0.2041848493535241,passed
51050,t2f_mc100_20260921_01_s51050,1.02694,82.15050184395967,-94.39045448938809,-0.5456684021474842,-0.17624343747731075,passed
51051,t2f_mc100_20260921_01_s51051,1.03691,39.92047467373261,-51.692046561416426,-0.9573383159089701,-0.3349105880633374,passed
51052,t2f_mc100_20260921_01_s51052,1.03019,67.12501106739147,-79.07926369569088,-0.8247004773846385,-0.28392594834868135,passed
51053,t2f_mc100_20260921_01_s51053,1.05663,13.880607844435477,-0.8833114082825351,-1.4460631317797947,-0.4329062508694079,passed
51054,t2f_mc100_20260921_01_s51054,1.04552,15.883063553122268,-21.934858571173166,-1.2213214755098818,-0.3886144722141154,passed
51055,t2f_mc100_20260921_01_s51055,1.0202,112.51507428727555,-125.07351499706056,-0.27814175128322915,-0.1397647901977166,passed
