failed_points,group,independent_points,maximum_abs_residual_C,seed
0,nominal_and_between_knots,10,0.45268375731106403,0
0,smoke20_eight_temperatures,6,0.20614800466083238,51001
0,smoke20_eight_temperatures,6,0.35284129163966327,51002
0,smoke20_eight_temperatures,6,0.3527513228850978,51003
0,smoke20_eight_temperatures,6,0.3230997487204661,51004
0,smoke20_eight_temperatures,6,0.6680124758203476,51005
0,smoke20_eight_temperatures,6,0.3986630437352119,51006
0,smoke20_eight_temperatures,6,0.379069231555917,51007
0,smoke20_eight_temperatures,6,0.8916221625166827,51008
0,smoke20_eight_temperatures,6,0.5067762105369411,51009
0,smoke20_eight_temperatures,6,0.5950010672478641,51010
0,smoke20_eight_temperatures,6,0.1852328999580095,51011
0,smoke20_eight_temperatures,6,0.3068409384478912,51012
0,smoke20_eight_temperatures,6,0.4865035514232261,51013
0,smoke20_eight_temperatures,6,0.5181979413013664,51014
0,smoke20_eight_temperatures,6,0.17106916648799597,51015
0,smoke20_eight_temperatures,6,0.6818048476573324,51016
0,smoke20_eight_temperatures,6,0.5994886860138138,51017
0,smoke20_eight_temperatures,6,0.2363663748549527,51018
0,smoke20_eight_temperatures,6,0.6192109172972096,51019
0,smoke20_eight_temperatures,6,0.6610264985356196,51020
0,expanded_endpoint_samples,2,0.4319498441537064,51021
0,expanded_endpoint_samples,2,0.5560050995931647,51022
0,expanded_endpoint_samples,2,0.4681985354591234,51023
0,expanded_endpoint_samples,2,0.5410054718027197,51024
0,expanded_endpoint_samples,2,0.5566797627554365,51025
0,expanded_endpoint_samples,2,0.5119784486177252,51026
0,expanded_endpoint_samples,2,0.9153354611039219,51027
0,expanded_endpoint_samples,2,0.5551067086622368,51028
0,expanded_endpoint_samples,2,0.3017119839475697,51029
0,expanded_endpoint_samples,2,0.3190294807773455,51030
0,expanded_endpoint_samples,2,0.6240786212464684,51031
0,expanded_endpoint_samples,2,0.22538743158835928,51032
0,expanded_endpoint_samples,2,0.5824531454872215,51033
0,expanded_endpoint_samples,2,0.18056143115612144,51034
0,expanded_endpoint_samples,2,0.49848475462118813,51035
0,expanded_endpoint_samples,2,0.15055521873077282,51036
0,expanded_endpoint_samples,2,0.2759484531777048,51037
0,expanded_endpoint_samples,2,0.37925879808443597,51038
0,expanded_endpoint_samples,2,0.7653095611867116,51039
0,expanded_endpoint_samples,2,0.6289351272960744,51040
0,expanded_endpoint_samples,2,0.818430236552274,51041
0,expanded_endpoint_samples,2,0.7453837261806484,51042
0,expanded_endpoint_samples,2,0.4046364353802119,51043
0,expanded_endpoint_samples,2,0.38436207380851783,51044
0,expanded_endpoint_samples,2,0.6696347034842347,51045
0,expanded_endpoint_samples,2,0.40513588667334943,51046
0,expanded_endpoint_samples,2,0.4816005266762602,51047
0,expanded_endpoint_samples,2,0.40555487934827283,51048
0,expanded_endpoint_samples,2,0.4616961130869015,51049
0,expanded_endpoint_samples,2,0.3969939263645017,51050
0,expanded_endpoint_samples,2,0.5326660547753193,51051
0,expanded_endpoint_samples,2,0.31310995220806603,51052
0,expanded_endpoint_samples,2,0.3145944463049659,51053
0,expanded_endpoint_samples,2,0.7616253854958472,51054
0,expanded_endpoint_samples,2,0.08586415151432902,51055
0,expanded_endpoint_samples,2,0.46194412727550116,51056
0,expanded_endpoint_samples,2,0.6254819150545359,51057
0,expanded_endpoint_samples,2,0.6596342365364194,51058
0,expanded_endpoint_samples,2,0.6207981406705869,51059
0,expanded_endpoint_samples,2,0.6150649635686136,51060
0,expanded_endpoint_samples,2,0.49740408961267235,51061
