seed,linear_maximum_abs_residual_C,linear_calibration_status,candidate_cold_residual_C,candidate_hot_residual_C,candidate_maximum_abs_residual_C,candidate_endpoint_status
51001,1.0736273917925274,passed,-0.16766974698186488,0.022582095731138452,0.16766974698186488,passed
51002,1.3804947737720852,passed,-0.46915306326665984,-0.03337812226475023,0.46915306326665984,passed
51003,0.9290603596672895,passed,-0.025639179935573964,0.07632317585006376,0.07632317585006376,passed
51004,1.2198964750054415,passed,-0.31137250219976664,-0.023900140164187178,0.31137250219976664,passed
51005,0.7977625618993045,passed,0.10335496482048256,0.08470019373035598,0.10335496482048256,passed
51006,0.7910285559847807,passed,0.10997082090103305,0.10149679702605852,0.10997082090103305,passed
51007,1.0842857092261085,passed,-0.17814106154506248,0.0328381804732345,0.17814106154506248,passed
51008,1.3173360749641034,passed,-0.40710249977558277,-0.042947478153053,0.40710249977558277,passed
51009,0.45021814855856235,passed,1.3294395386229851,0.45039215522649556,1.3294395386229851,passed
51010,2.644540265034024,failed,-1.7110205572379868,-0.42713535105517053,1.7110205572379868,passed
51011,0.07892280402755603,passed,0.9646586646564828,0.3638085869439749,0.9646586646564828,passed
51012,0.8819334463742621,passed,0.0206608797651171,0.10452320630214729,0.10452320630214729,passed
51013,1.9247253133353723,passed,-1.0038349406058913,-0.2154203951646423,1.0038349406058913,passed
51014,0.20210002385329062,passed,0.688566453243503,0.3192485738336188,0.688566453243503,passed
51015,0.23958869460949472,passed,0.6517355306808597,0.27996509554610327,0.6517355306808597,passed
51016,1.3026448633299736,passed,-0.39266904915881895,-0.07229707201730662,0.39266904915881895,passed
51017,0.46905619519068864,passed,0.42629409533335405,0.1930883854405181,0.42629409533335405,passed
51018,1.5146006782562011,passed,-0.6009060457975224,-0.14806115567597544,0.6009060457975224,passed
51019,1.0487199896883652,passed,-0.1431993515362464,-0.03871273379985496,0.1431993515362464,passed
51020,1.5174563357189186,passed,-0.6037116000290581,-0.16399238437830377,0.6037116000290581,passed
