temperature_C,frequency_Hz,inferred_temperature_C,residual_C,role
-40.0,1187809.804924511,-40.90296330023499,-0.9029633002349868,independent
-20.0,1289511.228499616,-20.545791582668087,-0.5457915826680875,independent
0.0,1390896.029130926,-0.2519970274847907,-0.2519970274847907,independent
25.0,1517051.277091691,25.0,0.0,calibration
50.0,1642631.882293927,50.13697305928049,0.13697305928049275,independent
75.0,1767812.227404736,75.19382763912937,0.19382763912936696,independent
100.0,1891740.201170018,100.0,0.0,calibration
125.0,2014910.843973111,124.65458041749014,-0.34541958250986227,independent
