attempted_temperatures,calibration_status,cold_residual_C,completed_temperatures,failed_temperatures,fingerprints_status,frequency25_Hz,hbt_vce_max_V,hot_residual_C,maximum_abs_residual_C,not_completed_temperatures,run_id,seed,slope_Hz_C
4,passed,-1.0736273917925274,4,0,passed,1520632.849376088,1.0707308729275349,-0.323149498701909,1.0736273917925274,0,t2f_mc_s51001_20260921_01,51001,4922.0155627820795
4,passed,-1.3804947737720852,4,0,passed,1540430.623529731,1.0788149087137555,-0.37833652649230487,1.3804947737720852,0,t2f_mc_s51002_20260921_01,51002,4953.974538816611
4,passed,-0.9290603596672895,4,0,passed,1521746.180916409,1.074823696256849,-0.27015094744132284,0.9290603596672895,0,t2f_mc20_20260921_01_s51003,51003,4985.344282361281
4,passed,-1.2198964750054415,4,0,passed,1560666.369424751,1.0906670731895538,-0.3689894996165606,1.2198964750054415,0,t2f_mc20_20260921_01_s51004,51004,5045.990366577534
4,passed,-0.7977625618993045,4,0,passed,1485280.223178206,1.073694674652336,-0.26188967300177524,0.7977625618993045,0,t2f_mc20_20260921_01_s51005,51005,4955.595250903451
4,passed,-0.7910285559847807,4,0,passed,1497178.566990506,1.0606156517785892,-0.24532514473399658,0.7910285559847807,0,t2f_mc20_20260921_01_s51006,51006,4941.966954536162
4,passed,-1.0842857092261085,4,0,passed,1520449.47527388,1.0771754731764926,-0.3130351200602064,1.0842857092261085,0,t2f_mc20_20260921_01_s51007,51007,4954.954507695375
4,passed,-1.3173360749641034,4,0,passed,1552120.346755326,1.0881504188547522,-0.3877736646639818,1.3173360749641034,0,t2f_mc20_20260921_01_s51008,51008,5117.329742935934
4,passed,0.45021814855856235,4,0,passed,1425290.968697225,1.0463950940799944,0.09874960190767013,0.45021814855856235,0,t2f_mc20_20260921_01_s51009,51009,4968.670948042066
4,failed,-2.644540265034024,4,0,passed,1646206.040382669,1.1179761946541593,-0.7666532969795554,2.644540265034024,0,t2f_mc20_20260921_01_s51010,51010,5077.39858428084
4,passed,0.07892280402755603,4,0,passed,1443102.439348208,1.0628377974130496,0.013362340025480535,0.07892280402755603,0,t2f_mc20_20260921_01_s51011,51011,4892.611807309681
4,passed,-0.8819334463742621,4,0,passed,1519835.948907675,1.0860328621228568,-0.2423405506990548,0.8819334463742621,0,t2f_mc20_20260921_01_s51012,51012,4979.21303193468
4,passed,-1.9247253133353723,4,0,passed,1614905.741484476,1.10415065761241,-0.5578635607560329,1.9247253133353723,0,t2f_mc20_20260921_01_s51013,51013,5107.248176620814
4,passed,-0.20210002385329062,4,0,passed,1479584.872872218,1.0648321488970236,-0.030581997039860198,0.20210002385329062,0,t2f_mc20_20260921_01_s51014,51014,5026.439494843294
4,passed,-0.23958869460949472,4,0,passed,1463534.617212978,1.0694167787454567,-0.0693227040205926,0.23958869460949472,0,t2f_mc20_20260921_01_s51015,51015,4894.994663180802
4,passed,-1.3026448633299736,4,0,passed,1519499.788267201,1.0770846082348304,-0.41671774154984575,1.3026448633299736,0,t2f_mc20_20260921_01_s51016,51016,4969.848690033412
4,passed,-0.46905619519068864,4,0,passed,1486163.032641992,1.067154516582258,-0.15499905744879072,0.46905619519068864,0,t2f_mc20_20260921_01_s51017,51017,5010.971330413961
4,passed,-1.5146006782562011,4,0,passed,1591129.611528688,1.090092460194905,-0.4914350092826538,1.5146006782562011,0,t2f_mc20_20260921_01_s51018,51018,5063.785244410451
4,passed,-1.0487199896883652,4,0,passed,1514575.230750269,1.0831978566192142,-0.3835974308558434,1.0487199896883652,0,t2f_mc20_20260921_01_s51019,51019,4992.2499539549335
4,passed,-1.5174563357189186,4,0,passed,1559713.079081254,1.089681103445039,-0.5071461196503009,1.5174563357189186,0,t2f_mc20_20260921_01_s51020,51020,5052.623392742918
