candidate_residual_C,candidate_status,fingerprints_status,frequency_Hz,linear_residual_C,linear_status,run_id,seed,simulation_status,temperature_C
-0.10877958229690421,passed,passed,1295910.777838856,-0.6565138144772504,passed,t2f_mc20_mid_a_20260921_01_s51001,51001,passed,-20
-0.06181953617783975,passed,passed,1396033.380554162,-0.31472467581928143,passed,t2f_mc20_mid_a_20260921_01_s51001,51001,passed,0
0.027498080966729788,passed,passed,1644493.075759124,0.16453367592082202,passed,t2f_mc20_mid_a_20260921_01_s51001,51001,passed,50
0.019149116260649635,passed,passed,1767781.171672102,0.21282829027016703,passed,t2f_mc20_mid_a_20260921_01_s51001,51001,passed,75
-0.2869666446477446,passed,passed,1313350.918007666,-0.8378830457834923,passed,t2f_mc20_mid_a_20260921_01_s51002,51002,passed,-20
-0.14452972778846984,passed,passed,1414606.358814726,-0.39864985762757854,passed,t2f_mc20_mid_a_20260921_01_s51002,51002,passed,0
0.06501450793484054,passed,passed,1665281.360734705,0.20213542211664048,passed,t2f_mc20_mid_a_20260921_01_s51002,51002,passed,50
0.015593462209835707,passed,passed,1789166.218350069,0.20930020358056822,passed,t2f_mc20_mid_a_20260921_01_s51002,51002,passed,75
-0.023410004904526716,passed,passed,1294565.93810923,-0.5696196571556129,passed,t2f_mc20_mid_a_20260921_01_s51003,51003,passed,-20
-0.009842805750619021,passed,passed,1395806.491320221,-0.2619844213722722,passed,t2f_mc20_mid_a_20260921_01_s51003,51003,passed,0
0.04459940235565085,passed,passed,1647285.494858461,0.18167388884744184,passed,t2f_mc20_mid_a_20260921_01_s51003,51003,passed,50
-0.01940659708627379,passed,passed,1771882.723955179,0.1743769078861419,passed,t2f_mc20_mid_a_20260921_01_s51003,51003,passed,75
-0.19769642622641825,passed,passed,1329827.354332582,-0.747018587500115,passed,t2f_mc20_mid_a_20260921_01_s51004,51004,passed,-20
-0.10316066791042289,passed,passed,1432716.841246198,-0.35667309752227183,passed,t2f_mc20_mid_a_20260921_01_s51004,51004,passed,0
0.06914822797878628,passed,passed,1687857.008129985,0.20627854299723936,passed,t2f_mc20_mid_a_20260921_01_s51004,51004,passed,50
-0.014587108946983562,passed,passed,1813870.166347765,0.1792073564243708,passed,t2f_mc20_mid_a_20260921_01_s51004,51004,passed,75
0.03302088683856752,passed,passed,1259739.75666237,-0.5122856279914956,passed,t2f_mc20_mid_a_20260921_01_s51005,51005,passed,-20
0.017823529554740484,passed,passed,1360230.763148968,-0.23399383887136693,passed,t2f_mc20_mid_a_20260921_01_s51005,51005,passed,0
-0.022524599870251905,passed,passed,1609736.653120062,0.11432504887611117,passed,t2f_mc20_mid_a_20260921_01_s51005,51005,passed,50
-0.033212271166618734,passed,passed,1733855.556178058,0.16053983717382891,passed,t2f_mc20_mid_a_20260921_01_s51005,51005,passed,75
