model,temperature_C,vref_V,iptat_A,total_current_A
Schematic,-40.0,1.03810753,3.20880632e-06,1.72215046e-05
Schematic,-35.0,1.03816966,3.27821239e-06,1.75815697e-05
Schematic,-30.0,1.03821806,3.34757508e-06,1.79415959e-05
Schematic,-25.0,1.03825294,3.41689077e-06,1.83015675e-05
Schematic,-20.0,1.03827452,3.48615582e-06,1.86614691e-05
Schematic,-15.0,1.03828299,3.55536665e-06,1.90212851e-05
Schematic,-10.0,1.03827855,3.62451969e-06,1.93810001e-05
Schematic,-5.0,1.0382614,3.69361142e-06,1.9740599e-05
Schematic,0.0,1.03823171,3.76263834e-06,2.01000668e-05
Schematic,5.0,1.03818968,3.83159697e-06,2.04593886e-05
Schematic,10.0,1.03813547,3.90048388e-06,2.08185497e-05
Schematic,15.0,1.03806926,3.96929568e-06,2.11775354e-05
Schematic,20.0,1.0379912,4.03802897e-06,2.15363312e-05
Schematic,25.0,1.03790147,4.10668043e-06,2.1894923e-05
Schematic,30.0,1.03780022,4.17524673e-06,2.22532963e-05
Schematic,35.0,1.03768759,4.2437246e-06,2.26114372e-05
Schematic,40.0,1.03756376,4.3121108e-06,2.29693319e-05
Schematic,45.0,1.03742885,4.38040214e-06,2.33269665e-05
Schematic,50.0,1.03728302,4.44859549e-06,2.36843277e-05
Schematic,55.0,1.03712643,4.51668779e-06,2.40414023e-05
Schematic,60.0,1.03695921,4.58467609e-06,2.43981778e-05
Schematic,65.0,1.03678153,4.65255761e-06,2.47546423e-05
Schematic,70.0,1.03659357,4.72032978e-06,2.51107848e-05
Schematic,75.0,1.03639553,4.78799039e-06,2.54665962e-05
Schematic,80.0,1.03618765,4.85553776e-06,2.58220699e-05
Schematic,85.0,1.03597024,4.92297097e-06,2.61772027e-05
Schematic,90.0,1.03574369,4.9902903e-06,2.65319973e-05
Schematic,95.0,1.03550857,5.05749774e-06,2.68864647e-05
Schematic,100.0,1.03526564,5.12459774e-06,2.72406277e-05
Schematic,105.0,1.03501597,5.19159819e-06,2.75945261e-05
Schematic,110.0,1.03476105,5.25851169e-06,2.79482229e-05
Schematic,115.0,1.03450293,5.3253573e-06,2.83018134e-05
Schematic,120.0,1.03424446,5.39216289e-06,2.86554375e-05
Schematic,125.0,1.0339896,5.45896891e-06,2.90092985e-05
Schematic,130.0,1.03374394,5.52583384e-06,2.93636912e-05
Schematic,135.0,1.03351541,5.5928423e-06,2.97190419e-05
Schematic,140.0,1.03331528,5.66011635e-06,3.00759655e-05
Schematic,145.0,1.03315963,5.72783098e-06,3.04353425e-05
Schematic,150.0,1.03307118,5.79623499e-06,3.07984237e-05
Schematic,155.0,1.03308184,5.86567893e-06,3.11669699e-05
Schematic,160.0,1.03323612,5.93665217e-06,3.15434376e-05
Schematic,165.0,1.03359555,6.00983182e-06,3.19312234e-05
Schematic,170.0,1.03424452,6.08614668e-06,3.23349846e-05
Schematic,175.0,1.03529791,6.16686026e-06,3.27610543e-05
Capacitance PEX,-40.0,1.03930298,3.20881651e-06,1.72194559e-05
Capacitance PEX,-35.0,1.03938553,3.27822286e-06,1.75794993e-05
Capacitance PEX,-30.0,1.03945409,3.34758582e-06,1.79395035e-05
Capacitance PEX,-25.0,1.03950889,3.41690178e-06,1.82994529e-05
Capacitance PEX,-20.0,1.03955014,3.4861671e-06,1.86593319e-05
Capacitance PEX,-15.0,1.03957802,3.5553782e-06,1.9019125e-05
Capacitance PEX,-10.0,1.03959275,3.62453151e-06,1.93788169e-05
Capacitance PEX,-5.0,1.03959452,3.69362349e-06,1.97383923e-05
Capacitance PEX,0.0,1.03958349,3.76265066e-06,2.00978364e-05
Capacitance PEX,5.0,1.03955987,3.83160955e-06,2.04571341e-05
Capacitance PEX,10.0,1.03952381,3.90049672e-06,2.08162708e-05
Capacitance PEX,15.0,1.03947549,3.96930876e-06,2.11752318e-05
Capacitance PEX,20.0,1.03941508,4.0380423e-06,2.15340026e-05
Capacitance PEX,25.0,1.03934273,4.10669399e-06,2.1892569e-05
Capacitance PEX,30.0,1.0392586,4.17526053e-06,2.22509166e-05
Capacitance PEX,35.0,1.03916284,4.24373864e-06,2.26090316e-05
Capacitance PEX,40.0,1.03905561,4.31212509e-06,2.29668999e-05
Capacitance PEX,45.0,1.03893705,4.38041667e-06,2.33245079e-05
Capacitance PEX,50.0,1.03880731,4.44861027e-06,2.36818421e-05
Capacitance PEX,55.0,1.03866654,4.51670284e-06,2.40388896e-05
Capacitance PEX,60.0,1.03851489,4.58469143e-06,2.43956376e-05
Capacitance PEX,65.0,1.03835253,4.65257328e-06,2.47520744e-05
Capacitance PEX,70.0,1.03817962,4.72034583e-06,2.51081891e-05
Capacitance PEX,75.0,1.03799638,4.7880069e-06,2.54639729e-05
Capacitance PEX,80.0,1.03780304,4.85555486e-06,2.58194189e-05
Capacitance PEX,85.0,1.03759992,4.92298885e-06,2.61745247e-05
Capacitance PEX,90.0,1.03738744,4.99030923e-06,2.6529293e-05
Capacitance PEX,95.0,1.03716615,5.05751811e-06,2.68837355e-05
Capacitance PEX,100.0,1.03693685,5.12462005e-06,2.72378753e-05
Capacitance PEX,105.0,1.0367006,5.19162305e-06,2.75917529e-05
Capacitance PEX,110.0,1.03645891,5.2585398e-06,2.79454314e-05
Capacitance PEX,115.0,1.03621384,5.32538928e-06,2.8299006e-05
Capacitance PEX,120.0,1.03596823,5.39219928e-06,2.86526161e-05
Capacitance PEX,125.0,1.03572604,5.45900999e-06,2.90064639e-05
Capacitance PEX,130.0,1.03549285,5.52587968e-06,2.93608433e-05
Capacitance PEX,135.0,1.03527659,5.59289275e-06,2.97161796e-05
Capacitance PEX,140.0,1.03508858,5.66017111e-06,3.0073087e-05
Capacitance PEX,145.0,1.03494492,5.72788966e-06,3.04324457e-05
Capacitance PEX,150.0,1.03486841,5.79629717e-06,3.07955063e-05
Capacitance PEX,155.0,1.03489107,5.86574418e-06,3.11640295e-05
Capacitance PEX,160.0,1.03505755,5.93672008e-06,3.15404717e-05
Capacitance PEX,165.0,1.03542957,6.00990201e-06,3.19282298e-05
Capacitance PEX,170.0,1.03609182,6.08621881e-06,3.23319612e-05
Capacitance PEX,175.0,1.03715952,6.16693404e-06,3.27579989e-05
PEX + estimated wire R,-40.0,1.03777699,3.18435528e-06,1.70970765e-05
PEX + estimated wire R,-35.0,1.03782649,3.25324643e-06,1.74545427e-05
PEX + estimated wire R,-30.0,1.03786203,3.3220956e-06,1.78119768e-05
PEX + estimated wire R,-25.0,1.03788381,3.39089921e-06,1.81693632e-05
PEX + estimated wire R,-20.0,1.03789207,3.4596537e-06,1.85266868e-05
