model,temperature_C,frequency_Hz,calibrated_error_C,fit_slope_Hz_per_C
Schematic,-40.0,1246321.0,-0.8462197116859187,5216.533333333334
Schematic,-25.0,1325951.0,-0.5812928125958479,5216.533333333334
Schematic,-10.0,1405232.0,-0.38326858194458424,5216.533333333334
Schematic,5.0,1484650.0,-0.1589816992127595,5216.533333333334
Schematic,20.0,1563478.0,-0.04779674879868878,5216.533333333334
Schematic,25.0,1589810.0,0.0,5216.533333333334
Schematic,35.0,1642358.0,0.07335650751456768,5216.533333333334
Schematic,50.0,1720861.0,0.1222395460586796,5216.533333333334
Schematic,65.0,1799345.0,0.1674803189857812,5216.533333333334
Schematic,80.0,1877309.0,0.11303803292096859,5216.533333333334
Schematic,95.0,1955146.0,0.034250076679271046,5216.533333333334
Schematic,100.0,1981050.0,0.0,5216.533333333334
Schematic,110.0,2032709.0,-0.09706318372354872,5216.533333333334
Schematic,125.0,2109987.0,-0.28301042838155865,5216.533333333334
Schematic,140.0,2187527.0,-0.4187327471628919,5216.533333333334
Schematic,150.0,2239479.0,-0.45962836110828675,5216.533333333334
Schematic,155.0,2265587.0,-0.45477200695225406,5216.533333333334
Schematic,170.0,2346473.0,0.050927819241366024,5216.533333333334
Schematic,175.0,2374902.0,0.5007156732440308,5216.533333333334
Capacitance PEX,-40.0,1202031.0,-0.9805692844714429,4996.213333333333
Capacitance PEX,25.0,1531684.0,0.0,4996.213333333333
Capacitance PEX,27.0,1541823.0,0.02933688446717042,4996.213333333333
Capacitance PEX,100.0,1906400.0,0.0,4996.213333333333
Capacitance PEX,125.0,2029848.0,-0.2916875713873992,4996.213333333333
Capacitance PEX,175.0,2283072.0,0.3914964933443059,4996.213333333333
