model,temperature_C,hard_cmp_to_core_ns,hard_cmp_to_GATE_10percent_ns
Schematic,-40,1.183,498.194
Schematic,27,1.516,614.514
Capacitance PEX,-40,2.261,499.319
Capacitance PEX,27,2.677,615.552
