22-Sep-2026 23:27:26 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
22-Sep-2026 23:27:26 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
22-Sep-2026 23:27:26 | INFO    | Running IHP-SG13G2 main checks on design ${RESULTS_ROOT}/sense-ring-routing-20260922-r7a/g1_sense_physical.gds, topcell: g1_sense_physical
2026-09-22 23:27:29 +0200: Memory Usage (408180K) : Starting running IHP-SG13G2 KLayout DRC runset on ${RESULTS_ROOT}/sense-ring-routing-20260922-r7a/g1_sense_physical.gds
2026-09-22 23:27:29 +0200: Memory Usage (408180K) : Ruby Version for klayout: 3.2.3
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : Loading database to memory is complete.
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : IHP-SG13G2 KLayout DRC runset output at: ${RESULTS_ROOT}/sense-ring-stock-20260922-r7a/drc/g1_sense_physical_g1_sense_physical_main.lyrdb
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : Evaluate switches.
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : tables selected: main
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : KLayout will use 128 thread(s) in tiling mode.
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : deep mode is enabled.
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : FEOL enabled: true
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : BEOL enabled: true
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : OFFGRID enabled: true
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : ANGLE enabled: true
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : PIN enabled: true
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : FORBIDDEN enabled: true
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : RECOMMENDED enabled: true
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : PreCheck DRC enabled: false
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : CONNECTIVITY_RULES enabled: true.
2026-09-22 23:27:29 +0200: Memory Usage (409348K) : Read in polygons from layers.
2026-09-22 23:27:29 +0200: Memory Usage (410696K) : activ_drw has 1011 polygons
2026-09-22 23:27:29 +0200: Memory Usage (410696K) : activ_pin has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (410696K) : activ_mask has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411396K) : activ_filler has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411396K) : activ_nofill has 4 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411396K) : activ_opc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411396K) : activ_iopc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411396K) : activ_noqrc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : biwind_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : biwind_opc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : pemwind_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : gatpoly_drw has 1566 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : gatpoly_pin has 50 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : gatpoly_filler has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : gatpoly_nofill has 4 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : gatpoly_opc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411660K) : gatpoly_iopc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (411924K) : gatpoly_noqrc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412452K) : cont_drw has 41384 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412452K) : cont_opc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412452K) : nsd_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412716K) : nsd_block has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412716K) : metal1_drw has 3466 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412716K) : metal1_pin has 106 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412716K) : metal1_mask has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412716K) : metal1_filler has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412980K) : metal1_nofill has 4 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412980K) : metal1_slit has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412980K) : metal1_text has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412980K) : metal1_opc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (412980K) : metal1_noqrc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413324K) : metal1_res has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413324K) : metal1_iprobe has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413324K) : metal1_diffprb has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413324K) : passiv_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413324K) : passiv_pin has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413588K) : passiv_sbump has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413588K) : passiv_pillar has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413588K) : passiv_pdl has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413588K) : metal2_drw has 1151 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413852K) : metal2_pin has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413852K) : metal2_mask has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (413852K) : metal2_filler has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414116K) : metal2_nofill has 4 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414116K) : metal2_slit has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414116K) : metal2_text has 8 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414116K) : metal2_opc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414116K) : metal2_noqrc has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414484K) : metal2_res has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414484K) : metal2_iprobe has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414484K) : metal2_diffprb has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414484K) : baspoly_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414484K) : baspoly_pin has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414748K) : psd_drw has 371 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414748K) : nldb_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414748K) : digibnd_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (414748K) : via1_drw has 1174 polygons
2026-09-22 23:27:29 +0200: Memory Usage (415012K) : backmetal1_drw has 0 polygons
2026-09-22 23:27:29 +0200: Memory Usage (415012K) : backmetal1_pin has 0 polygons
