deck,dvbe,iptat,vref
mc_typ_mismatch_T27_3.3_s000,0.05636815,4.186381e-06,1.04902
mc_typ_mismatch_T27_3.3_s001,0.05477102,4.121626e-06,1.033035
mc_typ_mismatch_T27_3.3_s002,0.05773453,4.302753e-06,1.052988
mc_typ_mismatch_T27_3.3_s003,0.0544285,4.054782e-06,1.029874
mc_typ_mismatch_T27_3.3_s004,0.05444079,4.104823e-06,1.039019
mc_typ_mismatch_T27_3.3_s005,0.05106989,3.88121e-06,1.013908
mc_typ_mismatch_T27_3.3_s006,0.05882638,4.414431e-06,1.060139
mc_typ_mismatch_T27_3.3_s007,0.05854706,4.369893e-06,1.059926
mc_typ_mismatch_T27_3.3_s008,0.05129352,3.880819e-06,1.012807
mc_typ_mismatch_T27_3.3_s009,0.05457136,4.120301e-06,1.03834
mc_typ_mismatch_T27_3.3_s010,0.06019639,4.524157e-06,1.072543
mc_typ_mismatch_T27_3.3_s011,0.05336067,4.013479e-06,1.030151
mc_typ_mismatch_T27_3.3_s012,0.05838094,4.383648e-06,1.055524
mc_typ_mismatch_T27_3.3_s013,0.05379008,4.024422e-06,1.027589
mc_typ_mismatch_T27_3.3_s014,0.05511028,4.116918e-06,1.036903
mc_typ_mismatch_T27_3.3_s015,0.05278705,4.002966e-06,1.02258
mc_typ_mismatch_T27_3.3_s016,0.05553315,4.154024e-06,1.034607
mc_typ_mismatch_T27_3.3_s017,0.05549517,4.17937e-06,1.039657
mc_typ_mismatch_T27_3.3_s018,0.05506253,4.143639e-06,1.038481
mc_typ_mismatch_T27_3.3_s019,0.05890827,4.377551e-06,1.063538
mc_typ_mismatch_T27_3.3_s020,0.05531681,4.198602e-06,1.040775
mc_typ_mismatch_T27_3.3_s021,0.0520736,3.878027e-06,1.018615
mc_typ_mismatch_T27_3.3_s022,0.05812848,4.332509e-06,1.064834
mc_typ_mismatch_T27_3.3_s023,0.05327822,3.956757e-06,1.021124
mc_typ_mismatch_T27_3.3_s024,0.05701541,4.274611e-06,1.050897
mc_typ_mismatch_T27_3.3_s025,0.05463656,4.08861e-06,1.03347
mc_typ_mismatch_T27_3.3_s026,0.05627813,4.222342e-06,1.046343
mc_typ_mismatch_T27_3.3_s027,0.0595626,4.478741e-06,1.065314
mc_typ_mismatch_T27_3.3_s028,0.05568981,4.139731e-06,1.039708
mc_typ_mismatch_T27_3.3_s029,0.05631275,4.190076e-06,1.041237
mc_typ_mismatch_T27_3.3_s030,0.05757422,4.281257e-06,1.053264
mc_typ_mismatch_T27_3.3_s031,0.05623027,4.237514e-06,1.047824
mc_typ_mismatch_T27_3.3_s032,0.05940751,4.482585e-06,1.06151
mc_typ_mismatch_T27_3.3_s033,0.05742552,4.309105e-06,1.055751
mc_typ_mismatch_T27_3.3_s034,0.05358437,4.034556e-06,1.02325
mc_typ_mismatch_T27_3.3_s035,0.05730077,4.285186e-06,1.054882
mc_typ_mismatch_T27_3.3_s036,0.05760515,4.351038e-06,1.056461
mc_typ_mismatch_T27_3.3_s037,0.05445386,4.07448e-06,1.036002
mc_typ_mismatch_T27_3.3_s038,0.05462341,4.074027e-06,1.037409
mc_typ_mismatch_T27_3.3_s039,0.05602502,4.265283e-06,1.046376
mc_typ_mismatch_T27_3.3_s040,0.05308184,3.982919e-06,1.025824
mc_typ_mismatch_T27_3.3_s041,0.05612032,4.207559e-06,1.044311
mc_typ_mismatch_T27_3.3_s042,0.05406742,4.021927e-06,1.029802
mc_typ_mismatch_T27_3.3_s043,0.05466105,4.10118e-06,1.034456
mc_typ_mismatch_T27_3.3_s044,0.06033805,4.536106e-06,1.074507
mc_typ_mismatch_T27_3.3_s045,0.05375984,4.065653e-06,1.029092
mc_typ_mismatch_T27_3.3_s046,0.05552809,4.193554e-06,1.0384
mc_typ_mismatch_T27_3.3_s047,0.05635774,4.249902e-06,1.046379
mc_typ_mismatch_T27_3.3_s048,0.05467223,4.11619e-06,1.038263
mc_typ_mismatch_T27_3.3_s049,0.05374331,4.041234e-06,1.026523
mc_typ_mismatch_T27_3.3_s050,0.05798333,4.324233e-06,1.054202
mc_typ_mismatch_T27_3.3_s051,0.05082987,3.820363e-06,1.010635
mc_typ_mismatch_T27_3.3_s052,0.05658093,4.312661e-06,1.050888
mc_typ_mismatch_T27_3.3_s053,0.05343305,3.989556e-06,1.023738
mc_typ_mismatch_T27_3.3_s054,0.05764169,4.353868e-06,1.05743
mc_typ_mismatch_T27_3.3_s055,0.05428015,4.049115e-06,1.029205
mc_typ_mismatch_T27_3.3_s056,0.05561841,4.202692e-06,1.042854
mc_typ_mismatch_T27_3.3_s057,0.05019986,3.751998e-06,1.004543
mc_typ_mismatch_T27_3.3_s058,0.05454711,4.095608e-06,1.031576
mc_typ_mismatch_T27_3.3_s059,0.04903994,3.67575e-06,1.001101
mc_typ_mismatch_T27_3.3_s060,0.05383366,4.056646e-06,1.029254
mc_typ_mismatch_T27_3.3_s061,0.05447875,4.049641e-06,1.035268
mc_typ_mismatch_T27_3.3_s062,0.0601283,4.551286e-06,1.069122
mc_typ_mismatch_T27_3.3_s063,0.05341688,3.954574e-06,1.028066
mc_typ_mismatch_T27_3.3_s064,0.05391845,4.029469e-06,1.029428
mc_typ_mismatch_T27_3.3_s065,0.05336653,4.041431e-06,1.02436
mc_typ_mismatch_T27_3.3_s066,0.05671236,4.284974e-06,1.045527
mc_typ_mismatch_T27_3.3_s067,0.0554566,4.148071e-06,1.038976
mc_typ_mismatch_T27_3.3_s068,0.05290907,3.95338e-06,1.025978
mc_typ_mismatch_T27_3.3_s069,0.053846,4.065865e-06,1.030628
mc_typ_mismatch_T27_3.3_s070,0.0587503,4.389582e-06,1.058541
mc_typ_mismatch_T27_3.3_s071,0.06323146,4.758221e-06,1.093087
mc_typ_mismatch_T27_3.3_s072,0.05589858,4.171375e-06,1.040486
mc_typ_mismatch_T27_3.3_s073,0.05423768,4.000055e-06,1.030383
mc_typ_mismatch_T27_3.3_s074,0.04785296,3.591695e-06,0.9899998
mc_typ_mismatch_T27_3.3_s075,0.05231197,3.94e-06,1.018954
mc_typ_mismatch_T27_3.3_s076,0.05734918,4.253212e-06,1.053881
mc_typ_mismatch_T27_3.3_s077,0.05709079,4.266795e-06,1.046802
mc_typ_mismatch_T27_3.3_s078,0.05501526,4.141975e-06,1.036339
mc_typ_mismatch_T27_3.3_s079,0.05421174,4.035581e-06,1.031374
mc_typ_mismatch_T27_3.3_s080,0.05375183,3.976375e-06,1.026257
mc_typ_mismatch_T27_3.3_s081,0.0561217,4.21945e-06,1.041184
mc_typ_mismatch_T27_3.3_s082,0.05961665,4.452449e-06,1.060341
mc_typ_mismatch_T27_3.3_s083,0.05423134,4.086598e-06,1.032813
mc_typ_mismatch_T27_3.3_s084,0.05422954,4.09673e-06,1.028451
