deck,psrr_100k,psrr_1k,psrr_1m,psrr_dc
psrr_hbt_wcs_mos_ff_res_typ_T27_3.3,-42.3163,-82.2481,-24.9664,-102.995
psrr_hbt_wcs_mos_ff_res_wcs_T-40_3.3,-41.385,-81.3313,-24.4346,-105.507
psrr_hbt_wcs_mos_ff_res_wcs_T175_3.3,-40.8994,-80.7836,-24.2833,-98.5233
psrr_hbt_wcs_mos_ff_res_wcs_T27_3.3,-41.2712,-81.2062,-24.3682,-103.246
psrr_hbt_wcs_mos_ss_res_bcs_T-40_3.3,-43.5632,-83.5068,-25.7335,-104.93
psrr_hbt_wcs_mos_ss_res_bcs_T175_3.3,-43.0208,-82.8329,-25.4547,-97.2674
psrr_hbt_wcs_mos_ss_res_bcs_T27_3.3,-43.4376,-83.3591,-25.6514,-102.534
psrr_hbt_wcs_mos_ss_res_typ_T-40_3.3,-42.45,-82.397,-25.0233,-105.238
psrr_hbt_wcs_mos_ss_res_typ_T175_3.3,-41.9394,-81.7923,-24.8081,-97.7143
psrr_hbt_wcs_mos_ss_res_typ_T27_3.3,-42.33,-82.2611,-24.9505,-102.881
psrr_hbt_wcs_mos_ss_res_wcs_T-40_3.3,-41.3997,-81.3464,-24.4151,-105.486
psrr_hbt_wcs_mos_ss_res_wcs_T175_3.3,-40.9122,-80.7886,-24.2563,-98.0577
psrr_hbt_wcs_mos_ss_res_wcs_T27_3.3,-41.2837,-81.2186,-24.351,-103.164
psrr_hbt_wcs_mos_tt_res_bcs_T-40_3.3,-43.5567,-83.5005,-25.7497,-105.001
psrr_hbt_wcs_mos_tt_res_bcs_T175_3.3,-43.0147,-82.8393,-25.4641,-97.629
psrr_hbt_wcs_mos_tt_res_bcs_T27_3.3,-43.432,-83.3546,-25.6597,-102.632
psrr_hbt_wcs_mos_tt_res_typ_T-40_3.3,-42.4442,-82.3912,-25.0371,-105.286
psrr_hbt_wcs_mos_tt_res_typ_T175_3.3,-41.9343,-81.7955,-24.8195,-98.0525
psrr_hbt_wcs_mos_tt_res_typ_T27_3.3,-42.3251,-82.2568,-24.9591,-102.957
psrr_hbt_wcs_mos_tt_res_wcs_T-40_3.3,-41.3943,-81.3408,-24.4273,-105.517
psrr_hbt_wcs_mos_tt_res_wcs_T175_3.3,-40.9079,-80.7899,-24.2692,-98.3793
psrr_hbt_wcs_mos_tt_res_wcs_T27_3.3,-41.2794,-81.2145,-24.3597,-103.223
