deck,dvbem196,ipm196,vbem196,vm100,vm150,vm196,vm40
extrap_hbt_bcs_mos_tt_res_typ_3.3,0.0136441,1.0408e-06,0.942822,1.03265,1.03015,1.02586,1.03343
extrap_hbt_typ_mos_tt_res_typ_3.3,0.0136567,1.04176e-06,0.944356,1.0362,1.0327,1.02747,1.03811
extrap_hbt_wcs_mos_tt_res_typ_3.3,0.0136694,1.04273e-06,0.946349,1.04075,1.03599,1.02954,1.04406
