 time            v(vref)         iptat           v(pbias)        v(vdd)         
 6.96104084e-03  1.88631825e-02 -9.45609192e-06  3.86174636e-02  2.08831225e-01 
 7.06104084e-03  1.98060431e-02 -9.38459958e-06  3.89582789e-02  2.11831225e-01 
 7.16104084e-03  2.08208000e-02 -9.31444873e-06  3.92715906e-02  2.14831225e-01 
 7.26104084e-03  2.19159632e-02 -9.24563277e-06  3.95559761e-02  2.17831225e-01 
 7.36104084e-03  2.31015055e-02 -9.17815016e-06  3.98098057e-02  2.20831225e-01 
 7.46104084e-03  2.43892270e-02 -9.11200573e-06  4.00311782e-02  2.23831225e-01 
 7.56104084e-03  2.57932465e-02 -9.04721279e-06  4.02177950e-02  2.26831225e-01 
 7.66104084e-03  2.73306748e-02 -8.98379585e-06  4.03668196e-02  2.29831225e-01 
 7.76104084e-03  2.90225609e-02 -8.92179479e-06  4.04746392e-02  2.32831225e-01 
 7.86104084e-03  3.08952558e-02 -8.86127073e-06  4.05365480e-02  2.35831225e-01 
 7.96104084e-03  3.29824404e-02 -8.80231532e-06  4.05462295e-02  2.38831225e-01 
 8.06104084e-03  3.53282566e-02 -8.74506516e-06  4.04949711e-02  2.41831225e-01 
 8.16104084e-03  3.79923647e-02 -8.68972626e-06  4.03703151e-02  2.44831225e-01 
 8.26104084e-03  4.10585863e-02 -8.63661713e-06  4.01537043e-02  2.47831225e-01 
 8.36104084e-03  4.46507815e-02 -8.58625221e-06  3.98159125e-02  2.50831225e-01 
 8.46104084e-03  4.89649578e-02 -8.53951998e-06  3.93073293e-02  2.53831225e-01 
 8.56104084e-03  5.43439836e-02 -8.49812934e-06  3.85336322e-02  2.56831225e-01 
 8.64921006e-03  6.04978533e-02 -8.46900802e-06  3.74703863e-02  2.59476302e-01 
 8.70683343e-03  6.56929405e-02 -8.45661998e-06  3.64237439e-02  2.61205003e-01 
 8.74568371e-03  7.00623771e-02 -8.45366713e-06  3.54288000e-02  2.62370511e-01 
 8.77482632e-03  7.40525979e-02 -8.45627619e-06  3.44226909e-02  2.63244789e-01 
 8.79879405e-03  7.80153305e-02 -8.46338438e-06  3.33274606e-02  2.63963821e-01 
 8.81968254e-03  8.21999857e-02 -8.47521185e-06  3.20688031e-02  2.64590476e-01 
 8.83875364e-03  8.68793504e-02 -8.49276913e-06  3.05547582e-02  2.65162609e-01 
 8.85725504e-03  9.25315800e-02 -8.51807255e-06  2.86397143e-02  2.65717651e-01 
 8.87760537e-03  1.00436361e-01 -8.55516779e-06  2.60339565e-02  2.66328161e-01 
 8.89881153e-03  1.10652249e-01 -8.59518999e-06  2.32448665e-02  2.66964346e-01 
 8.91505328e-03  1.19404783e-01 -8.61762888e-06  2.15510421e-02  2.67451598e-01 
 8.92868654e-03  1.26768808e-01 -8.62775222e-06  2.05988470e-02  2.67860596e-01 
 8.94422267e-03  1.34540602e-01 -8.63174876e-06  1.99204589e-02  2.68326680e-01 
 8.95952632e-03  1.41200647e-01 -8.63105184e-06  1.95025228e-02  2.68785790e-01 
 8.98069866e-03  1.48638742e-01 -8.62683315e-06  1.91004976e-02  2.69420960e-01 
 9.00596324e-03  1.55195013e-01 -8.61974669e-06  1.87324963e-02  2.70178897e-01 
 9.02934047e-03  1.59618139e-01 -8.61223353e-06  1.84445072e-02  2.70880214e-01 
 9.05677969e-03  1.63582774e-01 -8.60260010e-06  1.81517310e-02  2.71703391e-01 
 9.08274280e-03  1.66606795e-01 -8.59283936e-06  1.79108569e-02  2.72482284e-01 
 9.11686678e-03  1.70007074e-01 -8.57926756e-06  1.76364793e-02  2.73506004e-01 
 9.15557154e-03  1.73403568e-01 -8.56306551e-06  1.73718705e-02  2.74667146e-01 
 9.21198970e-03  1.77836020e-01 -8.53828114e-06  1.70551482e-02  2.76359691e-01 
 9.28363775e-03  1.82860685e-01 -8.50533121e-06  1.67431085e-02  2.78509132e-01 
 9.38363775e-03  1.89088172e-01 -8.45743466e-06  1.64311473e-02  2.81509132e-01 
 9.48363775e-03  1.94652654e-01 -8.40803425e-06  1.62250073e-02  2.84509132e-01 
 9.58363775e-03  1.99731686e-01 -8.35763522e-06  1.60980217e-02  2.87509132e-01 
 9.68363775e-03  2.04429476e-01 -8.30655404e-06  1.60335010e-02  2.90509132e-01 
 9.78363775e-03  2.08821134e-01 -8.25500961e-06  1.60200081e-02  2.93509132e-01 
 9.88363775e-03  2.12957899e-01 -8.20314378e-06  1.60501597e-02  2.96509132e-01 
 9.98363775e-03  2.16879147e-01 -8.15106445e-06  1.61184468e-02  2.99509132e-01 
 1.00836377e-02  2.20614521e-01 -8.09884851e-06  1.62209478e-02  3.02509132e-01 
 1.01836377e-02  2.24187768e-01 -8.04655833e-06  1.63545847e-02  3.05509132e-01 
 1.02836377e-02  2.27617823e-01 -7.99424149e-06  1.65169969e-02  3.08509132e-01 
 1.03836377e-02  2.30920301e-01 -7.94193856e-06  1.67062703e-02  3.11509132e-01 
 1.04836377e-02  2.34108185e-01 -7.88968351e-06  1.69207633e-02  3.14509132e-01 
 1.05836377e-02  2.37192507e-01 -7.83750764e-06  1.71590411e-02  3.17509132e-01 
 1.06836377e-02  2.40182684e-01 -7.78543888e-06  1.74197684e-02  3.20509132e-01 
 1.07836377e-02  2.43086891e-01 -7.73350426e-06  1.77017164e-02  3.23509132e-01 
 1.08836377e-02  2.45912270e-01 -7.68172914e-06  1.80036610e-02  3.26509132e-01 
 1.09836377e-02  2.48665113e-01 -7.63013828e-06  1.83244666e-02  3.29509132e-01 
 1.10836377e-02  2.51351003e-01 -7.57875530e-06  1.86629713e-02  3.32509132e-01 
 1.11836377e-02  2.53974907e-01 -7.52760301e-06  1.90181140e-02  3.35509132e-01 
 1.12836377e-02  2.56541281e-01 -7.47670316e-06  1.93888018e-02  3.38509132e-01 
 1.13836377e-02  2.59054118e-01 -7.42607637e-06  1.97740595e-02  3.41509132e-01 
 1.14836377e-02  2.61517032e-01 -7.37574222e-06  2.01728793e-02  3.44509132e-01 
 1.15836377e-02  2.63933278e-01 -7.32571892e-06  2.05843835e-02  3.47509132e-01 
 1.16836377e-02  2.66305824e-01 -7.27602370e-06  2.10076580e-02  3.50509132e-01 
 1.17836377e-02  2.68637358e-01 -7.22667231e-06  2.14419252e-02  3.53509132e-01 
 1.18836377e-02  2.70930348e-01 -7.17767963e-06  2.18863647e-02  3.56509132e-01 
 1.19836377e-02  2.73187041e-01 -7.12905898e-06  2.23402944e-02  3.59509132e-01 
 1.20836377e-02  2.75409512e-01 -7.08082299e-06  2.28029815e-02  3.62509132e-01 
 1.21836377e-02  2.77599658e-01 -7.03298267e-06  2.32738319e-02  3.65509132e-01 
 1.22836377e-02  2.79759246e-01 -6.98554848e-06  2.37521927e-02  3.68509132e-01 
 1.23836377e-02  2.81889893e-01 -6.93852926e-06  2.42375495e-02  3.71509132e-01 
 1.24836377e-02  2.83993115e-01 -6.89193343e-06  2.47293213e-02  3.74509132e-01 
 1.25836377e-02  2.86070305e-01 -6.84576775e-06  2.52270668e-02  3.77509132e-01 
 1.26836377e-02  2.88122776e-01 -6.80003867e-06  2.57302705e-02  3.80509132e-01 
 1.27836377e-02  2.90151733e-01 -6.75475097e-06  2.62385581e-02  3.83509132e-01 
 1.28836377e-02  2.92158324e-01 -6.70990921e-06  2.67514753e-02  3.86509132e-01 
 1.29836377e-02  2.94143598e-01 -6.66551626e-06  2.72687109e-02  3.89509132e-01 
 1.30836377e-02  2.96108553e-01 -6.62157484e-06  2.77898690e-02  3.92509132e-01 
 1.31836377e-02  2.98054121e-01 -6.57808594e-06  2.83146983e-02  3.95509132e-01 
 1.32836377e-02  2.99981179e-01 -6.53505050e-06  2.88428590e-02  3.98509132e-01 
 1.33836377e-02  3.01890531e-01 -6.49246766e-06  2.93741610e-02  4.01509132e-01 
 1.34836377e-02  3.03782957e-01 -6.45033663e-06  2.99083206e-02  4.04509132e-01 
 1.35836377e-02  3.05659158e-01 -6.40865470e-06  3.04452087e-02  4.07509132e-01 
 1.36836377e-02  3.07519819e-01 -6.36741936e-06  3.09846004e-02  4.10509132e-01 
 1.37836377e-02  3.09365552e-01 -6.32662609e-06  3.15264315e-02  4.13509132e-01 
 1.38836377e-02  3.11196952e-01 -6.28627060e-06  3.20705411e-02  4.16509132e-01 
 1.39836377e-02  3.13014545e-01 -6.24634655e-06  3.26169368e-02  4.19509132e-01 
 1.40836377e-02  3.14818842e-01 -6.20684782e-06  3.31655319e-02  4.22509132e-01 
 1.41836377e-02  3.16610283e-01 -6.16776612e-06  3.37164181e-02  4.25509132e-01 
 1.42836377e-02  3.18389293e-01 -6.12909339e-06  3.42695993e-02  4.28509132e-01 
 1.43836377e-02  3.20156220e-01 -6.09081918e-06  3.48252730e-02  4.31509132e-01 
 1.44836377e-02  3.21911394e-01 -6.05293320e-06  3.53835613e-02  4.34509132e-01 
 1.45836377e-02  3.23655057e-01 -6.01542249e-06  3.59448019e-02  4.37509132e-01 
 1.46836377e-02  3.25387425e-01 -5.97827401e-06  3.65092804e-02  4.40509132e-01 
 1.47836377e-02  3.27108610e-01 -5.94147163e-06  3.70775318e-02  4.43509132e-01 
 1.48836377e-02  3.28818677e-01 -5.90499869e-06  3.76500777e-02  4.46509132e-01 
 1.49836377e-02  3.30517561e-01 -5.86883477e-06  3.82277433e-02  4.49509132e-01 
 1.50836377e-02  3.32205119e-01 -5.83295813e-06  3.88114043e-02  4.52509132e-01 
 1.51836377e-02  3.33881032e-01 -5.79734218e-06  3.94023257e-02  4.55509132e-01 
 1.52836377e-02  3.35544851e-01 -5.76195770e-06  4.00019286e-02  4.58509132e-01 
 1.53836377e-02  3.37195876e-01 -5.72676888e-06  4.06121589e-02  4.61509132e-01 
