deck,iptat_end,pbias_end,t_90,vref_end,vref_max
startup_hbt_bcs_mos_ff_res_bcs_T-40_3.0,3.66974e-06,2.04806,0.000520607,1.03607,1.0385
startup_hbt_bcs_mos_ff_res_bcs_T175_3.0,7.06045e-06,2.01704,0.000574826,1.03189,1.03192
startup_hbt_bcs_mos_ff_res_bcs_T27_3.0,4.73129e-06,2.03389,0.000492893,1.03547,1.03552
startup_hbt_bcs_mos_ff_res_typ_T-40_3.0,3.20964e-06,2.06703,0.000517754,1.03346,1.03652
startup_hbt_bcs_mos_ff_res_typ_T175_3.0,6.18073e-06,2.05595,0.000567133,1.0272,1.02724
startup_hbt_bcs_mos_ff_res_typ_T27_3.0,4.13781e-06,2.05856,0.000488335,1.03205,1.03212
startup_hbt_bcs_mos_ff_res_wcs_T-40_3.0,2.83278e-06,2.0837,0.000515203,1.03101,1.03474
startup_hbt_bcs_mos_ff_res_wcs_T175_3.0,5.46042e-06,2.09011,0.000560532,1.02288,1.02293
startup_hbt_bcs_mos_ff_res_wcs_T27_3.0,3.65176e-06,2.08024,0.000484303,1.02885,1.02893
startup_hbt_bcs_mos_ss_res_bcs_T-40_3.0,3.66896e-06,1.93357,0.000600757,1.03601,1.0373
startup_hbt_bcs_mos_ss_res_bcs_T175_3.0,7.05564e-06,1.89692,0.000614387,1.03151,1.03154
startup_hbt_bcs_mos_ss_res_bcs_T27_3.0,4.73029e-06,1.91776,0.000571143,1.0354,1.03606
startup_hbt_bcs_mos_ss_res_typ_T-40_3.0,3.20897e-06,1.95343,0.000593191,1.0334,1.03546
startup_hbt_bcs_mos_ss_res_typ_T175_3.0,6.17637e-06,1.93762,0.000606171,1.0268,1.02684
startup_hbt_bcs_mos_ss_res_typ_T27_3.0,4.13695e-06,1.94357,0.000562154,1.03198,1.03299
startup_hbt_bcs_mos_ss_res_wcs_T-40_3.0,2.83218e-06,1.97088,0.000586864,1.03096,1.03382
startup_hbt_bcs_mos_ss_res_wcs_T175_3.0,5.45644e-06,1.97333,0.000599112,1.02248,1.02252
startup_hbt_bcs_mos_ss_res_wcs_T27_3.0,3.651e-06,1.96625,0.000554516,1.02877,1.03018
startup_hbt_bcs_mos_tt_res_bcs_T-40_3.0,3.66934e-06,1.99111,0.000553103,1.03604,1.0382
startup_hbt_bcs_mos_tt_res_bcs_T175_3.0,7.05784e-06,1.95737,0.000594471,1.03168,1.03172
startup_hbt_bcs_mos_tt_res_bcs_T27_3.0,4.73078e-06,1.97615,0.000526987,1.03543,1.03548
startup_hbt_bcs_mos_tt_res_typ_T-40_3.0,3.2093e-06,2.01051,0.000548964,1.03343,1.03621
startup_hbt_bcs_mos_tt_res_typ_T175_3.0,6.17839e-06,1.99714,0.000586528,1.02699,1.02702
startup_hbt_bcs_mos_tt_res_typ_T27_3.0,4.13737e-06,2.00137,0.000520912,1.03201,1.03207
startup_hbt_bcs_mos_tt_res_wcs_T-40_3.0,2.83247e-06,2.02755,0.000545333,1.03099,1.03442
startup_hbt_bcs_mos_tt_res_wcs_T175_3.0,5.4583e-06,2.03205,0.000579708,1.02267,1.02271
startup_hbt_bcs_mos_tt_res_wcs_T27_3.0,3.65137e-06,2.02352,0.000515614,1.02881,1.02889
startup_hbt_typ_mos_ff_res_bcs_T-40_3.0,3.66948e-06,2.04807,0.000520289,1.04077,1.04322
startup_hbt_typ_mos_ff_res_bcs_T175_3.0,7.04766e-06,2.01758,0.000567326,1.04024,1.04027
startup_hbt_typ_mos_ff_res_bcs_T27_3.0,4.72792e-06,2.03403,0.000492194,1.04135,1.0414
startup_hbt_typ_mos_ff_res_typ_T-40_3.0,3.20913e-06,2.06705,0.000517552,1.03814,1.04121
startup_hbt_typ_mos_ff_res_typ_T175_3.0,6.16914e-06,2.05648,0.00055971,1.0355,1.03554
startup_hbt_typ_mos_ff_res_typ_T27_3.0,4.13453e-06,2.0587,0.000487818,1.0379,1.03796
