deck,iptat_end,pbias_end,t_90,vref_end,vref_max
startupslow_hbt_bcs_mos_ff_res_bcs_T27_3.0,4.73129e-06,2.03389,0.0492617,1.03547,1.03547
startupslow_hbt_bcs_mos_ff_res_typ_T27_3.0,4.13781e-06,2.05856,0.0488024,1.03205,1.03205
startupslow_hbt_bcs_mos_ff_res_wcs_T27_3.0,3.65176e-06,2.08024,0.0483957,1.02885,1.02885
startupslow_hbt_bcs_mos_ss_res_bcs_T27_3.0,4.73029e-06,1.91776,0.057074,1.0354,1.0354
startupslow_hbt_bcs_mos_ss_res_typ_T27_3.0,4.13695e-06,1.94357,0.0561725,1.03198,1.03198
startupslow_hbt_bcs_mos_ss_res_wcs_T27_3.0,3.651e-06,1.96625,0.055406,1.02877,1.02878
startupslow_hbt_bcs_mos_tt_res_bcs_T27_3.0,4.73078e-06,1.97615,0.0526701,1.03543,1.03543
startupslow_hbt_bcs_mos_tt_res_typ_T27_3.0,4.13737e-06,2.00137,0.0520595,1.03201,1.03201
startupslow_hbt_bcs_mos_tt_res_wcs_T27_3.0,3.65137e-06,2.02352,0.0515265,1.02881,1.02881
startupslow_hbt_typ_mos_ff_res_bcs_T27_3.0,4.72792e-06,2.03403,0.0491915,1.04135,1.04135
startupslow_hbt_typ_mos_ff_res_typ_T27_3.0,4.13453e-06,2.0587,0.0487505,1.0379,1.0379
startupslow_hbt_typ_mos_ff_res_wcs_T27_3.0,3.64861e-06,2.08038,0.0483591,1.03467,1.03467
startupslow_hbt_typ_mos_ss_res_bcs_T27_3.0,4.72692e-06,1.9179,0.0567891,1.04128,1.04128
startupslow_hbt_typ_mos_ss_res_typ_T27_3.0,4.13367e-06,1.94372,0.0559382,1.03782,1.03782
startupslow_hbt_typ_mos_ss_res_wcs_T27_3.0,3.64786e-06,1.9664,0.055211,1.03459,1.03459
startupslow_hbt_typ_mos_tt_res_bcs_T27_3.0,4.72741e-06,1.97629,0.0525378,1.04131,1.04131
startupslow_hbt_typ_mos_tt_res_typ_T-40_3.0,3.20878e-06,2.01053,0.0547799,1.03811,1.03811
startupslow_hbt_typ_mos_tt_res_typ_T175_3.0,6.16681e-06,1.99768,0.057891,1.03529,1.03529
startupslow_hbt_typ_mos_tt_res_typ_T27_3.0,4.13409e-06,2.00151,0.0519527,1.03786,1.03786
startupslow_hbt_typ_mos_tt_res_wcs_T27_3.0,3.64823e-06,2.02367,0.0514407,1.03463,1.03463
startupslow_hbt_wcs_mos_ff_res_bcs_T27_3.0,4.72041e-06,2.03433,0.0491166,1.04876,1.04876
startupslow_hbt_wcs_mos_ff_res_typ_T27_3.0,4.12761e-06,2.059,0.0486981,1.04527,1.04527
startupslow_hbt_wcs_mos_ff_res_wcs_T27_3.0,3.64224e-06,2.08067,0.0483255,1.04201,1.04201
startupslow_hbt_wcs_mos_ss_res_bcs_T27_3.0,4.71941e-06,1.91821,0.056463,1.04868,1.04868
startupslow_hbt_wcs_mos_ss_res_typ_T27_3.0,4.12674e-06,1.94403,0.0556694,1.04519,1.04519
startupslow_hbt_wcs_mos_ss_res_wcs_T27_3.0,3.64148e-06,1.96671,0.0549876,1.04193,1.04193
startupslow_hbt_wcs_mos_tt_res_bcs_T27_3.0,4.7199e-06,1.9766,0.0523823,1.04872,1.04872
startupslow_hbt_wcs_mos_tt_res_typ_T27_3.0,4.12716e-06,2.00182,0.0518286,1.04523,1.04523
startupslow_hbt_wcs_mos_tt_res_wcs_T27_3.0,3.64185e-06,2.02397,0.0513427,1.04197,1.04197
