deck,iptat,itot
op_typ_T-40_3.3,3.208806e-06,1.72215e-05
op_typ_T175_3.3,6.16686e-06,3.276105e-05
op_typ_T27_3.3,4.134117e-06,2.20383e-05
op_typ_T27_3.3_r4,2.750824e-06,1.511551e-05
