deck,dvbe27,ip125,ip175,ip27,ipm40,itot175,itot27,tc_full,tc_ind,v125,v150,v175,v27,v85,vm40,vmax_full,vmax_ind,vmin_full,vmin_ind
temp_hbt_bcs_mos_ff_res_bcs_3.0,0.0550951,6.25361e-06,7.06045e-06,4.73128e-06,3.66974e-06,3.78447e-05,2.54632e-05,26.75785,28.50408,1.03126,1.03021,1.03189,1.03547,1.03335,1.03607,1.03613,1.03613,1.03017,1.03126
temp_hbt_bcs_mos_ff_res_bcs_3.3,0.0550955,6.25365e-06,7.06051e-06,4.73131e-06,3.66977e-06,3.80989e-05,2.56434e-05,26.74879,28.49229,1.03126,1.03022,1.03189,1.03547,1.03335,1.03607,1.03613,1.03613,1.03017,1.03126
temp_hbt_bcs_mos_ff_res_bcs_3.6,0.0550958,6.2537e-06,7.06056e-06,4.73134e-06,3.66979e-06,3.83531e-05,2.58236e-05,26.73975,28.48639,1.03126,1.03022,1.0319,1.03548,1.03336,1.03607,1.03613,1.03613,1.03018,1.03126
temp_hbt_bcs_mos_ff_res_typ_3.0,0.0550838,5.46893e-06,6.18073e-06,4.1378e-06,3.20964e-06,3.26572e-05,2.19328e-05,36.85594,40.12604,1.02663,1.02535,1.0272,1.03205,1.02921,1.03346,1.03346,1.03346,1.02528,1.02663
temp_hbt_bcs_mos_ff_res_typ_3.3,0.0550841,5.46897e-06,6.18078e-06,4.13783e-06,3.20966e-06,3.28329e-05,2.20571e-05,36.84682,40.11418,1.02663,1.02535,1.0272,1.03205,1.02921,1.03346,1.03346,1.03346,1.02529,1.02663
temp_hbt_bcs_mos_ff_res_typ_3.6,0.0550844,5.469e-06,6.18082e-06,4.13786e-06,3.20969e-06,3.30085e-05,2.21814e-05,36.84224,40.10823,1.02664,1.02535,1.0272,1.03206,1.02921,1.03346,1.03346,1.03346,1.02529,1.02664
temp_hbt_bcs_mos_ff_res_wcs_3.0,0.0550745,4.8264e-06,5.46042e-06,3.65175e-06,2.83278e-06,2.85768e-05,1.91619e-05,46.49137,51.32542,1.0223,1.02081,1.02288,1.02885,1.02533,1.03101,1.03101,1.03101,1.02073,1.0223
temp_hbt_bcs_mos_ff_res_wcs_3.3,0.0550748,4.82643e-06,5.46046e-06,3.65177e-06,2.83279e-06,2.87047e-05,1.92522e-05,46.4822,51.31938,1.0223,1.02081,1.02289,1.02885,1.02533,1.03102,1.03102,1.03102,1.02073,1.0223
temp_hbt_bcs_mos_ff_res_wcs_3.6,0.0550751,4.82646e-06,5.46049e-06,3.65179e-06,2.83281e-06,2.88325e-05,1.93425e-05,46.47307,51.3075,1.02231,1.02082,1.02289,1.02885,1.02534,1.03102,1.03102,1.03102,1.02074,1.02231
temp_hbt_bcs_mos_ss_res_bcs_3.0,0.0550836,6.2513e-06,7.05564e-06,4.73028e-06,3.66896e-06,3.78162e-05,2.54573e-05,27.81547,29.19103,1.03108,1.02993,1.03151,1.03539,1.03325,1.03601,1.03606,1.03606,1.02987,1.03108
temp_hbt_bcs_mos_ss_res_bcs_3.3,0.0550839,6.25135e-06,7.0557e-06,4.73031e-06,3.66899e-06,3.80695e-05,2.56374e-05,27.81093,29.18512,1.03108,1.02994,1.03151,1.0354,1.03325,1.03601,1.03607,1.03607,1.02988,1.03108
temp_hbt_bcs_mos_ss_res_bcs_3.6,0.0550842,6.2514e-06,7.05576e-06,4.73034e-06,3.66901e-06,3.83224e-05,2.58175e-05,27.80186,29.17332,1.03108,1.02994,1.03152,1.0354,1.03326,1.03602,1.03607,1.03607,1.02988,1.03108
temp_hbt_bcs_mos_ss_res_typ_3.0,0.0550724,5.46675e-06,6.17637e-06,4.13694e-06,3.20897e-06,3.2633e-05,2.19281e-05,38.01242,40.92179,1.02643,1.02505,1.0268,1.03198,1.02911,1.0334,1.0334,1.0334,1.02497,1.02643
temp_hbt_bcs_mos_ss_res_typ_3.3,0.0550727,5.46679e-06,6.17642e-06,4.13697e-06,3.20899e-06,3.28082e-05,2.20523e-05,38.00333,40.91584,1.02644,1.02506,1.02681,1.03198,1.02911,1.0334,1.0334,1.0334,1.02497,1.02644
temp_hbt_bcs_mos_ss_res_typ_3.6,0.055073,5.46682e-06,6.17646e-06,4.13699e-06,3.20901e-06,3.29832e-05,2.21765e-05,37.99872,40.90397,1.02644,1.02506,1.02681,1.03198,1.02911,1.03341,1.03341,1.03341,1.02498,1.02644
temp_hbt_bcs_mos_ss_res_wcs_3.0,0.0550632,4.82432e-06,5.45644e-06,3.65099e-06,2.83218e-06,2.85554e-05,1.91579e-05,47.72902,52.22461,1.02209,1.0205,1.02248,1.02877,1.02523,1.03096,1.03096,1.03096,1.0204,1.02209
temp_hbt_bcs_mos_ss_res_wcs_3.3,0.0550635,4.82435e-06,5.45648e-06,3.65102e-06,2.8322e-06,2.86829e-05,1.92482e-05,47.71984,52.21857,1.0221,1.0205,1.02248,1.02878,1.02523,1.03096,1.03096,1.03096,1.0204,1.0221
temp_hbt_bcs_mos_ss_res_wcs_3.6,0.0550638,4.82438e-06,5.45652e-06,3.65104e-06,2.83222e-06,2.88103e-05,1.93385e-05,47.70618,52.20669,1.0221,1.0205,1.02248,1.02878,1.02523,1.03096,1.03096,1.03096,1.02041,1.0221
temp_hbt_bcs_mos_tt_res_bcs_3.0,0.0550893,6.25224e-06,7.05784e-06,4.73076e-06,3.66934e-06,3.78286e-05,2.54602e-05,27.36977,28.94415,1.03115,1.03005,1.03168,1.03543,1.0333,1.03604,1.0361,1.0361,1.03,1.03115
temp_hbt_bcs_mos_tt_res_bcs_3.3,0.0550896,6.25228e-06,7.0579e-06,4.7308e-06,3.66937e-06,3.80821e-05,2.56404e-05,27.36071,28.93236,1.03115,1.03006,1.03169,1.03543,1.0333,1.03604,1.0361,1.0361,1.03001,1.03115
temp_hbt_bcs_mos_tt_res_bcs_3.6,0.0550899,6.25233e-06,7.05796e-06,4.73083e-06,3.6694e-06,3.83355e-05,2.58205e-05,27.35167,28.92645,1.03116,1.03006,1.03169,1.03544,1.0333,1.03604,1.0361,1.0361,1.03001,1.03116
temp_hbt_bcs_mos_tt_res_typ_3.0,0.055078,5.46763e-06,6.17839e-06,4.13736e-06,3.2093e-06,3.26437e-05,2.19304e-05,37.5153,40.63256,1.02651,1.02518,1.02699,1.03201,1.02915,1.03343,1.03343,1.03343,1.02511,1.02651
