Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;CTX_L10_0;CTX_L10_1,CTX_L8_1,CTX_L8_2,CTX_L8_3,CTX_L8_4,CTX_L8_5;0.428;
C2;CTX_L10_0;CTX_L8_0;0.485;
C3;CTX_L10_0;N;0.097;
C4;CTX_L10_0;VSUBS;1.1;
C5;CTX_L10_1,CTX_L8_1,CTX_L8_2,CTX_L8_3,CTX_L8_4,CTX_L8_5;CTX_L8_0;0.012;
C6;CTX_L10_1,CTX_L8_1,CTX_L8_2,CTX_L8_3,CTX_L8_4,CTX_L8_5;N;0.716;
C7;CTX_L10_1,CTX_L8_1,CTX_L8_2,CTX_L8_3,CTX_L8_4,CTX_L8_5;P;0.115;
C8;CTX_L10_1,CTX_L8_1,CTX_L8_2,CTX_L8_3,CTX_L8_4,CTX_L8_5;PSEG_L8_7;0.017;
C9;CTX_L10_1,CTX_L8_1,CTX_L8_2,CTX_L8_3,CTX_L8_4,CTX_L8_5;VSUBS;1.224;
C10;CTX_L10_3,CTX_L8_10,CTX_L8_11,CTX_L8_12,CTX_L8_13,CTX_L8_9;CTX_L8_15;0.716;
C11;CTX_L10_3,CTX_L8_10,CTX_L8_11,CTX_L8_12,CTX_L8_13,CTX_L8_9;NSEG_L8_14;0.008;
C12;CTX_L10_3,CTX_L8_10,CTX_L8_11,CTX_L8_12,CTX_L8_13,CTX_L8_9;NSEG_L8_16;0.008;
C13;CTX_L10_3,CTX_L8_10,CTX_L8_11,CTX_L8_12,CTX_L8_13,CTX_L8_9;P;0.428;
C14;CTX_L10_3,CTX_L8_10,CTX_L8_11,CTX_L8_12,CTX_L8_13,CTX_L8_9;VSUBS;1.257;
C15;CTX_L8_0;N;0.556;
C16;CTX_L8_0;VSUBS;1.365;
C17;CTX_L8_15;NSEG_L8_14;0.11;
C18;CTX_L8_15;NSEG_L8_16;0.058;
C19;CTX_L8_15;P;0.119;
C20;CTX_L8_15;PSEG_L8_8;0.448;
C21;CTX_L8_15;VSUBS;2.848;
C22;N;P;0.154;
C23;N;PSEG_L8_7;0.191;
C24;N;VSUBS;2.856;
C25;NSEG_L8_14;VSUBS;0.583;
C26;NSEG_L8_16;VSUBS;0.615;
C27;P;PSEG_L8_7;1.863;
C28;P;PSEG_L8_8;0.881;
C29;P;VSUBS;2.361;
C30;PSEG_L8_7;PSEG_L8_8;0.448;
C31;PSEG_L8_7;VSUBS;2.98;
C32;PSEG_L8_8;VSUBS;1.059;
