bit_index,time_ps,v_amp_diff_mV,bit_decision
0,180.0,13.3421,1
1,380.0,-61.9654,0
2,580.0,109.1005,1
3,780.0,90.8517,1
4,980.0,-0.2066,0
5,1180.0,140.4019,1
6,1380.0,-2.2425,0
7,1580.0,-132.5457,0
8,1780.0,-40.9178,0
9,1980.0,57.5216,1
10,2180.0,91.4926,1
11,2380.0,100.3232,1
12,2580.0,19.2604,1
13,2780.0,-78.6861,0
14,2980.0,27.5413,1
15,3180.0,163.3279,1
16,3380.0,-127.5965,0
17,3580.0,66.7113,1
18,3780.0,23.5357,1
19,3980.0,-22.7433,0
20,4180.0,91.1595,1
21,4380.0,45.6694,1
22,4580.0,-68.8795,0
23,4780.0,-50.8254,0
24,4980.0,-142.8905,0
25,5180.0,-15.2185,0
26,5380.0,-40.4418,0
27,5580.0,-33.1498,0
28,5780.0,75.8266,1
29,5980.0,-36.0152,0
30,6180.0,117.1443,1
31,6380.0,127.9104,1
32,6580.0,9.5146,1
33,6780.0,50.5052,1
34,6980.0,34.4509,1
35,7180.0,52.3688,1
36,7380.0,-2.6612,0
37,7580.0,-53.1756,0
38,7780.0,-94.7844,0
39,7980.0,29.0348,1
40,8180.0,103.7309,1
41,8380.0,24.8145,1
42,8580.0,45.9801,1
43,8780.0,126.7181,1
44,8980.0,-115.3043,0
45,9180.0,46.7719,1
46,9380.0,50.7153,1
47,9580.0,34.5426,1
48,9780.0,15.1556,1
49,9980.0,-89.9513,0
50,10180.0,-30.5656,0
51,10380.0,5.5320,1
52,10580.0,-122.5901,0
53,10780.0,119.4524,1
54,10980.0,-17.1647,0
55,11180.0,9.8317,1
56,11380.0,45.2860,1
57,11580.0,-110.5087,0
58,11780.0,68.2064,1
59,11980.0,128.4946,1
60,12180.0,56.2883,1
61,12380.0,34.0570,1
62,12580.0,-101.5336,0
63,12780.0,7.9752,1
64,12980.0,65.8905,1
65,13180.0,-100.6051,0
66,13380.0,-36.3702,0
67,13580.0,-32.8932,0
68,13780.0,36.1480,1
69,13980.0,12.1601,1
70,14180.0,82.4132,1
71,14380.0,52.6464,1
72,14580.0,0.8772,1
73,14780.0,5.5096,1
74,14980.0,87.0805,1
75,15180.0,-25.8828,0
76,15380.0,51.1119,1
77,15580.0,58.6388,1
78,15780.0,-72.3731,0
79,15980.0,154.0159,1
80,16180.0,-55.1340,0
81,16380.0,2.2942,1
82,16580.0,37.2078,1
83,16780.0,-5.0741,0
84,16980.0,3.6970,1
85,17180.0,118.3275,1
86,17380.0,3.1504,1
87,17580.0,83.3085,1
88,17780.0,-12.9926,0
89,17980.0,12.0141,1
90,18180.0,-41.8836,0
91,18380.0,-10.1057,0
92,18580.0,-13.5866,0
93,18780.0,-54.6722,0
94,18980.0,-57.1367,0
95,19180.0,132.6805,1
96,19380.0,-70.8187,0
97,19580.0,-65.9163,0
98,19780.0,5.8620,1
99,19980.0,67.9290,1
100,20180.0,43.9120,1
101,20380.0,58.3419,1
102,20580.0,-18.1710,0
103,20780.0,-21.8538,0
104,20980.0,-20.7553,0
105,21180.0,-40.0788,0
106,21380.0,-82.1538,0
107,21580.0,-156.7502,0
108,21780.0,-22.7155,0
109,21980.0,-14.7790,0
110,22180.0,-60.3125,0
111,22380.0,-75.8777,0
112,22580.0,-80.3520,0
113,22780.0,24.4814,1
114,22980.0,65.8102,1
115,23180.0,-17.6400,0
116,23380.0,-47.9573,0
117,23580.0,7.2282,1
118,23780.0,-89.7511,0
119,23980.0,7.5569,1
120,24180.0,-15.9453,0
121,24380.0,-26.1169,0
122,24580.0,-42.8785,0
123,24780.0,48.4614,1
124,24980.0,-25.1132,0
125,25180.0,-104.5512,0
126,25380.0,-141.3151,0
127,25580.0,-168.2361,0
128,25780.0,62.8619,1
129,25980.0,-16.1464,0
130,26180.0,69.0949,1
131,26380.0,-34.2935,0
132,26580.0,65.4761,1
133,26780.0,-21.9487,0
134,26980.0,41.8854,1
135,27180.0,-19.8275,0
136,27380.0,-31.2052,0
137,27580.0,2.5564,1
138,27780.0,-79.5173,0
139,27980.0,-24.5320,0
140,28180.0,-27.1745,0
141,28380.0,25.5849,1
142,28580.0,-83.9431,0
143,28780.0,-94.9901,0
144,28980.0,8.2434,1
145,29180.0,-143.0460,0
146,29380.0,-59.6843,0
147,29580.0,-95.8388,0
148,29780.0,-31.5751,0
149,29980.0,-1.3788,0
150,30180.0,-6.1538,0
151,30380.0,-28.7993,0
152,30580.0,65.2860,1
153,30780.0,-92.9353,0
154,30980.0,69.3260,1
155,31180.0,84.9189,1
156,31380.0,24.2774,1
157,31580.0,-13.7485,0
158,31780.0,-26.6382,0
159,31980.0,30.8346,1
160,32180.0,-16.5646,0
161,32380.0,74.9046,1
162,32580.0,76.8174,1
163,32780.0,-41.0213,0
164,32980.0,32.7185,1
165,33180.0,76.2091,1
166,33380.0,-63.8603,0
167,33580.0,-61.1369,0
168,33780.0,-1.0195,0
169,33980.0,-70.3594,0
170,34180.0,126.6095,1
171,34380.0,52.6095,1
172,34580.0,-99.5279,0
173,34780.0,60.1067,1
174,34980.0,58.0860,1
175,35180.0,-7.6674,0
176,35380.0,90.8604,1
177,35580.0,25.4787,1
178,35780.0,-43.7194,0
179,35980.0,3.8697,1
180,36180.0,-51.7503,0
181,36380.0,19.6343,1
182,36580.0,-59.5744,0
183,36780.0,150.0843,1
184,36980.0,124.6734,1
185,37180.0,40.6728,1
186,37380.0,62.6674,1
187,37580.0,-126.8946,0
188,37780.0,23.8461,1
189,37980.0,17.8250,1
190,38180.0,-36.0687,0
191,38380.0,48.5183,1
192,38580.0,-0.9527,0
193,38780.0,-80.3882,0
194,38980.0,-11.1765,0
195,39180.0,-59.8573,0
196,39380.0,-92.9776,0
197,39580.0,44.3521,1
198,39780.0,69.1914,1
199,39980.0,-121.7186,0
200,40180.0,-59.8777,0
201,40380.0,71.6667,1
202,40580.0,95.6189,1
203,40780.0,86.3446,1
204,40980.0,-45.6877,0
205,41180.0,98.9316,1
206,41380.0,37.4577,1
207,41580.0,-24.6622,0
208,41780.0,15.7018,1
209,41980.0,30.7875,1
210,42180.0,-65.7530,0
211,42380.0,-53.0028,0
212,42580.0,-62.0950,0
213,42780.0,22.5109,1
214,42980.0,11.1046,1
215,43180.0,7.1235,1
216,43380.0,40.2729,1
217,43580.0,-100.0980,0
218,43780.0,-118.3336,0
219,43980.0,-116.2022,0
220,44180.0,89.3510,1
221,44380.0,0.9266,1
222,44580.0,-21.7855,0
223,44780.0,-43.4646,0
224,44980.0,90.3582,1
225,45180.0,-163.1095,0
226,45380.0,-33.7159,0
227,45580.0,-63.2943,0
228,45780.0,-43.8518,0
229,45980.0,43.9039,1
230,46180.0,-102.8622,0
231,46380.0,64.8349,1
232,46580.0,-50.6756,0
233,46780.0,-66.8400,0
234,46980.0,-37.4090,0
235,47180.0,-18.0116,0
236,47380.0,82.8091,1
237,47580.0,127.3961,1
238,47780.0,67.3457,1
239,47980.0,134.9548,1
240,48180.0,64.2629,1
241,48380.0,-34.0670,0
242,48580.0,-17.5408,0
243,48780.0,-16.4780,0
244,48980.0,25.8075,1
245,49180.0,-30.5236,0
246,49380.0,121.6127,1
247,49580.0,-34.9131,0
248,49780.0,-80.7597,0
249,49980.0,-68.7743,0
250,50180.0,22.2861,1
251,50380.0,117.5562,1
252,50580.0,16.5378,1
253,50780.0,-8.3303,0
254,50980.0,-22.3163,0
255,51180.0,8.3219,1
256,51380.0,44.5468,1
257,51580.0,-1.9728,0
258,51780.0,-100.4528,0
259,51980.0,-23.7811,0
260,52180.0,108.0828,1
261,52380.0,-29.1689,0
262,52580.0,-88.0114,0
263,52780.0,-49.6776,0
264,52980.0,-11.9367,0
265,53180.0,13.1151,1
266,53380.0,82.9557,1
267,53580.0,29.1104,1
268,53780.0,-107.9712,0
269,53980.0,134.1390,1
270,54180.0,-52.0488,0
271,54380.0,102.3460,1
272,54580.0,-31.9785,0
273,54780.0,10.3871,1
274,54980.0,6.8931,1
275,55180.0,37.1032,1
276,55380.0,67.5135,1
277,55580.0,-18.1944,0
278,55780.0,19.2646,1
279,55980.0,-37.9842,0
280,56180.0,79.7250,1
281,56380.0,-57.2281,0
282,56580.0,103.0035,1
283,56780.0,-66.5507,0
284,56980.0,96.0650,1
285,57180.0,75.2824,1
286,57380.0,-60.0121,0
287,57580.0,-73.1989,0
288,57780.0,-64.9523,0
289,57980.0,-43.5503,0
290,58180.0,26.5544,1
291,58380.0,15.7682,1
292,58580.0,-31.8962,0
293,58780.0,4.1277,1
294,58980.0,57.0451,1
295,59180.0,-24.1263,0
296,59380.0,26.9517,1
297,59580.0,33.1856,1
298,59780.0,3.5100,1
299,59980.0,17.9229,1
300,60180.0,-15.8692,0
301,60380.0,-12.8258,0
302,60580.0,-118.4347,0
303,60780.0,109.3456,1
304,60980.0,-18.6273,0
305,61180.0,-102.9746,0
306,61380.0,-58.5586,0
307,61580.0,-49.0402,0
308,61780.0,-44.2326,0
309,61980.0,-48.8618,0
310,62180.0,69.3054,1
311,62380.0,-21.4287,0
312,62580.0,-61.5452,0
313,62780.0,13.3877,1
314,62980.0,78.8339,1
315,63180.0,4.0495,1
316,63380.0,-21.0595,0
317,63580.0,18.1964,1
318,63780.0,-172.3405,0
319,63980.0,17.9639,1
320,64180.0,62.5367,1
321,64380.0,43.2005,1
322,64580.0,15.7888,1
323,64780.0,76.3491,1
324,64980.0,6.2589,1
325,65180.0,-85.6839,0
326,65380.0,-118.0196,0
327,65580.0,39.5024,1
