bit_index,time_ps,v_latch_diff_mV,v_amp_diff_mV,bit_decision
359,71980.0,302.4365,168.2291,1
360,72180.0,294.8268,71.2542,1
361,72380.0,293.2879,30.2660,1
362,72580.0,297.5935,68.6576,1
363,72780.0,298.7571,125.9808,1
364,72980.0,276.1173,-75.7890,1
365,73180.0,-290.4122,-14.9826,0
366,73380.0,293.3121,30.6822,1
367,73580.0,299.1080,110.9514,1
368,73780.0,275.6556,-77.9319,1
369,73980.0,-295.6312,-60.3353,0
370,74180.0,-300.3147,-111.0001,0
371,74380.0,-295.5965,-65.9554,0
372,74580.0,-293.2744,-30.5560,0
373,74780.0,-299.8042,-133.8984,0
374,74980.0,-293.2902,-37.0708,0
375,75180.0,279.7308,-43.5573,1
376,75380.0,-296.6980,-101.2860,0
377,75580.0,299.4363,118.3230,1
378,75780.0,-301.3267,-102.3886,0
379,75980.0,-298.9651,-132.4814,0
380,76180.0,-293.7671,-46.7208,0
381,76380.0,299.7625,195.5689,1
382,76580.0,276.4118,-63.6279,1
383,76780.0,-278.1892,52.6529,0
384,76980.0,294.8587,55.3237,1
385,77180.0,-295.4080,-46.1430,0
386,77380.0,-287.0063,5.1721,0
387,77580.0,292.2702,25.2435,1
388,77780.0,-284.5255,18.7206,0
389,77980.0,299.8466,128.4270,1
390,78180.0,298.1802,109.2613,1
391,78380.0,292.0312,24.6636,1
392,78580.0,-293.6737,-34.3830,0
393,78780.0,-288.6402,-4.4463,0
394,78980.0,297.3187,58.5204,1
395,79180.0,288.2317,1.2254,1
396,79380.0,-280.8894,36.3885,0
397,79580.0,294.5111,69.7962,1
398,79780.0,-299.4141,-200.9733,0
399,79980.0,-281.1754,35.2093,0
400,80180.0,289.9291,11.3341,1
401,80380.0,293.3586,31.8687,1
402,80580.0,-296.6416,-60.3179,0
403,80780.0,300.5460,98.8620,1
404,80980.0,299.6448,163.6897,1
405,81180.0,295.0599,69.7371,1
406,81380.0,-290.8232,-16.5913,0
407,81580.0,291.3102,18.8265,1
408,81780.0,-298.7909,-148.7500,0
409,81980.0,-280.5436,42.2778,0
410,82180.0,-301.5610,-143.9595,0
411,82380.0,-294.6053,-57.3678,0
412,82580.0,296.3576,53.8479,1
413,82780.0,293.7832,36.3662,1
414,82980.0,-299.3328,-86.4882,0
415,83180.0,-298.9184,-116.9874,0
416,83380.0,-300.2302,-156.4640,0
417,83580.0,-298.9028,-193.4151,0
418,83780.0,-282.7319,27.7427,0
419,83980.0,278.0930,-51.9630,1
420,84180.0,-288.7315,-3.0215,0
421,84380.0,294.8242,58.8247,1
422,84580.0,-287.2804,5.5524,0
423,84780.0,298.9582,192.4162,1
424,84980.0,274.0066,-100.8052,1
425,85180.0,-277.4234,55.6558,0
426,85380.0,298.3914,156.5383,1
427,85580.0,288.1528,1.7503,1
428,85780.0,296.6926,52.1428,1
429,85980.0,300.2819,179.3632,1
430,86180.0,297.0893,138.5457,1
431,86380.0,-300.0317,-92.3565,0
432,86580.0,-281.4879,33.0480,0
433,86780.0,295.2316,53.9894,1
434,86980.0,-301.1184,-111.3083,0
435,87180.0,-298.7712,-181.9215,0
436,87380.0,-279.3835,45.5989,0
437,87580.0,280.0579,-42.2259,1
438,87780.0,-285.0313,14.8912,0
439,87980.0,284.8734,-15.6265,1
440,88180.0,302.1172,111.4256,1
441,88380.0,297.6700,142.7422,1
442,88580.0,298.0455,81.6645,1
443,88780.0,290.2438,12.5281,1
444,88980.0,-295.2473,-46.9170,0
445,89180.0,-298.3259,-80.6338,0
446,89380.0,-292.1777,-25.6142,0
447,89580.0,-300.7606,-109.3786,0
448,89780.0,-297.4182,-107.8729,0
449,89980.0,-297.0419,-65.0171,0
450,90180.0,-286.7554,6.4694,0
451,90380.0,296.2607,58.6871,1
452,90580.0,280.7772,-38.5089,1
453,90780.0,-299.0090,-119.8484,0
454,90980.0,-293.9892,-38.8440,0
455,91180.0,-283.9867,21.2492,0
456,91380.0,298.2775,90.6556,1
457,91580.0,297.4917,68.7226,1
458,91780.0,294.0657,44.2174,1
459,91980.0,-298.9205,-120.6970,0
460,92180.0,-291.9973,-23.2324,0
461,92380.0,-298.6504,-145.7461,0
462,92580.0,301.6202,143.0276,1
463,92780.0,280.9755,-35.9905,1
464,92980.0,301.1241,112.5562,1
465,93180.0,271.6644,-118.8137,1
466,93380.0,-295.1127,-85.1944,0
467,93580.0,300.7129,129.7733,1
468,93780.0,297.5455,132.1440,1
469,93980.0,-297.2618,-60.9605,0
470,94180.0,301.0570,124.0887,1
471,94380.0,287.9823,0.8207,1
472,94580.0,298.3964,72.9907,1
473,94780.0,-299.7937,-83.2412,0
474,94980.0,-275.8454,72.5279,0
475,95180.0,279.9108,-41.9802,1
476,95380.0,-284.6236,17.4044,0
477,95580.0,291.5733,22.3737,1
478,95780.0,-298.8865,-111.2602,0
479,95980.0,-293.7548,-38.0577,0
480,96180.0,301.3319,142.3628,1
481,96380.0,295.2807,72.8314,1
482,96580.0,-288.7120,-4.4761,0
483,96780.0,294.4791,41.1371,1
484,96980.0,-297.1941,-62.8415,0
485,97180.0,-290.3484,-14.0738,0
486,97380.0,-301.3098,-140.4966,0
487,97580.0,-294.5241,-62.9146,0
488,97780.0,296.8394,67.5223,1
489,97980.0,296.4815,52.7600,1
490,98180.0,298.6325,124.0875,1
491,98380.0,295.9566,56.5801,1
492,98580.0,-301.8567,-102.6621,0
493,98780.0,-296.7103,-133.1853,0
494,98980.0,291.7644,21.0823,1
495,99180.0,-299.9199,-182.8861,0
496,99380.0,-294.5540,-48.2094,0
497,99580.0,-295.6759,-53.3296,0
498,99780.0,299.6221,111.4538,1
499,99980.0,276.5063,-75.6837,1
500,100180.0,-280.2644,40.9768,0
501,100380.0,279.6685,-43.5672,1
502,100580.0,-276.7828,58.8150,0
503,100780.0,297.2839,155.2360,1
504,100980.0,-301.0661,-151.7332,0
505,101180.0,-285.6813,11.5292,0
506,101380.0,-300.5561,-100.5460,0
507,101580.0,-270.6262,134.0122,0
508,101780.0,296.4583,147.5193,1
509,101980.0,-293.4062,-31.6322,0
510,102180.0,290.1612,12.2103,1
511,102380.0,-292.5934,-26.9672,0
512,102580.0,299.9152,106.6654,1
513,102780.0,297.0396,83.6026,1
514,102980.0,297.6621,64.5336,1
515,103180.0,298.6657,153.7200,1
516,103380.0,-303.4819,-171.0262,0
517,103580.0,-295.2510,-93.8780,0
518,103780.0,-295.0224,-41.9783,0
519,103980.0,299.1432,74.8195,1
520,104180.0,-303.7567,-128.3087,0
521,104380.0,-292.1496,-36.8090,0
522,104580.0,294.9527,57.1608,1
523,104780.0,-280.7599,37.9837,0
524,104980.0,282.9541,-26.2341,1
525,105180.0,-292.5984,-31.8335,0
526,105380.0,281.3321,-34.5523,1
527,105580.0,-281.6248,32.7315,0
528,105780.0,285.1757,-17.4158,1
529,105980.0,-296.1965,-120.8053,0
530,106180.0,294.1969,43.7562,1
531,106380.0,-299.6956,-186.9440,0
532,106580.0,-284.5684,18.0595,0
533,106780.0,300.0921,141.8492,1
534,106980.0,293.5914,44.9591,1
535,107180.0,-291.2877,-19.2854,0
536,107380.0,298.4620,108.8146,1
537,107580.0,294.5099,39.3532,1
538,107780.0,299.4017,137.1364,1
539,107980.0,282.9420,-26.4055,1
540,108180.0,-289.9275,-11.6265,0
541,108380.0,297.2000,96.2342,1
542,108580.0,-301.2512,-212.9900,0
543,108780.0,-281.9758,36.2107,0
544,108980.0,294.5486,74.3749,1
