bit_index,time_ps,v_amp_diff_mV,bit_decision
0,180.0,78.7081,1
1,380.0,27.2768,1
2,580.0,5.7305,1
3,780.0,-38.4466,0
4,980.0,-2.2058,0
5,1180.0,-33.1721,0
6,1380.0,-88.8561,0
7,1580.0,-20.0692,0
8,1780.0,-26.9254,0
9,1980.0,69.9578,1
10,2180.0,48.7018,1
11,2380.0,-57.2461,0
12,2580.0,-33.8170,0
13,2780.0,82.8657,1
14,2980.0,-7.2351,0
15,3180.0,59.5771,1
16,3380.0,-36.4066,0
17,3580.0,7.6361,1
18,3780.0,-26.2442,0
19,3980.0,-14.2779,0
20,4180.0,5.9294,1
21,4380.0,-75.4577,0
22,4580.0,-68.4671,0
23,4780.0,25.1084,1
24,4980.0,-74.0440,0
25,5180.0,9.9083,1
26,5380.0,80.1161,1
27,5580.0,10.8233,1
28,5780.0,23.3403,1
29,5980.0,26.3942,1
30,6180.0,54.3016,1
31,6380.0,13.2641,1
32,6580.0,-9.3459,0
33,6780.0,-70.6232,0
34,6980.0,26.5947,1
35,7180.0,23.7974,1
36,7380.0,-19.5228,0
37,7580.0,-12.8159,0
38,7780.0,45.3790,1
39,7980.0,51.1964,1
40,8180.0,-41.7584,0
41,8380.0,-29.1331,0
42,8580.0,-15.7361,0
43,8780.0,-52.2897,0
44,8980.0,43.0611,1
45,9180.0,-40.3751,0
46,9380.0,-6.8894,0
47,9580.0,47.4081,1
48,9780.0,-13.7673,0
49,9980.0,-2.7443,0
50,10180.0,4.2013,1
51,10380.0,-58.1572,0
52,10580.0,-2.7582,0
53,10780.0,13.4287,1
54,10980.0,1.3939,1
55,11180.0,-5.2581,0
56,11380.0,54.9103,1
57,11580.0,7.1021,1
58,11780.0,51.4324,1
59,11980.0,21.8109,1
60,12180.0,-27.0129,0
61,12380.0,-47.1306,0
62,12580.0,-26.1845,0
63,12780.0,40.3431,1
64,12980.0,18.4987,1
65,13180.0,13.6216,1
66,13380.0,-19.0744,0
67,13580.0,-49.2010,0
68,13780.0,-24.6509,0
69,13980.0,27.7243,1
70,14180.0,-63.1351,0
71,14380.0,16.0007,1
72,14580.0,53.5675,1
73,14780.0,48.9709,1
74,14980.0,-75.1939,0
75,15180.0,15.6107,1
76,15380.0,70.2503,1
77,15580.0,46.7842,1
78,15780.0,-29.1190,0
79,15980.0,16.9878,1
80,16180.0,-20.8709,0
81,16380.0,-28.2003,0
82,16580.0,15.0246,1
83,16780.0,13.9408,1
84,16980.0,-6.3353,0
85,17180.0,22.4180,1
86,17380.0,-25.5376,0
87,17580.0,35.7986,1
88,17780.0,19.3719,1
89,17980.0,50.5478,1
90,18180.0,-3.6023,0
91,18380.0,-29.4619,0
92,18580.0,-7.6014,0
93,18780.0,36.9239,1
94,18980.0,16.5373,1
95,19180.0,43.0885,1
96,19380.0,13.6379,1
97,19580.0,20.9973,1
98,19780.0,-12.7875,0
99,19980.0,47.2493,1
100,20180.0,-9.9350,0
101,20380.0,-5.8935,0
102,20580.0,12.6032,1
103,20780.0,5.9759,1
104,20980.0,20.2094,1
105,21180.0,-13.1057,0
106,21380.0,5.8500,1
107,21580.0,-25.5038,0
108,21780.0,-1.5705,0
109,21980.0,-45.0005,0
110,22180.0,11.7615,1
111,22380.0,-18.7463,0
112,22580.0,-79.4374,0
113,22780.0,24.6521,1
114,22980.0,10.3594,1
115,23180.0,-16.4320,0
116,23380.0,24.4885,1
117,23580.0,-16.5347,0
118,23780.0,-3.9032,0
119,23980.0,82.3251,1
120,24180.0,-40.5750,0
121,24380.0,79.6898,1
122,24580.0,-24.4119,0
123,24780.0,17.4304,1
124,24980.0,12.8056,1
125,25180.0,4.9294,1
126,25380.0,-10.8353,0
127,25580.0,71.8157,1
128,25780.0,55.4696,1
129,25980.0,-5.7392,0
130,26180.0,10.2129,1
131,26380.0,-51.9039,0
132,26580.0,40.4258,1
133,26780.0,42.0960,1
134,26980.0,51.0501,1
135,27180.0,-31.5689,0
136,27380.0,-17.8340,0
137,27580.0,4.2090,1
138,27780.0,56.7365,1
139,27980.0,-7.4665,0
140,28180.0,33.5081,1
141,28380.0,16.0872,1
142,28580.0,-59.1233,0
143,28780.0,-25.2440,0
144,28980.0,-3.0982,0
145,29180.0,37.8461,1
146,29380.0,17.1996,1
147,29580.0,15.1745,1
148,29780.0,8.5747,1
149,29980.0,43.3567,1
150,30180.0,46.7814,1
151,30380.0,43.8388,1
152,30580.0,51.5855,1
153,30780.0,-4.7516,0
154,30980.0,-15.6332,0
155,31180.0,-13.0271,0
156,31380.0,13.1507,1
157,31580.0,43.1095,1
158,31780.0,-18.2594,0
159,31980.0,0.4335,1
160,32180.0,20.7487,1
161,32380.0,-22.7986,0
162,32580.0,-9.1085,0
163,32780.0,-50.4673,0
164,32980.0,18.9203,1
165,33180.0,-8.2269,0
166,33380.0,-63.0482,0
167,33580.0,33.1730,1
168,33780.0,7.1694,1
169,33980.0,29.1131,1
170,34180.0,-23.6874,0
171,34380.0,12.1664,1
172,34580.0,-33.6020,0
173,34780.0,30.7787,1
174,34980.0,-26.2531,0
175,35180.0,28.0046,1
176,35380.0,58.6362,1
177,35580.0,16.9843,1
178,35780.0,-17.3721,0
179,35980.0,105.5827,1
180,36180.0,-51.2884,0
181,36380.0,-30.5896,0
182,36580.0,7.1860,1
183,36780.0,44.4081,1
184,36980.0,-25.4530,0
185,37180.0,-3.7062,0
186,37380.0,-28.8109,0
187,37580.0,32.1711,1
188,37780.0,-0.8231,0
189,37980.0,-79.7001,0
190,38180.0,39.6111,1
191,38380.0,-32.3556,0
192,38580.0,35.0948,1
193,38780.0,12.9484,1
194,38980.0,-28.2324,0
195,39180.0,12.2858,1
196,39380.0,18.9822,1
197,39580.0,71.9308,1
198,39780.0,-4.6743,0
199,39980.0,-60.7860,0
200,40180.0,-7.7592,0
201,40380.0,-28.4380,0
202,40580.0,3.9966,1
203,40780.0,64.8542,1
204,40980.0,-28.3195,0
205,41180.0,-70.6352,0
206,41380.0,1.2007,1
207,41580.0,-16.4048,0
208,41780.0,-4.3635,0
209,41980.0,-46.2489,0
210,42180.0,-3.3445,0
211,42380.0,-41.4782,0
212,42580.0,38.9353,1
213,42780.0,-15.0965,0
214,42980.0,3.8004,1
215,43180.0,25.6610,1
216,43380.0,29.8049,1
217,43580.0,-0.4138,0
218,43780.0,35.2774,1
219,43980.0,5.0497,1
220,44180.0,-35.5620,0
221,44380.0,-9.6928,0
222,44580.0,-53.9854,0
223,44780.0,-16.0576,0
224,44980.0,-17.3543,0
225,45180.0,-4.7857,0
226,45380.0,-20.8696,0
227,45580.0,-26.4385,0
228,45780.0,-7.1241,0
229,45980.0,5.0027,1
230,46180.0,42.1846,1
231,46380.0,50.6247,1
232,46580.0,-36.3623,0
233,46780.0,-29.4570,0
234,46980.0,1.2140,1
235,47180.0,-36.3772,0
236,47380.0,-50.8399,0
237,47580.0,-58.3846,0
238,47780.0,-2.5232,0
239,47980.0,-87.7200,0
240,48180.0,67.8318,1
241,48380.0,-27.9663,0
242,48580.0,-95.8086,0
243,48780.0,-6.7061,0
244,48980.0,-7.0145,0
245,49180.0,6.3345,1
246,49380.0,-21.3020,0
247,49580.0,0.5265,1
248,49780.0,4.8747,1
249,49980.0,5.0426,1
250,50180.0,71.7295,1
251,50380.0,3.9875,1
252,50580.0,-8.7353,0
253,50780.0,3.8872,1
254,50980.0,-34.3014,0
255,51180.0,3.6476,1
256,51380.0,46.7246,1
257,51580.0,18.3834,1
258,51780.0,-97.8401,0
259,51980.0,-10.5665,0
260,52180.0,-19.1896,0
261,52380.0,-69.1214,0
262,52580.0,3.7908,1
263,52780.0,-18.7935,0
264,52980.0,-7.1463,0
265,53180.0,30.3586,1
266,53380.0,2.9905,1
267,53580.0,18.2098,1
268,53780.0,2.3612,1
269,53980.0,-34.9943,0
270,54180.0,-20.7855,0
271,54380.0,-7.4830,0
272,54580.0,25.7140,1
273,54780.0,-6.7147,0
274,54980.0,-8.7743,0
275,55180.0,-1.3028,0
276,55380.0,-44.7805,0
277,55580.0,30.0676,1
278,55780.0,6.5236,1
279,55980.0,-28.3097,0
280,56180.0,57.9714,1
281,56380.0,19.3984,1
282,56580.0,-18.3683,0
283,56780.0,65.4454,1
284,56980.0,-59.3913,0
285,57180.0,52.5522,1
286,57380.0,21.3176,1
287,57580.0,-6.5996,0
288,57780.0,23.5822,1
289,57980.0,38.6849,1
290,58180.0,22.9956,1
291,58380.0,108.0778,1
292,58580.0,8.0635,1
293,58780.0,-40.7832,0
294,58980.0,-54.3425,0
295,59180.0,32.4696,1
296,59380.0,-73.0131,0
297,59580.0,14.2968,1
298,59780.0,-14.5288,0
299,59980.0,26.0930,1
300,60180.0,-12.1717,0
301,60380.0,-20.6117,0
302,60580.0,-38.9558,0
303,60780.0,13.2913,1
304,60980.0,-7.2393,0
305,61180.0,-3.3396,0
306,61380.0,-13.2618,0
307,61580.0,-1.5528,0
308,61780.0,-60.7836,0
309,61980.0,-11.9289,0
310,62180.0,1.3247,1
311,62380.0,21.2373,1
312,62580.0,-18.6091,0
313,62780.0,19.2564,1
314,62980.0,-6.8207,0
315,63180.0,-53.6929,0
316,63380.0,54.1158,1
317,63580.0,4.7280,1
318,63780.0,27.7188,1
319,63980.0,-13.7001,0
320,64180.0,-56.3091,0
321,64380.0,-23.7496,0
322,64580.0,-38.9843,0
323,64780.0,-86.6299,0
324,64980.0,21.9841,1
325,65180.0,-25.7017,0
326,65380.0,30.5307,1
327,65580.0,43.0500,1
328,65780.0,-33.2280,0
329,65980.0,-8.1201,0
330,66180.0,4.8454,1
331,66380.0,12.5131,1
332,66580.0,7.3315,1
333,66780.0,-16.1651,0
334,66980.0,-11.9059,0
335,67180.0,22.0775,1
336,67380.0,-37.0052,0
337,67580.0,11.7852,1
338,67780.0,-3.2802,0
339,67980.0,-3.0246,0
340,68180.0,38.2751,1
341,68380.0,11.5861,1
342,68580.0,40.6150,1
343,68780.0,12.3681,1
344,68980.0,6.4038,1
345,69180.0,-65.0948,0
346,69380.0,41.4346,1
347,69580.0,-98.7475,0
348,69780.0,-21.4684,0
349,69980.0,36.0257,1
350,70180.0,38.2434,1
351,70380.0,57.7351,1
352,70580.0,21.6138,1
353,70780.0,-3.1920,0
354,70980.0,7.7069,1
355,71180.0,-0.4510,0
356,71380.0,-27.2917,0
357,71580.0,40.7302,1
358,71780.0,-95.8185,0
359,71980.0,-56.0893,0
360,72180.0,-15.3886,0
361,72380.0,-44.4732,0
362,72580.0,-3.7379,0
363,72780.0,-8.1230,0
364,72980.0,64.5216,1
365,73180.0,-25.5214,0
366,73380.0,-41.4724,0
367,73580.0,-12.1527,0
368,73780.0,33.5886,1
369,73980.0,52.5349,1
370,74180.0,-7.5147,0
371,74380.0,24.6479,1
372,74580.0,12.2735,1
373,74780.0,-12.6743,0
374,74980.0,-20.8975,0
375,75180.0,20.5928,1
376,75380.0,-49.1272,0
377,75580.0,1.7443,1
378,75780.0,-37.6903,0
379,75980.0,-53.9256,0
380,76180.0,-51.5061,0
381,76380.0,-22.5038,0
382,76580.0,-27.4525,0
383,76780.0,16.4751,1
384,76980.0,-34.6667,0
385,77180.0,-3.0916,0
386,77380.0,-24.1409,0
387,77580.0,34.0775,1
388,77780.0,50.5772,1
389,77980.0,0.8830,1
390,78180.0,22.2852,1
391,78380.0,31.2112,1
392,78580.0,-2.6804,0
393,78780.0,10.3165,1
394,78980.0,-5.1043,0
395,79180.0,-31.2598,0
396,79380.0,-14.3168,0
397,79580.0,-17.3057,0
398,79780.0,-8.1697,0
399,79980.0,88.5984,1
400,80180.0,-24.2630,0
401,80380.0,6.6014,1
402,80580.0,-33.8682,0
403,80780.0,-59.4131,0
404,80980.0,71.9023,1
405,81180.0,44.7168,1
406,81380.0,-25.9513,0
407,81580.0,13.9036,1
408,81780.0,-12.3027,0
409,81980.0,22.2214,1
410,82180.0,28.7584,1
