bit_index,time_ps,v_amp_diff_mV,bit_decision
219,43980.0,35.9831,1
220,44180.0,8.6178,1
221,44380.0,69.7385,1
222,44580.0,22.7696,1
223,44780.0,29.2110,1
224,44980.0,112.0784,1
225,45180.0,2.0524,1
226,45380.0,106.5592,1
227,45580.0,-81.6623,0
228,45780.0,57.5328,1
229,45980.0,-2.6624,0
230,46180.0,27.2414,1
231,46380.0,-91.3381,0
232,46580.0,20.0683,1
233,46780.0,8.5690,1
234,46980.0,11.4056,1
235,47180.0,-61.9698,0
236,47380.0,-34.1395,0
237,47580.0,16.3976,1
238,47780.0,22.3339,1
239,47980.0,-164.2149,0
240,48180.0,-81.5844,0
241,48380.0,45.7521,1
242,48580.0,-4.8824,0
243,48780.0,-123.7080,0
244,48980.0,44.8125,1
245,49180.0,15.0443,1
246,49380.0,-12.5384,0
247,49580.0,-58.0653,0
248,49780.0,-70.9701,0
249,49980.0,39.5484,1
250,50180.0,-50.7274,0
251,50380.0,-65.3111,0
252,50580.0,0.4930,1
253,50780.0,2.8823,1
254,50980.0,-31.0477,0
255,51180.0,-60.5169,0
256,51380.0,122.8688,1
257,51580.0,3.3156,1
258,51780.0,-159.1303,0
259,51980.0,-55.8659,0
260,52180.0,-95.8810,0
261,52380.0,93.6191,1
262,52580.0,137.9351,1
263,52780.0,75.1072,1
264,52980.0,84.8333,1
265,53180.0,27.3927,1
266,53380.0,54.4556,1
267,53580.0,-30.7523,0
268,53780.0,82.3388,1
269,53980.0,-15.0255,0
270,54180.0,-48.3627,0
271,54380.0,-65.5217,0
272,54580.0,-94.6905,0
273,54780.0,62.4827,1
274,54980.0,-75.0380,0
275,55180.0,2.6596,1
276,55380.0,5.1460,1
277,55580.0,70.6134,1
278,55780.0,12.8018,1
279,55980.0,-123.3953,0
280,56180.0,-154.9028,0
281,56380.0,46.0406,1
282,56580.0,81.9531,1
283,56780.0,-9.5525,0
284,56980.0,-147.7675,0
285,57180.0,94.8636,1
286,57380.0,11.5390,1
287,57580.0,-5.2877,0
288,57780.0,158.9603,1
289,57980.0,46.8754,1
290,58180.0,-36.5524,0
291,58380.0,17.0306,1
292,58580.0,-82.4231,0
293,58780.0,73.2628,1
294,58980.0,-48.0146,0
295,59180.0,-91.1970,0
296,59380.0,-23.5408,0
297,59580.0,41.5620,1
298,59780.0,46.9836,1
299,59980.0,-5.6065,0
300,60180.0,-18.7816,0
301,60380.0,-66.2463,0
302,60580.0,-16.7146,0
303,60780.0,27.2043,1
304,60980.0,45.8761,1
305,61180.0,-159.4926,0
306,61380.0,125.5351,1
307,61580.0,10.7303,1
308,61780.0,125.8611,1
309,61980.0,-6.8723,0
310,62180.0,80.8337,1
311,62380.0,1.0070,1
312,62580.0,37.4780,1
313,62780.0,23.1016,1
314,62980.0,147.7650,1
315,63180.0,26.1687,1
316,63380.0,0.5081,1
317,63580.0,-36.4730,0
318,63780.0,-31.4706,0
319,63980.0,5.4748,1
320,64180.0,83.6107,1
321,64380.0,-54.0418,0
322,64580.0,-7.6504,0
323,64780.0,8.2915,1
324,64980.0,-61.9497,0
325,65180.0,7.7852,1
326,65380.0,12.5356,1
327,65580.0,-157.1817,0
328,65780.0,32.3761,1
329,65980.0,90.9417,1
330,66180.0,20.6044,1
331,66380.0,42.3610,1
332,66580.0,27.8148,1
333,66780.0,-181.7614,0
334,66980.0,-171.3828,0
335,67180.0,-70.7499,0
336,67380.0,-52.1472,0
337,67580.0,-9.7504,0
338,67780.0,63.7264,1
339,67980.0,12.2132,1
340,68180.0,19.5536,1
341,68380.0,-50.9440,0
342,68580.0,-56.5380,0
343,68780.0,-117.1818,0
344,68980.0,-84.2760,0
345,69180.0,57.5747,1
346,69380.0,-18.0876,0
347,69580.0,-24.7746,0
348,69780.0,80.3081,1
349,69980.0,-46.0569,0
350,70180.0,0.7225,1
351,70380.0,-88.7267,0
352,70580.0,-44.2492,0
353,70780.0,7.9656,1
354,70980.0,17.1414,1
355,71180.0,-54.0760,0
356,71380.0,72.8422,1
357,71580.0,75.5403,1
358,71780.0,20.0603,1
359,71980.0,-26.3348,0
360,72180.0,-63.6823,0
361,72380.0,112.9469,1
362,72580.0,7.1807,1
363,72780.0,-37.6837,0
364,72980.0,22.5283,1
365,73180.0,-118.9208,0
366,73380.0,-112.4044,0
367,73580.0,-75.5936,0
368,73780.0,35.2037,1
369,73980.0,-84.7766,0
370,74180.0,97.7568,1
371,74380.0,60.3187,1
372,74580.0,-60.8819,0
373,74780.0,-4.2757,0
374,74980.0,96.2415,1
375,75180.0,18.6850,1
376,75380.0,-8.4782,0
377,75580.0,-54.4158,0
378,75780.0,75.1703,1
379,75980.0,62.5161,1
380,76180.0,67.0712,1
381,76380.0,-51.5911,0
382,76580.0,36.4983,1
383,76780.0,-94.1396,0
384,76980.0,52.2608,1
385,77180.0,90.8922,1
386,77380.0,96.7258,1
387,77580.0,-37.5274,0
388,77780.0,99.7781,1
389,77980.0,91.5734,1
390,78180.0,-42.7927,0
391,78380.0,-143.8201,0
392,78580.0,-23.0668,0
393,78780.0,42.8376,1
394,78980.0,59.9372,1
395,79180.0,-20.9571,0
396,79380.0,-83.2193,0
397,79580.0,72.5139,1
398,79780.0,61.3397,1
399,79980.0,-123.1609,0
400,80180.0,-86.9114,0
401,80380.0,52.5699,1
402,80580.0,41.8141,1
403,80780.0,43.5298,1
404,80980.0,-12.0594,0
405,81180.0,157.9705,1
406,81380.0,-34.4791,0
407,81580.0,106.5867,1
408,81780.0,-2.7098,0
409,81980.0,-2.4893,0
410,82180.0,-147.1553,0
411,82380.0,-106.5602,0
412,82580.0,86.3813,1
413,82780.0,28.7853,1
414,82980.0,104.3634,1
415,83180.0,-68.6170,0
416,83380.0,47.6174,1
417,83580.0,77.9329,1
418,83780.0,266.7493,1
419,83980.0,66.2665,1
420,84180.0,-99.6229,0
421,84380.0,-6.0482,0
422,84580.0,-82.9353,0
423,84780.0,75.2750,1
424,84980.0,2.7147,1
425,85180.0,-26.0273,0
426,85380.0,147.8112,1
427,85580.0,6.9878,1
428,85780.0,-135.1561,0
429,85980.0,-44.4217,0
430,86180.0,-131.5513,0
431,86380.0,187.8272,1
432,86580.0,7.3119,1
433,86780.0,91.2117,1
434,86980.0,28.0670,1
435,87180.0,49.3794,1
436,87380.0,27.9612,1
437,87580.0,9.7321,1
438,87780.0,21.2781,1
439,87980.0,0.4481,1
440,88180.0,-3.4755,0
441,88380.0,-41.5696,0
442,88580.0,25.2450,1
443,88780.0,-4.5335,0
444,88980.0,53.6585,1
445,89180.0,54.4273,1
446,89380.0,-58.5301,0
447,89580.0,-48.2202,0
448,89780.0,46.3316,1
449,89980.0,-122.1854,0
450,90180.0,-45.5303,0
451,90380.0,36.6672,1
452,90580.0,-83.8736,0
453,90780.0,26.1373,1
454,90980.0,106.5917,1
455,91180.0,1.7301,1
456,91380.0,12.3040,1
457,91580.0,-71.0781,0
458,91780.0,6.8163,1
459,91980.0,70.6138,1
460,92180.0,57.5204,1
461,92380.0,42.9218,1
462,92580.0,-51.7916,0
463,92780.0,-12.5854,0
464,92980.0,67.4220,1
465,93180.0,-33.3964,0
466,93380.0,-31.7088,0
467,93580.0,0.3788,1
468,93780.0,-142.6910,0
469,93980.0,3.3250,1
470,94180.0,42.1382,1
471,94380.0,40.7474,1
472,94580.0,58.6856,1
473,94780.0,14.3255,1
474,94980.0,103.9348,1
475,95180.0,-97.4114,0
476,95380.0,-8.5160,0
