phase_ps,chunk0_rho,chunk1_rho,chunk2_rho,chunk3_rho,rho_mean,p1_mean,pooled_N,se
0,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
10,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
20,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
30,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
40,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
50,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
60,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
70,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
80,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
90,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
100,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
110,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
120,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
130,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
140,-0.113787878788,0.080175706646,0.136816635360,-0.013973063973,0.022307849811,0.464772727273,880,0.033709993123
150,0.048757056897,0.118054647191,0.194052240378,0.056269592476,0.104283384236,0.443181818182,880,0.033709993123
160,0.282443612725,0.249117612911,0.347338583746,0.361542737154,0.310110636634,0.392045454545,880,0.033709993123
170,-0.043580178687,0.135526691640,0.146525373224,0.021996451155,0.065117084333,0.451136363636,880,0.033709993123
180,-0.122121212121,0.080175706646,0.127177558234,-0.013973063973,0.017814747197,0.465909090909,880,0.033709993123
190,-0.122121212121,0.080175706646,0.127177558234,-0.013973063973,0.017814747197,0.465909090909,880,0.033709993123
