pad_number,logical_pin,side,opening_center_x_um,opening_center_y_um,opening_width_um,opening_height_um,die_width_um,die_height_um,candidate_gds_sha256,status,qfn24_lead,lead_side
1,VDD,south,395.0,101.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,1,left
2,VSS,south,507.0,101.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,2,left
3,IOVDD,south,619.0,101.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,3,left
4,IOVSS,south,731.0,101.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,4,left
5,VSS,south,843.0,101.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,5,left
6,IOVSS,south,955.0,101.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,6,left
7,VDDA,east,1313.0,395.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,7,bottom
8,SENSE_P,east,1313.0,507.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,8,bottom
9,SENSE_N,east,1313.0,619.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,9,bottom
10,GATE,east,1313.0,731.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,10,bottom
11,FAULT_N,east,1313.0,843.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,11,bottom
12,EN,east,1313.0,955.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,12,bottom
13,TRIP_SET,north,395.0,1313.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,18,right
14,SCLK,north,507.0,1313.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,17,right
15,SDI,north,619.0,1313.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,16,right
16,SDO,north,731.0,1313.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,15,right
17,TEMP_OUT,north,843.0,1313.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,14,right
18,VREF,north,955.0,1313.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,13,right
19,G_SHARED,west,101.0,395.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,24,top
20,D_STD,west,101.0,507.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,23,top
21,D_ELT,west,101.0,619.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,22,top
22,HBT_E,west,101.0,731.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,21,top
23,HBT_B,west,101.0,843.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,20,top
24,HBT_C,west,101.0,955.0,65.8,65.8,1414,1414,7d07a7841a531f51e08b0c90e76fe603889cd2ef29905e309e63f09742e688f2,chip_of_record,19,top
