pad_number,logical_pin,side,opening_center_x_um,opening_center_y_um,opening_width_um,opening_height_um,die_width_um,die_height_um,candidate_gds_sha256,status
1,VDD,south,395.0,101.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
2,VSS,south,507.0,101.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
3,IOVDD,south,619.0,101.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
4,IOVSS,south,731.0,101.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
5,VSS,south,843.0,101.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
6,IOVSS,south,955.0,101.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
7,VDDA,east,1313.0,395.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
8,SENSE_P,east,1313.0,507.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
9,SENSE_N,east,1313.0,619.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
10,GATE,east,1313.0,731.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
11,FAULT_N,east,1313.0,843.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
12,EN,east,1313.0,955.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
13,TRIP_SET,north,395.0,1313.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
14,SCLK,north,507.0,1313.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
15,SDI,north,619.0,1313.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
16,SDO,north,731.0,1313.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
17,TEMP_OUT,north,843.0,1313.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
18,VREF,north,955.0,1313.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
19,G_SHARED,west,101.0,395.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
20,D_STD,west,101.0,507.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
21,D_ELT,west,101.0,619.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
22,HBT_E,west,101.0,731.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
23,HBT_B,west,101.0,843.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
24,HBT_C,west,101.0,955.0,65.8,65.8,1414,1414,3e3634389aff5126d0f55f6814466ad179f6d1280e9152c62a07ab5ea3d105bf,candidate_not_tapeout
