 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.000000000000000e-01  2.999999999999858e-01  9.999999999999580e-01  4.623286550286362e-14  1.418136441611037e-16  4.198030811863873e-16 -4.623286550286357e-16 -8.814305782648540e-12 -1.917414560967712e-11  2.128093082261812e-12  0.000000000000000e+00 -2.740201935993792e-12 
 3.010000000000000e-01  3.009999999999852e-01  9.999999999999571e-01  4.767671152317275e-14  1.478851763270226e-16  4.284766985662714e-16 -4.767671152317271e-16 -8.826653978031228e-12 -1.917415296100413e-11  2.128107520722009e-12  0.000000000000000e+00 -2.737488931855381e-12 
 3.020000000000000e-01  3.019999999999843e-01  9.999999999999563e-01  4.923627321104799e-14  1.565587937069065e-16  4.371503159461554e-16 -4.923627321104797e-16 -8.839007599338622e-12 -1.917416184083806e-11  2.128123116338895e-12  0.000000000000000e+00 -2.734803476536552e-12 
 3.030000000000000e-01  3.029999999999841e-01  9.999999999999555e-01  5.082860956996519e-14  1.595945597898659e-16  4.449565715880510e-16 -5.082860956996521e-16 -8.851350272222281e-12 -1.917417163052926e-11  2.128139039702478e-12  0.000000000000000e+00 -2.732062716822526e-12 
 3.040000000000000e-01  3.039999999999832e-01  9.999999999999550e-01  5.248494656066072e-14  1.682681771697499e-16  4.501607420159814e-16 -5.248494656066073e-16 -8.863693181756679e-12 -1.917417377768584e-11  2.128155603072391e-12  0.000000000000000e+00 -2.729293994776850e-12 
 3.050000000000000e-01  3.049999999999825e-01  9.999999999999540e-01  5.420812619623551e-14  1.747733902046629e-16  4.597017211338539e-16 -5.420812619623549e-16 -8.876036568466866e-12 -1.917418439224324e-11  2.128172834868739e-12  0.000000000000000e+00 -2.726497723911592e-12 
 3.060000000000000e-01  3.059999999999818e-01  9.999999999999527e-01  5.600112408799535e-14  1.825796458465585e-16  4.727121472036799e-16 -5.600112408799536e-16 -8.888376847545270e-12 -1.917419938610488e-11  2.128190764847665e-12  0.000000000000000e+00 -2.723840024168379e-12 
 3.070000000000000e-01  3.069999999999810e-01  9.999999999999510e-01  5.786705593730374e-14  1.899522206194599e-16  4.900593819634480e-16 -5.786705593730377e-16 -8.900717114858733e-12 -1.917421367632579e-11  2.128209424166151e-12  0.000000000000000e+00 -2.721182531181199e-12 
 3.080000000000000e-01  3.079999999999805e-01  9.999999999999494e-01  5.980918434860567e-14  1.951563910473903e-16  5.065392549852277e-16 -5.980918434860567e-16 -8.913055251503348e-12 -1.917423122977710e-11  2.128228845450269e-12  0.000000000000000e+00 -2.718344420196484e-12 
 3.090000000000000e-01  3.089999999999796e-01  9.999999999999488e-01  6.183092597966491e-14  2.042636892962685e-16  5.117434254131581e-16 -6.183092597966491e-16 -8.925396923929492e-12 -1.917423755002135e-11  2.128249062866575e-12  0.000000000000000e+00 -2.715797949511767e-12 
 3.100000000000000e-01  3.099999999999787e-01  9.999999999999470e-01  6.393585904586300e-14  2.125036258071583e-16  5.290906601729262e-16 -6.393585904586304e-16 -8.937735519799940e-12 -1.917425357496573e-11  2.128270112197241e-12  0.000000000000000e+00 -2.713362294373479e-12 
 3.110000000000000e-01  3.109999999999781e-01  9.999999999999455e-01  6.612773119623919e-14  2.194425197110655e-16  5.447031714567174e-16 -6.612773119623917e-16 -8.950068712151360e-12 -1.917426939369357e-11  2.128292030918739e-12  0.000000000000000e+00 -2.710496634569182e-12 
 3.120000000000000e-01  3.119999999999771e-01  9.999999999999455e-01  6.841046777986130e-14  2.294171796979320e-16  5.447031714567174e-16 -6.841046777986128e-16 -8.962409562379492e-12 -1.917427050976739e-11  2.128314858284582e-12  0.000000000000000e+00 -2.707825057038161e-12 
 3.130000000000000e-01  3.129999999999762e-01  9.999999999999432e-01  7.078818052202930e-14  2.376571162088218e-16  5.689893001203927e-16 -7.078818052202930e-16 -8.974742301840430e-12 -1.917429347360568e-11  2.128338635411998e-12  0.000000000000000e+00 -2.705431242019330e-12 
