 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.000000000000000e-01  2.999999999384176e-01  9.999999852707057e-01  1.462034982213060e-08  6.158242312837181e-13  1.472929434670478e-10 -1.462034982213059e-10  2.283588487998718e-10 -5.222301591066043e-10  1.227964489350805e-09  0.000000000000000e+00 -2.535559849470584e-09 
 3.010000000000000e-01  3.009999999365094e-01  9.999999848077538e-01  1.508521021232271e-08  6.349053221198004e-13  1.519224624574322e-10 -1.508521021232273e-10  2.273319310358161e-10 -5.268596777192782e-10  1.232613093224481e-09  0.000000000000000e+00 -2.534952771494996e-09 
 3.020000000000000e-01  3.019999999345545e-01  9.999999843300535e-01  1.556486439382030e-08  6.544552219928036e-13  1.566994650356590e-10 -1.556486439382030e-10  2.263047618351095e-10 -5.316366798801063e-10  1.237409635166216e-09  0.000000000000000e+00 -2.534346100535084e-09 
 3.030000000000000e-01  3.029999999325520e-01  9.999999838371370e-01  1.605978339091665e-08  6.744800023959452e-13  1.616286306183046e-10 -1.605978339091663e-10  2.252782958507142e-10 -5.365658463302459e-10  1.242358825010429e-09  0.000000000000000e+00 -2.533740727141238e-09 
 3.040000000000000e-01  3.039999999305006e-01  9.999999833285189e-01  1.657045322858146e-08  6.949935411359297e-13  1.667148112269312e-10 -1.657045322858145e-10  2.242520376003683e-10 -5.416520251570858e-10  1.247465523387076e-09  0.000000000000000e+00 -2.533136349482208e-09 
 3.050000000000000e-01  3.049999999283987e-01  9.999999828036996e-01  1.709737541023996e-08  7.160127517665033e-13  1.719630037325115e-10 -1.709737541023995e-10  2.232259716902175e-10 -5.469002193975385e-10  1.252734745203659e-09  0.000000000000000e+00 -2.532532776734871e-09 
 3.060000000000000e-01  3.059999999262450e-01  9.999999822621600e-01  1.764106741077195e-08  7.375502110327056e-13  1.773784001624090e-10 -1.764106741077197e-10  2.222000772558054e-10 -5.523156154170651e-10  1.258171665208983e-09  0.000000000000000e+00 -2.531930175432680e-09 
 3.070000000000000e-01  3.069999999240383e-01  9.999999817033717e-01  1.820206318521159e-08  7.596167609560910e-13  1.829662836169699e-10 -1.820206318521160e-10  2.211743494375884e-10 -5.579034975470815e-10  1.263781622953377e-09  0.000000000000000e+00 -2.531328712109089e-09 
 3.080000000000000e-01  3.079999999217772e-01  9.999999811267806e-01  1.878091369365207e-08  7.822280140477719e-13  1.887321939356146e-10 -1.878091369365207e-10  2.201487699926007e-10 -5.636694096004927e-10  1.269570128037778e-09  0.000000000000000e+00 -2.530728303497372e-09 
 3.090000000000000e-01  3.089999999194603e-01  9.999999805318233e-01  1.937818744286799e-08  8.053974144144997e-13  1.946817672349166e-10 -1.937818744286798e-10  2.191233191953180e-10 -5.696189820325819e-10  1.275542865529948e-09  0.000000000000000e+00 -2.530128449997167e-09 
 3.100000000000000e-01  3.099999999170853e-01  9.999999799179149e-01  1.999447104519002e-08  8.291466460995211e-13  2.008208512677134e-10 -1.999447104519002e-10  2.180979757923566e-10 -5.757580665223695e-10  1.281705701553160e-09  0.000000000000000e+00 -2.529529692842198e-09 
 3.110000000000000e-01  3.109999999146519e-01  9.999999792844497e-01  2.063036979518294e-08  8.534809132730542e-13  2.071555028210215e-10 -2.063036979518293e-10  2.170727342814039e-10 -5.820927176184948e-10  1.288064689053096e-09  0.000000000000000e+00 -2.528931823865650e-09 
 3.120000000000000e-01  3.119999999121579e-01  9.999999786308065e-01  2.128650826468682e-08  8.784214662974713e-13  2.136919356743316e-10 -2.128650826468682e-10  2.160475757683940e-10 -5.886291504718480e-10  1.294626073748135e-09  0.000000000000000e+00 -2.528335078989914e-09 
 3.130000000000000e-01  3.129999999096005e-01  9.999999779563408e-01  2.196353091681563e-08  9.039951933863930e-13  2.204365925906338e-10 -2.196353091681564e-10  2.150224663756519e-10 -5.953738073882990e-10  1.301396300269422e-09  0.000000000000000e+00 -2.527738972492417e-09 
 3.140000000000000e-01  3.139999999069800e-01  9.999999772603897e-01  2.266210273951490e-08  9.301999261352264e-13  2.273961028156912e-10 -2.266210273951488e-10  2.139974097516165e-10 -6.023333189377090e-10  1.308382018496418e-09  0.000000000000000e+00 -2.527143920706794e-09 
 3.150000000000000e-01  3.149999999042934e-01  9.999999765422687e-01  2.338290989929072e-08  9.570660222045536e-13  2.345773133030638e-10 -2.338290989929071e-10  2.129723707492513e-10 -6.095145272331754e-10  1.315590090094176e-09  0.000000000000000e+00 -2.526549881999680e-09 
 3.160000000000000e-01  3.159999999015397e-01  9.999999758012719e-01  2.412666041577126e-08  9.846034562540691e-13  2.419872809078516e-10 -2.412666041577125e-10  2.119473421791358e-10 -6.169244957053680e-10  1.323027595258979e-09  0.000000000000000e+00 -2.525956842493289e-09 
 3.170000000000000e-01  3.169999998987161e-01  9.999999750366705e-01  2.489408485774695e-08  1.012839116497361e-12  2.496332949381008e-10 -2.489408485774694e-10  2.109222901622252e-10 -6.245705097357661e-10  1.330701839678731e-09  0.000000000000000e+00 -2.525364399731773e-09 
 3.180000000000000e-01  3.179999998958212e-01  9.999999742477131e-01  2.568593706138527e-08  1.041787748083647e-12  2.575228684811859e-10 -2.568593706138524e-10  2.098972048287460e-10 -6.324600846032037e-10  1.338620361715118e-09  0.000000000000000e+00 -2.524773150460009e-09 
 3.190000000000000e-01  3.189999998928534e-01  9.999999734336240e-01  2.650299487131979e-08  1.071466264566492e-12  2.656637600878531e-10 -2.650299487131980e-10  2.088720676370015e-10 -6.406009748853264e-10  1.346790939814460e-09  0.000000000000000e+00 -2.524182817122240e-09 
 3.200000000000000e-01  3.199999998898100e-01  9.999999725936012e-01  2.734606090534447e-08  1.101900253116818e-12  2.740639885173701e-10 -2.734606090534451e-10  2.078468438163718e-10 -6.490012033148865e-10  1.355221600154709e-09  0.000000000000000e+00 -2.523593538496345e-09 
 3.210000000000000e-01  3.209999998866894e-01  9.999999717268190e-01  2.821596334346592e-08  1.133106193607265e-12  2.827318101861209e-10 -2.821596334346588e-10  2.068215251778516e-10 -6.576690249837862e-10  1.363920624535921e-09  0.000000000000000e+00 -2.523004842737537e-09 
