 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.000000000000000e-01  2.999999997244386e-01  9.999997411867717e-01  2.506140842350107e-07  2.755613837901176e-12  2.588132283140587e-09 -2.506140842350108e-09  1.575691365824987e-08  9.238878182804565e-09  2.264975883815104e-08  0.000000000000000e+00 -5.336138497729713e-08 
 3.010000000000000e-01  3.009999997137043e-01  9.999997340790089e-01  2.577325806907174e-07  2.862957222770022e-12  2.659209911298754e-09 -2.577325806907173e-09  1.574984886308655e-08  9.167800552977795e-09  2.272094380265754e-08  0.000000000000000e+00 -5.335551142505401e-08 
 3.020000000000000e-01  3.019999997027003e-01  9.999997267692768e-01  2.650533160453320e-07  2.972997670505447e-12  2.732307231162467e-09 -2.650533160453319e-09  1.574278368148514e-08  9.094703233122023e-09  2.279415115620641e-08  0.000000000000000e+00 -5.334964065590854e-08 
 3.030000000000000e-01  3.029999996914192e-01  9.999997192518366e-01  2.725820365461007e-07  3.085808036137733e-12  2.807481634323206e-09 -2.725820365461007e-09  1.573572354753349e-08  9.019528829960226e-09  2.286943836121298e-08  0.000000000000000e+00 -5.334377715845426e-08 
 3.040000000000000e-01  3.039999996798539e-01  9.999997115207867e-01  2.803246517123429e-07  3.201461179685011e-12  2.884792133471537e-09 -2.803246517123422e-09  1.572866562221745e-08  8.942218331672957e-09  2.294686451287594e-08  0.000000000000000e+00 -5.333791881712865e-08 
 3.050000000000000e-01  3.049999996679965e-01  9.999997035700559e-01  2.882872389741203e-07  3.320035163693343e-12  2.964299441327034e-09 -2.882872389741206e-09  1.572160980322481e-08  8.862711022946975e-09  2.302649038549347e-08  0.000000000000000e+00 -5.333206514541416e-08 
 3.060000000000000e-01  3.059999996558390e-01  9.999996953934041e-01  2.964760484429466e-07  3.441610219112452e-12  3.046065959362576e-09 -2.964760484429472e-09  1.571455601255633e-08  8.780944504584213e-09  2.310837848018006e-08  0.000000000000000e+00 -5.332621651107173e-08 
 3.070000000000000e-01  3.069999996433742e-01  9.999996869844079e-01  3.048975078180013e-07  3.566258336955064e-12  3.130155920919031e-09 -3.048975078180011e-09  1.570750415593550e-08  8.696854543888661e-09  2.319259307385833e-08  0.000000000000000e+00 -5.332037317189918e-08 
 3.080000000000000e-01  3.079999996305925e-01  9.999996783364683e-01  3.135582274316733e-07  3.694074927000262e-12  3.216635317479510e-09 -3.135582274316733e-09  1.570045413246840e-08  8.610375146795716e-09  2.327920027006898e-08  0.000000000000000e+00 -5.331453434221780e-08 
 3.090000000000000e-01  3.089999996174862e-01  9.999996694427965e-01  3.224650054385033e-07  3.825138051791330e-12  3.305572034845161e-09 -3.224650054385033e-09  1.569340585523766e-08  8.521438429962267e-09  2.336826805006430e-08  0.000000000000000e+00 -5.330870108472737e-08 
 3.100000000000000e-01  3.099999996040462e-01  9.999996602964083e-01  3.316248331514574e-07  3.959537483254612e-12  3.397035916452573e-09 -3.316248331514578e-09  1.568635922381354e-08  8.429974548348343e-09  2.345986632726597e-08  0.000000000000000e+00 -5.330287228868479e-08 
 3.110000000000000e-01  3.109999995902643e-01  9.999996508901223e-01  3.410449005298398e-07  4.097356921783456e-12  3.491098776384205e-09 -3.410449005298396e-09  1.567931413937323e-08  8.335911688946319e-09  2.355406700104990e-08  0.000000000000000e+00 -5.329704857911549e-08 
 3.120000000000000e-01  3.119999995761310e-01  9.999996412165538e-01  3.507326018230491e-07  4.238690042430322e-12  3.587834461818429e-09 -3.507326018230489e-09  1.567227049833870e-08  8.239176002996463e-09  2.365094401398252e-08  0.000000000000000e+00 -5.329123013643042e-08 
 3.130000000000000e-01  3.129999995616360e-01  9.999996312681074e-01  3.606955413746881e-07  4.383640061225982e-12  3.687318925887917e-09 -3.606955413746881e-09  1.566522819140409e-08  8.139691539442607e-09  2.375057340942513e-08  0.000000000000000e+00 -5.328541638443450e-08 
 3.140000000000000e-01  3.139999995467702e-01  9.999996210369734e-01  3.709415395915373e-07  4.532298484816644e-12  3.789630265843558e-09 -3.709415395915373e-09  1.565818711463042e-08  8.037380198971335e-09  2.385303339166765e-08  0.000000000000000e+00 -5.327960772506382e-08 
 3.150000000000000e-01  3.149999995315240e-01  9.999996105151205e-01  3.814786390820663e-07  4.684760289294769e-12  3.894848795045480e-09 -3.814786390820664e-09  1.565114716161768e-08  7.932161671152405e-09  2.395840438649970e-08  0.000000000000000e+00 -5.327380397175027e-08 
 3.160000000000000e-01  3.159999995158860e-01  9.999995996942865e-01  3.923151109692945e-07  4.841139966390983e-12  4.003057134903398e-09 -3.923151109692944e-09  1.564410821503712e-08  7.823953330778856e-09  2.406676910544433e-08  0.000000000000000e+00 -5.326800497131810e-08 
 3.170000000000000e-01  3.169999994998462e-01  9.999995885659737e-01  4.034594613830287e-07  5.001538130046531e-12  4.114340263448868e-09 -4.034594613830287e-09  1.563707015732637e-08  7.712670202749017e-09  2.417821260958195e-08  0.000000000000000e+00 -5.326221126552605e-08 
 3.180000000000000e-01  3.179999994833941e-01  9.999995771214484e-01  4.149204381364501e-07  5.166058863648979e-12  4.228785516202649e-09 -4.149204381364506e-09  1.563003287329790e-08  7.598224948612243e-09  2.429282237711668e-08  0.000000000000000e+00 -5.325642235477343e-08 
 3.190000000000000e-01  3.189999994665183e-01  9.999995653517239e-01  4.267070375923498e-07  5.334817092606327e-12  4.346482761381776e-09 -4.267070375923496e-09  1.562299624321387e-08  7.480527703081386e-09  2.441068837160182e-08  0.000000000000000e+00 -5.325063816246554e-08 
