 time                   v(gate)                v(gfet,source)         i(vfet)                i(Lload)               v(dfet,source)         i(vig)                 v(fault_n)             v(tripped)            
 0.000000000000000e+00  2.093350955394362e-09  2.139609900055990e-09  3.169919882139993e-10  3.169837725636171e-10  4.999999998403979e+00 -5.736079866441593e-12  3.299999743125462e+00  4.583660652768139e-08 
 1.000000000000000e-11  2.090113915276248e-09  2.135002760353073e-09  3.214175592347601e-10  3.169838831522387e-10  4.999999998402913e+00 -5.594914288808983e-12  3.299999743125464e+00  4.583638784846911e-08 
 2.000000000000000e-11  2.087670092354443e-09  2.131750507767228e-09  3.246682922508626e-10  3.169841640690216e-10  4.999999998401242e+00 -5.510958009380396e-12  3.299999743125465e+00  4.583612881262078e-08 
 4.000000000000000e-11  2.093076295617280e-09  2.139718908955498e-09  3.177191842951288e-10  3.169848523205607e-10  4.999999998400136e+00 -5.771965370937604e-12  3.299999743125470e+00  4.583563203985896e-08 
 8.000000000000001e-11  2.093048720452906e-09  2.139156779914749e-09  3.170228524140839e-10  3.169865910555847e-10  4.999999998399062e+00 -5.716189240695391e-12  3.299999743125474e+00  4.583518298933997e-08 
 1.600000000000000e-10  2.087901580793972e-09  2.132286175354807e-09  3.195577136239081e-10  3.169920207400645e-10  4.999999998395685e+00 -5.532577434380626e-12  3.299999743125480e+00  4.583552399607671e-08 
 3.200000000000000e-10  2.088777349001925e-09  2.133772359642443e-09  3.154152494744267e-10  3.170038433142341e-10  4.999999998396389e+00 -5.579574129110920e-12  3.299999743125484e+00  4.583645996526081e-08 
 6.400000000000001e-10  2.095414050606870e-09  2.142696774102575e-09  3.145184113151345e-10  3.170091567722411e-10  4.999999998406254e+00 -5.814191792949397e-12  3.299999743125483e+00  4.583684377890140e-08 
 1.280000000000000e-09  2.093170536204836e-09  2.139548506008352e-09  3.191843456207266e-10  3.170385447226476e-10  4.999999998397363e+00 -5.727565936721607e-12  3.299999743125476e+00  4.583669741074076e-08 
 2.280000000000000e-09  2.091460868207384e-09  2.137334659764185e-09  3.174711049602763e-10  3.171485365993654e-10  4.999999998388530e+00 -5.669525504452266e-12  3.299999743125465e+00  4.583660339913670e-08 
 3.280000000000000e-09  2.091647266846963e-09  2.137612753710356e-09  3.175911200692383e-10  3.173216203689044e-10  4.999999998382126e+00 -5.676754801908074e-12  3.299999743125455e+00  4.583660249165948e-08 
 4.280000000000000e-09  2.091336124242227e-09  2.137184816293859e-09  3.179965735178314e-10  3.175604432192891e-10  4.999999998374220e+00 -5.665679839346460e-12  3.299999743125446e+00  4.583660603916899e-08 
 5.280000000000000e-09  2.092943538097025e-09  2.139106793919283e-09  3.177143548249717e-10  3.178201174458550e-10  4.999999998372828e+00 -5.722422047934467e-12  3.299999743125440e+00  4.583660660512252e-08 
 6.280000000000000e-09  2.088937128309765e-09  2.133938856555117e-09  3.189967179295650e-10  3.181542043706465e-10  4.999999998361295e+00 -5.580636945395553e-12  3.299999743125436e+00  4.583660680591677e-08 
 7.280000000000000e-09  2.092269329144469e-09  2.138279786791008e-09  3.181315211264746e-10  3.184957922397480e-10  4.999999998362001e+00 -5.699641090041799e-12  3.299999743125433e+00  4.583660605760043e-08 
 8.280000000000000e-09  2.090627151431212e-09  2.136032649751542e-09  3.193219577646289e-10  3.188664887687764e-10  4.999999998356144e+00 -5.640350437142311e-12  3.299999743125431e+00  4.583660682326400e-08 
 9.280000000000001e-09  2.090395734982708e-09  2.135755230849168e-09  3.193940112389271e-10  3.192577938126995e-10  4.999999998352580e+00 -5.632933979286478e-12  3.299999743125428e+00  4.583660641798923e-08 
 1.028000000000000e-08  2.091156308010877e-09  2.136708054401301e-09  3.196576892072756e-10  3.196502715296923e-10  4.999999998351396e+00 -5.659776412727385e-12  3.299999743125425e+00  4.583660669272606e-08 
 1.128000000000000e-08  2.090913765045999e-09  2.136332206112909e-09  3.201298115484974e-10  3.200401887948345e-10  4.999999998349844e+00 -5.650911758924709e-12  3.299999743125424e+00  4.583660642731337e-08 
 1.228000000000000e-08  2.090690333529654e-09  2.136036287112245e-09  3.204531640044195e-10  3.204233475773144e-10  4.999999998348819e+00 -5.643169931996914e-12  3.299999743125424e+00  4.583660696616185e-08 
 1.328000000000000e-08  2.090960437781120e-09  2.136388405787366e-09  3.207750176592583e-10  3.207918930492326e-10  4.999999998348816e+00 -5.652760974150101e-12  3.299999743125422e+00  4.583660587155133e-08 
 1.428000000000000e-08  2.091076521139323e-09  2.136525869138157e-09  3.211408916570235e-10  3.211428831195740e-10  4.999999998348946e+00 -5.656736960357039e-12  3.299999743125421e+00  4.583660658972685e-08 
 1.528000000000001e-08  2.091061154091411e-09  2.136503155131525e-09  3.214778443449973e-10  3.214758112490834e-10  4.999999998349112e+00 -5.656157779556498e-12  3.299999743125420e+00  4.583660651860319e-08 
 1.628000000000000e-08  2.091176061307098e-09  2.136657651048575e-09  3.217515698317186e-10  3.217892965978741e-10  4.999999998349557e+00 -5.660224215329676e-12  3.299999743125419e+00  4.583660634708241e-08 
 1.728000000000000e-08  2.091302836633446e-09  2.136823904199594e-09  3.220531064052068e-10  3.220827771155399e-10  4.999999998350114e+00 -5.664641065245002e-12  3.299999743125417e+00  4.583660641994079e-08 
 1.828000000000000e-08  2.091374132033585e-09  2.136918731865674e-09  3.223161737508917e-10  3.223568634247442e-10  4.999999998350651e+00 -5.667116136174460e-12  3.299999743125418e+00  4.583660692409480e-08 
 1.928000000000000e-08  2.091456412570136e-09  2.137030718654076e-09  3.225930078620820e-10  3.226121383925751e-10  4.999999998351226e+00 -5.669986534321061e-12  3.299999743125417e+00  4.583660644552796e-08 
 2.028000000000000e-08  2.091556733363475e-09  2.137165985283109e-09  3.228184941583834e-10  3.228492403972716e-10  4.999999998351827e+00 -5.673488642863461e-12  3.299999743125417e+00  4.583660605152889e-08 
 2.128000000000000e-08  2.091638698180354e-09  2.137276925927619e-09  3.230505307705300e-10  3.230690923117230e-10  4.999999998352407e+00 -5.676348442933826e-12  3.299999743125417e+00  4.583660670421860e-08 
 2.228000000000000e-08  2.091714961828528e-09  2.137380994184192e-09  3.232531464725241e-10  3.232727072144392e-10  4.999999998352963e+00 -5.679006500084946e-12  3.299999743125417e+00  4.583660675842871e-08 
 2.328000000000000e-08  2.091794586503437e-09  2.137489474700145e-09  3.234343348701429e-10  3.234610149172035e-10  4.999999998353506e+00 -5.681782708167812e-12  3.299999743125416e+00  4.583660579175405e-08 
 2.428000000000000e-08  2.091867204630227e-09  2.137588645856110e-09  3.236193535371967e-10  3.236350076818439e-10  4.999999998354020e+00 -5.684324457530879e-12  3.299999743125416e+00  4.583660668058299e-08 
 2.528000000000000e-08  2.091937738486760e-09  2.137684767909219e-09  3.237653478649349e-10  3.237956500146133e-10  4.999999998354504e+00 -5.686782099910415e-12  3.299999743125417e+00  4.583660668145036e-08 
 2.627999999999999e-08  2.092000524200888e-09  2.137770847448200e-09  3.239280510491938e-10  3.239439064217642e-10  4.999999998354954e+00 -5.688969396478241e-12  3.299999743125418e+00  4.583660684798381e-08 
 2.727999999999999e-08  2.092065292703948e-09  2.137859191194230e-09  3.240726575981512e-10  3.240806303872468e-10  4.999999998355382e+00 -5.691226759611465e-12  3.299999743125419e+00  4.583660636724857e-08 
 2.827999999999999e-08  2.093337230987813e-09  2.139433896641227e-09  3.238585510878522e-10  3.241805851539326e-10  4.999999998359677e+00 -5.736018160017869e-12  3.299999743125419e+00  4.583660593530242e-08 
 2.927999999999999e-08  2.092159550638739e-09  2.137882370049230e-09  3.242944801584713e-10  3.242587379159723e-10  4.999999998360764e+00 -5.694035358234234e-12  3.299999743125418e+00  4.583660729706035e-08 
 3.027999999999999e-08  2.093431419533665e-09  2.139542192982061e-09  3.238854739961994e-10  3.242900323274789e-10  4.999999998366481e+00 -5.739353464056032e-12  3.299999743125419e+00  4.583660631607422e-08 
 3.127999999999999e-08  2.090504234997237e-09  2.135904324151263e-09  3.248585289661321e-10  3.243382853956867e-10  4.999999998361678e+00 -5.635711759462494e-12  3.299999743125419e+00  4.583660630978585e-08 
 3.228000000000000e-08  2.095290670134364e-09  2.142086486999187e-09  3.235252621358597e-10  3.243318877355073e-10  4.999999998370453e+00 -5.805505978295072e-12  3.299999743125419e+00  4.583660625774415e-08 
 3.328000000000000e-08  2.090939444157613e-09  2.136418711043053e-09  3.250995583847782e-10  3.243533983066094e-10  4.999999998363663e+00 -5.650246167211020e-12  3.299999743125419e+00  4.583660692951581e-08 
