 time                   v(fout)                v(vref)                i(vdd)                 i(vdd12)               v(xt2f.cap1)           v(xt2f.cap2)           v(xt2f.ca1)            v(xt2f.tail1)          v(xt2f.cb1)            v(xt2f.ca2)            v(xt2f.tail2)          v(xt2f.cb2)           
 0.000000000000000e+00  1.165446357526840e-08  1.040778383871448e+00 -4.723383502412474e-05 -5.144654773264583e-11  6.299818038781272e-11  6.362038344855260e-11  1.131309517769882e+00  2.709821787404658e-01  1.271191511889133e+00  1.135775137818837e+00  2.685135521274097e-01  1.274046510674185e+00 
 5.000000000000000e-11  1.165446271903958e-08  1.040778383871420e+00 -4.723383502368947e-05 -5.144658408980400e-11  6.299819281692376e-11  6.362048604949266e-11  1.131309517769873e+00  2.709821787404458e-01  1.271191511889207e+00  1.135775137818850e+00  2.685135521273849e-01  1.274046510674218e+00 
 1.000000000000000e-10  1.165446203204900e-08  1.040778383871385e+00 -4.723383502376004e-05 -5.144662914337628e-11  6.299816115822032e-11  6.362055869103822e-11  1.131309517769875e+00  2.709821787404199e-01  1.271191511889261e+00  1.135775137818865e+00  2.685135521273549e-01  1.274046510674236e+00 
 2.000000000000000e-10  1.165446355908281e-08  1.040778383871343e+00 -4.723383502349147e-05 -5.144662855441917e-11  6.299841182576260e-11  6.362028113528206e-11  1.131309517769943e+00  2.709821787403786e-01  1.271191511889321e+00  1.135775137819112e+00  2.685135521273164e-01  1.274046510674330e+00 
 4.000000000000000e-10  1.165446565255954e-08  1.040778383871330e+00 -4.723383502277322e-05 -5.144648774279511e-11  6.299833940105748e-11  6.362052031028131e-11  1.131309517769960e+00  2.709821787403320e-01  1.271191511889383e+00  1.135775137819272e+00  2.685135521272737e-01  1.274046510674526e+00 
 8.000000000000000e-10  1.165446230609965e-08  1.040778383871258e+00 -4.723383502357330e-05 -5.144655019591784e-11  6.299755129449830e-11  6.362059999914099e-11  1.131309517770168e+00  2.709821787402982e-01  1.271191511889335e+00  1.135775137819367e+00  2.685135521271997e-01  1.274046510674492e+00 
 1.600000000000000e-09  1.165446285417955e-08  1.040778383870894e+00 -4.723383502334009e-05 -5.144668673810611e-11  6.299798053013839e-11  6.362057690563472e-11  1.131309517770873e+00  2.709821787399569e-01  1.271191511889942e+00  1.135775137819904e+00  2.685135521268671e-01  1.274046510674977e+00 
 3.200000000000000e-09  1.165446414423370e-08  1.040778383870225e+00 -4.723383502300051e-05 -5.144657015447217e-11  6.299757796587174e-11  6.361990470028778e-11  1.131309517770213e+00  2.709821787392444e-01  1.271191511889425e+00  1.135775137819490e+00  2.685135521261832e-01  1.274046510675031e+00 
 6.400000000000000e-09  1.165446333822657e-08  1.040778383869361e+00 -4.723383502345944e-05 -5.144646063310384e-11  6.299803501129755e-11  6.362005204336302e-11  1.131309517770349e+00  2.709821787383950e-01  1.271191511890053e+00  1.135775137819527e+00  2.685135521253118e-01  1.274046510674839e+00 
 1.140000000000000e-08  1.165446327298732e-08  1.040778383869361e+00 -4.723383502349928e-05 -5.144651331708829e-11  6.299819807530430e-11  6.362043679960898e-11  1.131309517770853e+00  2.709821787383326e-01  1.271191511889955e+00  1.135775137820091e+00  2.685135521252599e-01  1.274046510673998e+00 
