 frequency                onoise_spectrum          inoise_spectrum         
 1.00000000000000000e+00  5.36094173742440540e-05  2.68605314334526838e-06 
 1.02329299228075410e+00  5.29513775861829505e-05  2.65308263316738944e-06 
 1.04712854805089939e+00  5.23014963400104732e-05  2.62052089962164875e-06 
 1.07151930523760619e+00  5.16596715176118968e-05  2.58836282616889001e-06 
 1.09647819614318465e+00  5.10258022909971127e-05  2.55660336091052794e-06 
 1.12201845430196312e+00  5.03997891058686912e-05  2.52523751576524070e-06 
 1.14815362149688238e+00  4.97815336654001636e-05  2.49426036565619187e-06 
 1.17489755493952908e+00  4.91709389142212246e-05  2.46366704770862291e-06 
 1.20226443461741250e+00  4.85679090226182099e-05  2.43345276045823659e-06 
 1.23026877081238117e+00  4.79723493709163125e-05  2.40361276306867826e-06 
 1.25892541179416684e+00  4.73841665340834787e-05  2.37414237456012006e-06 
 1.28824955169313360e+00  4.68032682665208197e-05  2.34503697304721379e-06 
 1.31825673855640679e+00  4.62295634870506336e-05  2.31629199498691761e-06 
 1.34896288259165331e+00  4.56629622640966694e-05  2.28790293443596785e-06 
 1.38038426460288455e+00  4.51033758010545258e-05  2.25986534231787369e-06 
 1.41253754462275394e+00  4.45507164218494558e-05  2.23217482569931425e-06 
 1.44543977074592700e+00  4.40048975566796019e-05  2.20482704707580014e-06 
 1.47910838816820678e+00  4.34658337279419615e-05  2.17781772366651683e-06 
 1.51356124843620754e+00  4.29334405363384033e-05  2.15114262671817369e-06 
 1.54881661891248057e+00  4.24076346471603954e-05  2.12479758081781929e-06 
 1.58489319246111271e+00  4.18883337767488371e-05  2.09877846321441034e-06 
 1.62181009735892911e+00  4.13754566791280966e-05  2.07308120314913815e-06 
 1.65958690743755977e+00  4.08689231328108094e-05  2.04770178119427749e-06 
 1.69824365246174347e+00  4.03686539277719279e-05  2.02263622860054852e-06 
 1.73780082874937447e+00  3.98745708525899008e-05  1.99788062665282670e-06 
 1.77827941003892165e+00  3.93865966817521018e-05  1.97343110603409223e-06 
 1.81970085860998210e+00  3.89046551631234860e-05  1.94928384619756469e-06 
 1.86208713666286596e+00  3.84286710055752463e-05  1.92543507474684355e-06 
 1.90546071796324568e+00  3.79585698667722925e-05  1.90188106682400687e-06 
 1.94984459975804381e+00  3.74942783411168622e-05  1.87861814450554554e-06 
 1.99526231496887796e+00  3.70357239478468270e-05  1.85564267620602963e-06 
 2.04173794466952740e+00  3.65828351192861801e-05  1.83295107608941645e-06 
 2.08929613085403743e+00  3.61355411892460378e-05  1.81053980348789027e-06 
 2.13796208950222999e+00  3.56937723815742723e-05  1.78840536232814847e-06 
 2.18776162394955032e+00  3.52574597988515248e-05  1.76654430056502934e-06 
 2.23872113856833721e+00  3.48265354112320413e-05  1.74495320962239389e-06 
 2.29086765276777049e+00  3.44009320454274735e-05  1.72362872384115921e-06 
 2.34422881531991933e+00  3.39805833738313757e-05  1.70256751993440570e-06 
 2.39883291901948770e+00  3.35654239037832926e-05  1.68176631644944408e-06 
 2.45470891568502747e+00  3.31553889669696869e-05  1.66122187323678140e-06 
 2.51188643150957702e+00  3.27504147089613005e-05  1.64093099092587711e-06 
 2.57039578276886038e+00  3.23504380788834449e-05  1.62089051040759871e-06 
 2.63026799189537819e+00  3.19553968192193107e-05  1.60109731232331481e-06 
 2.69153480392691202e+00  3.15652294557430821e-05  1.58154831656050918e-06 
 2.75422870333816272e+00  3.11798752875822014e-05  1.56224048175485632e-06 
 2.81838293126444972e+00  3.07992743774066603e-05  1.54317080479866406e-06 
 2.88403150312660150e+00  3.04233675417437507e-05  1.52433632035560179e-06 
