 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.000000000000000e-01  2.999999999010856e-01  9.999997670373365e-01  1.750916506453430e-07  2.755622119376966e-12  2.588137580357785e-09 -2.506146157016512e-09  1.407127994823246e-08  8.359574661892056e-09  2.047239333739199e-08  0.000000000000000e+00 -4.861908236798460e-08 
 3.010000000000000e-01  3.009999998972325e-01  9.999997606394893e-01  1.800650024803925e-07  2.862964205985197e-12  2.659215532059226e-09 -2.577331427947258e-09  1.406569476716069e-08  8.288496712034375e-09  2.054357860841223e-08  0.000000000000000e+00 -4.861468843730725e-08 
 3.020000000000000e-01  3.019999998932824e-01  9.999997540598470e-01  1.851796495535497e-07  2.973006389683785e-12  2.732313166322998e-09 -2.650539105524374e-09  1.406010868253173e-08  8.215399078194448e-09  2.061678628598767e-08  0.000000000000000e+00 -4.861029631869321e-08 
 3.030000000000000e-01  3.029999998892331e-01  9.999997472932406e-01  1.904396065458030e-07  3.085815457326557e-12  2.807487909427018e-09 -2.725826653237935e-09  1.405452613516980e-08  8.140224333769641e-09  2.069207383355868e-08  0.000000000000000e+00 -4.860591070876270e-08 
 3.040000000000000e-01  3.039999998850816e-01  9.999997403343578e-01  1.958490022121049e-07  3.201469471469931e-12  2.884798778823556e-09 -2.803253167357355e-09  1.404894476705857e-08  8.062913464257848e-09  2.076950034774920e-08  0.000000000000000e+00 -4.860152864436643e-08 
 3.050000000000000e-01  3.049999998808252e-01  9.999997331777365e-01  2.014120826224126e-07  3.320047362032064e-12  2.964306456871508e-09 -2.882879423321475e-09  1.404336449869588e-08  7.983405786038888e-09  2.084912660385999e-08  0.000000000000000e+00 -4.859715066746200e-08 
 3.060000000000000e-01  3.059999998764614e-01  9.999997258177556e-01  2.071332144949930e-07  3.441617650590256e-12  3.046073392745460e-09 -2.964767923449299e-09  1.403778524253928e-08  7.901638850802350e-09  2.093101510391421e-08  0.000000000000000e+00 -4.859277677038192e-08 
 3.070000000000000e-01  3.069999998719869e-01  9.999997182486371e-01  2.130168886243971e-07  3.566271410126998e-12  3.130163777282185e-09 -3.048982946005747e-09  1.403220690036059e-08  7.817548465106006e-09  2.101523012646903e-08  0.000000000000000e+00 -4.858840657867261e-08 
 3.080000000000000e-01  3.079999998673989e-01  9.999997104644393e-01  2.190677234068225e-07  3.694086703198707e-12  3.216643622777910e-09 -3.135590595661376e-09  1.402662938863046e-08  7.731068620986869e-09  2.110183777598212e-08  0.000000000000000e+00 -4.858404060581185e-08 
 3.090000000000000e-01  3.089999998626945e-01  9.999997024590515e-01  2.252904684656398e-07  3.825145929170493e-12  3.305580814162651e-09 -3.224658855385752e-09  1.402105260061749e-08  7.642131428306986e-09  2.119090603577761e-08  0.000000000000000e+00 -4.857967862257454e-08 
