 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.000000000000000e-01  2.999999999999949e-01  9.999999999999625e-01  3.230054525073329e-14  1.413799632921098e-16  4.163336342344333e-16 -4.623286550289672e-16 -8.814304673771798e-12 -1.917413867078322e-11  2.128093082261812e-12  0.000000000000000e+00 -2.740201935993792e-12 
 3.010000000000000e-01  3.009999999999947e-01  9.999999999999617e-01  3.330928682897796e-14  1.483188571960170e-16  4.250072516143173e-16 -4.767671152320831e-16 -8.826653350539872e-12 -1.917414775683370e-11  2.128107520722009e-12  0.000000000000000e+00 -2.737502809643189e-12 
 3.020000000000000e-01  3.019999999999943e-01  9.999999999999609e-01  3.439887304265250e-14  1.569924745759010e-16  4.345482307321897e-16 -4.923627321108670e-16 -8.839009690545801e-12 -1.917415663666763e-11  2.128123116338895e-12  0.000000000000000e+00 -2.734803476536552e-12 
 3.030000000000000e-01  3.029999999999943e-01  9.999999999999595e-01  3.551135724747551e-14  1.595945597898663e-16  4.501607420159809e-16 -5.082860957000655e-16 -8.851345341563181e-12 -1.917417336525274e-11  2.128139039702478e-12  0.000000000000000e+00 -2.732076594610334e-12 
 3.040000000000000e-01  3.039999999999939e-01  9.999999999999594e-01  3.666855542969058e-14  1.682681771697503e-16  4.518954654919577e-16 -5.248494656070584e-16 -8.863694075423187e-12 -1.917417377768584e-11  2.128155603072391e-12  0.000000000000000e+00 -2.729307872564658e-12 
 3.050000000000000e-01  3.049999999999937e-01  9.999999999999584e-01  3.787245315890766e-14  1.743397093356691e-16  4.623038063478185e-16 -5.420812619628410e-16 -8.876032584357278e-12 -1.917418612696672e-11  2.128172834868742e-12  0.000000000000000e+00 -2.726511601699400e-12 
 3.060000000000000e-01  3.059999999999933e-01  9.999999999999574e-01  3.912512934299013e-14  1.856154119295184e-16  4.735795089416677e-16 -5.600112408804723e-16 -8.888383004868234e-12 -1.917419591665792e-11  2.128190764847665e-12  0.000000000000000e+00 -2.723853901956187e-12 
 3.070000000000000e-01  3.069999999999934e-01  9.999999999999555e-01  4.042876076358089e-14  1.847480501915300e-16  4.943961906533893e-16 -5.786705593736035e-16 -8.900711138990875e-12 -1.917421714577274e-11  2.128209424166151e-12  0.000000000000000e+00 -2.721210286756815e-12 
 3.080000000000000e-01  3.079999999999929e-01  9.999999999999545e-01  4.178562683601123e-14  1.977584762613560e-16  5.056718932472386e-16 -5.980918434866606e-16 -8.913057371257990e-12 -1.917422949505362e-11  2.128228845450272e-12  0.000000000000000e+00 -2.718344420196484e-12 
 3.090000000000000e-01  3.089999999999926e-01  9.999999999999540e-01  4.319811460481239e-14  2.072994553792284e-16  5.108760636751689e-16 -6.183092597972999e-16 -8.925398180194622e-12 -1.917423234585092e-11  2.128249062866575e-12  0.000000000000000e+00 -2.715797949511767e-12 
 3.100000000000000e-01  3.099999999999923e-01  9.999999999999525e-01  4.466872398658236e-14  2.116362640691705e-16  5.282232984349370e-16 -6.393585904593344e-16 -8.937734895548257e-12 -1.917425010551878e-11  2.128270112197244e-12  0.000000000000000e+00 -2.713390049949095e-12 
 3.110000000000000e-01  3.109999999999922e-01  9.999999999999512e-01  4.620007327257449e-14  2.168404344971009e-16  5.421010862427513e-16 -6.612773119631530e-16 -8.950064190796868e-12 -1.917426592424662e-11  2.128292030918742e-12  0.000000000000000e+00 -2.710510512356990e-12 
 3.120000000000000e-01  3.119999999999920e-01  9.999999999999507e-01  4.779490490399010e-14  2.246466901389965e-16  5.473052566706817e-16 -6.841046777994397e-16 -8.962405904531538e-12 -1.917427050976739e-11  2.128314858284585e-12  0.000000000000000e+00 -2.707838934825969e-12 
 3.130000000000000e-01  3.129999999999915e-01  9.999999999999486e-01  4.945609153359728e-14  2.367897544708342e-16  5.707240235963685e-16 -7.078818052211813e-16 -8.974744434261282e-12 -1.917429347360568e-11  2.128338635411998e-12  0.000000000000000e+00 -2.705431242019330e-12 
