 v-sweep                v(b)                   v(c)                   v(e)                   i(vm_b)                i(vm_c)                i(vm_e)                i(vb)                  i(vc)                  i(ve)                  i(vdd)                 i(vdda)               
 3.000000000000000e-01  2.999999999999949e-01  9.999999999999580e-01  3.543852743041265e-14  1.405126015541214e-16  4.657732532997722e-16 -5.072436578369484e-16  2.623548785553314e-10  2.514469928203482e-11  4.959382921486577e-10  0.000000000000000e+00 -8.120432226173845e-10 
 3.010000000000000e-01  3.009999999999948e-01  9.999999999999570e-01  3.660167422097788e-14  1.457167719820518e-16  4.770489558936215e-16 -5.238921721920140e-16  2.617618612146951e-10  2.514468835528951e-11  4.959383087971707e-10  0.000000000000000e+00 -8.114598249616461e-10 
 3.020000000000000e-01  3.019999999999944e-01  9.999999999999567e-01  3.786137158178953e-14  1.552577510999242e-16  4.813857645835634e-16 -5.419226475925610e-16  2.611702792910351e-10  2.514468540424702e-11  4.959383268276473e-10  0.000000000000000e+00 -8.108777104861330e-10 
 3.030000000000000e-01  3.029999999999942e-01  9.999999999999558e-01  3.914848997972580e-14  1.613292832658431e-16  4.909267437014358e-16 -5.603456095940280e-16  2.605796776967737e-10  2.514467447750171e-11  4.959383452506083e-10  0.000000000000000e+00 -8.102968385877756e-10 
 3.040000000000000e-01  3.039999999999939e-01  9.999999999999539e-01  4.048913011870098e-14  1.682681771697503e-16  5.117434254131575e-16 -5.795346464204625e-16  2.599900257966209e-10  2.514465417922445e-11  4.959383644396461e-10  0.000000000000000e+00 -8.097166392469801e-10 
 3.050000000000000e-01  3.049999999999937e-01  9.999999999999525e-01  4.188572178893195e-14  1.769417945496343e-16  5.273559366969487e-16 -5.995245364830119e-16  2.594013404840727e-10  2.514463804830871e-11  4.959383844295350e-10  0.000000000000000e+00 -8.091376686055523e-10 
 3.060000000000000e-01  3.059999999999934e-01  9.999999999999517e-01  4.334081052303674e-14  1.804112415015879e-16  5.360295540768327e-16 -6.203517148530482e-16  2.588136097534217e-10  2.514462989309579e-11  4.959384052567146e-10  0.000000000000000e+00 -8.085595648107157e-10 
 3.070000000000000e-01  3.069999999999933e-01  9.999999999999506e-01  4.485706326149425e-14  1.873501354054952e-16  5.490399801466587e-16 -6.420543543538202e-16  2.582268432699454e-10  2.514461723162700e-11  4.959384269593529e-10  0.000000000000000e+00 -8.079824954262176e-10 
 3.080000000000000e-01  3.079999999999929e-01  9.999999999999488e-01  4.643727429948562e-14  1.968911145233676e-16  5.681219383824035e-16 -6.646724506796066e-16  2.576410286420620e-10  2.514459693334974e-11  4.959384495774502e-10  0.000000000000000e+00 -8.074063206438863e-10 
 3.090000000000000e-01  3.089999999999927e-01  9.999999999999472e-01  4.808437152918642e-14  2.020952849512980e-16  5.872038966181483e-16 -6.882479117437570e-16  2.570561723502098e-10  2.514457906771053e-11  4.959384731529105e-10  0.000000000000000e+00 -8.068312219052569e-10 
 3.100000000000000e-01  3.099999999999923e-01  9.999999999999452e-01  4.980142299230199e-14  2.125036258071589e-16  6.088879400678583e-16 -7.128246514673601e-16  2.564722646705592e-10  2.514455703470979e-11  4.959384977296511e-10  0.000000000000000e+00 -8.062568234797651e-10 
 3.110000000000000e-01  3.109999999999922e-01  9.999999999999435e-01  5.159164375837775e-14  2.185751579730777e-16  6.279698983036032e-16 -7.384486882308242e-16  2.558893198691525e-10  2.514453743434710e-11  4.959385233536867e-10  0.000000000000000e+00 -8.056837508981556e-10 
 3.120000000000000e-01  3.119999999999920e-01  9.999999999999423e-01  5.345840314519064e-14  2.237793284010081e-16  6.418476861114175e-16 -7.651682482217909e-16  2.553073221770730e-10  2.514452407496375e-11  4.959385500732478e-10  0.000000000000000e+00 -8.051114063852593e-10 
 3.130000000000000e-01  3.129999999999913e-01  9.999999999999406e-01  5.540523229834974e-14  2.402592014227878e-16  6.600622826091739e-16 -7.930338739245277e-16  2.547262685031701e-10  2.514450620932454e-11  4.959385779388725e-10  0.000000000000000e+00 -8.045400268937624e-10 
 3.140000000000000e-01  3.139999999999911e-01  9.999999999999383e-01  5.743583214810947e-14  2.480654570646834e-16  6.852157730108375e-16 -8.220985380084918e-16  2.541461706031275e-10  2.514448070687685e-11  4.959386070035378e-10  0.000000000000000e+00 -8.039695975155835e-10 
 3.150000000000000e-01  3.149999999999910e-01  9.999999999999371e-01  5.955408176226628e-14  2.524022657546254e-16  6.999609225566403e-16 -8.524177628861744e-16  2.535670281931176e-10  2.514446631068459e-11  4.959386373227614e-10  0.000000000000000e+00 -8.034002441811066e-10 
 3.160000000000000e-01  3.159999999999907e-01  9.999999999999346e-01  6.176404711500786e-14  2.576064361825559e-16  7.259817746962923e-16 -8.840497462246106e-16  2.529888294440332e-10  2.514443907351343e-11  4.959386689547458e-10  0.000000000000000e+00 -8.028317715710086e-10 
 3.170000000000000e-01  3.169999999999903e-01  9.999999999999325e-01  6.406999029254000e-14  2.671474153004283e-16  7.494005416219791e-16 -9.170554927086419e-16  2.524115756804448e-10  2.514441600370378e-11  4.959387019604912e-10  0.000000000000000e+00 -8.022642917378857e-10 
 3.180000000000000e-01  3.179999999999901e-01  9.999999999999296e-01  6.647637915738834e-14  2.758210326803123e-16  7.814929259275498e-16 -9.514989523693350e-16  2.518352701049264e-10  2.514438356236220e-11  4.959387364039521e-10  0.000000000000000e+00 -8.016977758958687e-10 
 3.190000000000000e-01  3.189999999999898e-01  9.999999999999278e-01  6.898789749435691e-14  2.844946500601964e-16  8.014422459012830e-16 -9.874471658065330e-16  2.512599024171997e-10  2.514436396199951e-11  4.959387723521642e-10  0.000000000000000e+00 -8.011321556863121e-10 
 3.200000000000000e-01  3.199999999999893e-01  9.999999999999256e-01  7.160945566229584e-14  2.975050761300224e-16  8.265957363029465e-16 -1.024970416651220e-15  2.506854832718901e-10  2.514434019427530e-11  4.959388098754163e-10  0.000000000000000e+00 -8.005676660013150e-10 
 3.210000000000000e-01  3.209999999999887e-01  9.999999999999223e-01  7.434620177703451e-14  3.122502256758253e-16  8.630249292984594e-16 -1.064142391630626e-15  2.501119931762779e-10  2.514430151195437e-11  4.959388490473903e-10  0.000000000000000e+00 -8.000039609264758e-10 
 3.220000000000000e-01  3.219999999999887e-01  9.999999999999197e-01  7.720353345211786e-14  3.139849491518021e-16  8.916478666520765e-16 -1.105040348617373e-15  2.495394711118023e-10  2.514427427478321e-11  4.959388899453481e-10  0.000000000000000e+00 -7.994411643315912e-10 
 3.230000000000000e-01  3.229999999999881e-01  9.999999999999168e-01  8.018711012529629e-14  3.313321839115702e-16  9.237402509576472e-16 -1.147745293062702e-15  2.489678649024184e-10  2.514424079663271e-11  4.959389326502916e-10  0.000000000000000e+00 -7.988794299026208e-10 
 3.240000000000000e-01  3.239999999999877e-01  9.999999999999144e-01  8.330286600020284e-14  3.417405247674310e-16  9.514958265732759e-16 -1.192342163235083e-15  2.483972028325496e-10  2.514421529418503e-11  4.959389772471629e-10  0.000000000000000e+00 -7.983184235423634e-10 
 3.250000000000000e-01  3.249999999999874e-01  9.999999999999110e-01  8.655702363400683e-14  3.512815038853034e-16  9.887923813067771e-16 -1.238920024704922e-15  2.478274814414687e-10  2.514417661186410e-11  4.959390238250235e-10  0.000000000000000e+00 -7.977586320036861e-10 
 3.260000000000000e-01  3.259999999999869e-01  9.999999999999070e-01  8.995610820350222e-14  3.651592916931179e-16  1.033027829944185e-15 -1.287572274539893e-15  2.472586967076706e-10  2.514413202745818e-11  4.959390724772743e-10  0.000000000000000e+00 -7.971996518004487e-10 
 3.270000000000000e-01  3.269999999999867e-01  9.999999999999037e-01  9.350696248366062e-14  3.712308238590367e-16  1.069457022939698e-15 -1.338396855698077e-15  2.466908509843032e-10  2.514409681458421e-11  4.959391233018541e-10  0.000000000000000e+00 -7.966417060075497e-10 
