2026-09-21 17:37:30 +0200: Memory Usage (847032K) : metal4_noqrc has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847032K) : metal4_res has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847160K) : metal4_iprobe has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847160K) : metal4_diffprb has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847288K) : heattrans_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847288K) : heatres_drw has 2 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847288K) : pempoly_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847416K) : fbe_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847416K) : empoly_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847544K) : ldmos_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847544K) : pbiwind_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847672K) : digisub_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847672K) : nodrc_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847672K) : text_drw has 17 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847800K) : via4_drw has 2371 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847928K) : metal5_drw has 8 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847928K) : metal5_pin has 8 polygons
2026-09-21 17:37:30 +0200: Memory Usage (847928K) : metal5_mask has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848056K) : metal5_filler has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848056K) : metal5_nofill has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848056K) : metal5_slit has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848184K) : metal5_text has 8 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848184K) : metal5_opc has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848184K) : metal5_noqrc has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848312K) : metal5_res has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848312K) : metal5_iprobe has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848312K) : metal5_diffprb has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848440K) : radhard_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848440K) : memcap_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848568K) : varicap_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848568K) : flash_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848568K) : intbondvia_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848696K) : intbondmet_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848696K) : devbondvia_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848824K) : devbondmet_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848824K) : devtrench_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848952K) : redist_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848952K) : graphbot_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (848952K) : graphtop_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849080K) : antvia1_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849080K) : antmetal2_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849208K) : graphcont_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849208K) : siwg_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849208K) : siwg_filler has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849336K) : siwg_nofill has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849336K) : sigrating_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849464K) : singrating_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849464K) : graphpas_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849592K) : emwind3_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849592K) : emwihv3_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : redbulay_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : smos_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphpad_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : polimide_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : polimide_pin has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_pin has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_esd has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_diode has 6 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_tsv has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_iprobe has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_diffprb has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_pillar has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_sbump has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_otp has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_pdiode has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_mom has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : recog_pcm has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : colopen_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmetal1_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmetal1_filler has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmetal1_nofill has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmetal1_slit has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmetal1_opc has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmet1l_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmet1l_filler has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmet1l_nofill has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmet1l_slit has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphmet1l_opc has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : extblock_drw has 8 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : nldd_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : pldd_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : next_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : pext_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : nexthv_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : pexthv_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : graphgate_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : sinwg_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : sinwg_filler has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : sinwg_nofill has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : mempad_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topvia1_drw has 2315 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_drw has 8 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_pin has 10 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_mask has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_filler has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_nofill has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_slit has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_text has 8 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_noqrc has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_res has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_iprobe has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal1_diffprb has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : inldpwl_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : polyres_drw has 2 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : polyres_pin has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : vmim_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : nbulaycut_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : antmetal1_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topvia2_drw has 1593 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_drw has 6 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_pin has 6 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_mask has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_filler has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_nofill has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_slit has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_text has 6 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_noqrc has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_res has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_iprobe has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : topmetal2_diffprb has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : snsring_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : sensor_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : snsarms_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : snscmosvia_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : colwind_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : flm_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : hafniumox_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : memvia_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : thinfilmres_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : rfmem_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_drw has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m2m3 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m2m4 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m2m5 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m2tm1 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m2tm2 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m3m4 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m3m5 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m3tm1 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m3tm2 has 0 polygons
2026-09-21 17:37:30 +0200: Memory Usage (849720K) : norcx_m4m5 has 0 polygons
