t_ns,asdrawn_out,asdrawn_core,taper_out,taper_core
0.800000,0.000045,-0.007584,0.000001,-0.007358
0.800300,0.000047,-0.007118,0.000001,-0.006885
0.800600,0.000049,-0.006645,0.000001,-0.006405
0.800900,0.000050,-0.006143,0.000001,-0.005896
0.801200,0.000052,-0.005641,0.000001,-0.005386
0.801500,0.000054,-0.005117,0.000001,-0.004855
0.801800,0.000055,-0.004550,0.000001,-0.004279
0.802100,0.000057,-0.003982,0.000001,-0.003703
0.802400,0.000059,-0.003415,0.000001,-0.003128
0.802700,0.000061,-0.002847,0.000001,-0.002552
0.803000,0.000062,-0.002279,0.000001,-0.001977
0.803300,0.000064,-0.001605,0.000001,-0.001293
0.803600,0.000066,-0.000931,0.000001,-0.000609
0.803900,0.000068,-0.000257,0.000001,0.000074
0.804200,0.000070,0.000418,0.000001,0.000758
0.804500,0.000072,0.001092,0.000001,0.001441
0.804800,0.000074,0.001766,0.000001,0.002125
0.805100,0.000076,0.002484,0.000001,0.002852
0.805400,0.000078,0.003287,0.000001,0.003667
0.805700,0.000080,0.004091,0.000001,0.004481
0.806000,0.000082,0.004895,0.000001,0.005296
0.806300,0.000084,0.005699,0.000001,0.006110
0.806600,0.000086,0.006503,0.000001,0.006925
0.806900,0.000089,0.007307,0.000001,0.007739
0.807200,0.000091,0.008206,0.000001,0.008651
0.807500,0.000093,0.009154,0.000001,0.009611
0.807800,0.000096,0.010101,0.000001,0.010571
0.808100,0.000098,0.011049,0.000001,0.011531
0.808400,0.000100,0.011997,0.000001,0.012491
0.808700,0.000103,0.012944,0.000001,0.013451
0.809000,0.000105,0.013892,0.000001,0.014411
0.809300,0.000108,0.014998,0.000001,0.015532
0.809600,0.000110,0.016105,0.000001,0.016653
0.809900,0.000113,0.017211,0.000001,0.017774
0.810200,0.000115,0.018318,0.000001,0.018895
0.810500,0.000118,0.019424,0.000001,0.020016
0.810800,0.000121,0.020531,0.000001,0.021136
0.811100,0.000123,0.021695,0.000001,0.022316
0.811400,0.000126,0.022976,0.000001,0.023614
0.811700,0.000129,0.024257,0.000001,0.024912
0.812000,0.000132,0.025539,0.000001,0.026210
0.812300,0.000135,0.026820,0.000001,0.027508
0.812600,0.000138,0.028101,0.000001,0.028805
0.812900,0.000141,0.029382,0.000001,0.030103
0.813200,0.000144,0.030790,0.000001,0.031529
0.813500,0.000147,0.032261,0.000001,0.033020
0.813800,0.000150,0.033732,0.000001,0.034510
0.814100,0.000153,0.035203,0.000001,0.036000
0.814400,0.000156,0.036674,0.000001,0.037491
0.814700,0.000159,0.038146,0.000001,0.038981
0.815000,0.000162,0.039617,0.000001,0.040471
0.815300,0.000166,0.041291,0.000001,0.042168
0.815600,0.000169,0.042966,0.000001,0.043864
0.815900,0.000173,0.044641,0.000001,0.045561
0.816200,0.000176,0.046316,0.000001,0.047257
0.816500,0.000179,0.047990,0.000001,0.048954
0.816800,0.000183,0.049665,0.000001,0.050650
0.817100,0.000186,0.051402,0.000001,0.052409
0.817400,0.000190,0.053262,0.000001,0.054294
0.817700,0.000193,0.055123,0.000001,0.056178
0.818000,0.000197,0.056984,0.000001,0.058063
0.818300,0.000200,0.058845,0.000001,0.059948
0.818600,0.000204,0.060760,0.000001,0.061888
0.818900,0.000208,0.062784,0.000001,0.063937
0.819200,0.000212,0.064809,0.000001,0.065987
0.819500,0.000215,0.066833,0.000001,0.068036
0.819800,0.000219,0.068857,0.000001,0.070086
0.820100,0.000223,0.070916,0.000001,0.072170
0.820400,0.000226,0.073057,0.000001,0.074338
0.820700,0.000230,0.075228,0.000001,0.076535
0.821000,0.000234,0.077442,0.000001,0.078776
0.821300,0.000238,0.079656,0.000001,0.081017
0.821600,0.000242,0.081956,0.000001,0.083344
0.821900,0.000246,0.084299,0.000001,0.085715
0.822200,0.000249,0.086642,0.000001,0.088085
0.822500,0.000253,0.088985,0.000001,0.090456
0.822800,0.000257,0.091328,0.000001,0.092826
0.823100,0.000261,0.093734,0.000001,0.095260
0.823400,0.000265,0.096264,0.000001,0.097818
0.823700,0.000269,0.098795,0.000001,0.100377
0.824000,0.000272,0.101326,0.000001,0.102936
0.824300,0.000276,0.103857,0.000001,0.105495
0.824600,0.000280,0.106387,0.000001,0.108054
0.824900,0.000284,0.108918,0.000001,0.110613
0.825200,0.000288,0.111582,0.000001,0.113305
0.825500,0.000291,0.114313,0.000001,0.116064
0.825800,0.000295,0.117043,0.000001,0.118823
0.826100,0.000299,0.119774,0.000001,0.121581
0.826400,0.000303,0.122504,0.000001,0.124340
0.826700,0.000306,0.125235,0.000001,0.127099
0.827000,0.000310,0.127965,0.000001,0.129858
0.827300,0.000314,0.130885,0.000001,0.132806
0.827600,0.000317,0.133804,0.000001,0.135754
0.827900,0.000321,0.136724,0.000001,0.138701
0.828200,0.000325,0.139643,0.000001,0.141649
