 time                   v(gfet,source)         v(dfet,source)         i(vfet)                i(Lload)               i(vdrive)             
 0.000000000000000e+00  6.192246926084322e-06  4.999999999582821e+00  3.246958257818733e-10  3.247002666739718e-10  5.950034415506958e-12 
 1.000000000000000e-13  6.192246955015120e-06  4.999999999582746e+00  3.264659653723356e-10  3.247002667662984e-10  5.883117913186089e-12 
 2.000000000000000e-13  6.192246983945918e-06  4.999999999582900e+00  3.227000888728071e-10  3.247002666671955e-10  6.026556234302663e-12 
 4.000000000000000e-13  6.192247041807513e-06  4.999999999582829e+00  3.245901325499290e-10  3.247002665765630e-10  5.954122801353143e-12 
 8.000000000000000e-13  6.192247157530706e-06  4.999999999583088e+00  3.188915798091330e-10  3.247002657236008e-10  6.170532048646246e-12 
 1.600000000000000e-12  6.192247388977088e-06  4.999999999583095e+00  3.203410869900836e-10  3.247002635128448e-10  6.116206309860275e-12 
 3.200000000000000e-12  6.192247851869854e-06  4.999999999583064e+00  3.231832579331240e-10  3.247002592675157e-10  6.006848339047688e-12 
 6.400000000000000e-12  6.192248777655387e-06  4.999999999583570e+00  3.183089347658097e-10  3.247002402465438e-10  6.190771067440468e-12 
 9.999999999999999e-12  6.192249819164111e-06  4.999999999583740e+00  3.212079491277109e-10  3.247002103496689e-10  6.075928117837276e-12 
 1.064000000000000e-11  6.192249724807947e-06  4.999999999583937e+00  3.183089347658097e-10  3.247002027873588e-10  6.185442430603136e-12 
 1.192000000000000e-11  6.192249536095619e-06  4.999999999583535e+00  3.285549610154703e-10  3.247001915455375e-10  5.792673930587675e-12 
 1.448000000000000e-11  6.192249158670962e-06  4.999999999583567e+00  3.264801762270508e-10  3.247001713590483e-10  5.868246670927627e-12 
 1.724000000000000e-11  6.192248751760004e-06  4.999999999583732e+00  3.232258904972696e-10  3.247001470729196e-10  5.990366758407487e-12 
 2.000000000000000e-11  6.192248344849046e-06  4.999999999583712e+00  3.243485480197705e-10  3.247001224886354e-10  5.945872239660963e-12 
 2.055200000000000e-11  6.192248313618825e-06  4.999999999583665e+00  3.253290969951195e-10  3.247001178502829e-10  5.907983764751393e-12 
 2.165600000000000e-11  6.192248251158383e-06  4.999999999583847e+00  3.216484856238822e-10  3.247001071268458e-10  6.048551443775876e-12 
 2.386400000000000e-11  6.192248126237499e-06  4.999999999583626e+00  3.266364956289181e-10  3.247000881194265e-10  5.857349138051540e-12 
 2.828000000000000e-11  6.192247876395731e-06  4.999999999583961e+00  3.217408561795310e-10  3.247000418104412e-10  6.043552621239415e-12 
 3.414000000000000e-11  6.192247544857515e-06  4.999999999583913e+00  3.246753976782202e-10  3.246999785472444e-10  5.932773532429242e-12 
 4.000000000000000e-11  6.192247213319300e-06  4.999999999583931e+00  3.247251356697234e-10  3.246999139016899e-10  5.933401854693252e-12 
 4.117200000000000e-11  6.192247048452334e-06  4.999999999583935e+00  3.246469759687898e-10  3.246999007692911e-10  5.937744870440631e-12 
 4.351599999999999e-11  6.192246718718404e-06  4.999999999583976e+00  3.240927526348969e-10  3.246998738404196e-10  5.960283482042694e-12 
 4.820399999999999e-11  6.192246059250544e-06  4.999999999583958e+00  3.247890845159418e-10  3.246998201724121e-10  5.940184623484321e-12 
 5.757999999999999e-11  6.192244740314823e-06  4.999999999584426e+00  3.216946709017066e-10  3.246996846742456e-10  6.078780491122759e-12 
 6.879000000000002e-11  6.192243163387622e-06  4.999999999585564e+00  3.186571007063321e-10  3.246994230020513e-10  6.238922979585546e-12 
 8.000000000000003e-11  6.192241586460421e-06  4.999999999585532e+00  3.253681768455863e-10  3.246991320563983e-10  6.042596869919314e-12 
 8.224200000000004e-11  6.192241834670229e-06  4.999999999585668e+00  3.233822098991368e-10  3.246990673972912e-10  6.132000885793881e-12 
 8.672600000000004e-11  6.192242331089844e-06  4.999999999586133e+00  3.196518605363963e-10  3.246989244587873e-10  6.300507858492121e-12 
 9.569400000000005e-11  6.192243323929073e-06  4.999999999585900e+00  3.266080739194877e-10  3.246986437317398e-10  6.083173380170073e-12 
 1.136300000000001e-10  6.192245309607533e-06  4.999999999586858e+00  3.213358468201477e-10  3.246979760800420e-10  6.366527666385249e-12 
 1.368150000000001e-10  6.192247876398072e-06  4.999999999587468e+00  3.234763568116250e-10  3.246969646278353e-10  6.359821252532177e-12 
 1.600000000000000e-10  6.192250443188610e-06  4.999999999588065e+00  3.234585932432310e-10  3.246958022546861e-10  6.399054788656933e-12 
 1.646370000000000e-10  6.192250172541706e-06  4.999999999587542e+00  3.282210059296631e-10  3.246955809419177e-10  6.220475577776302e-12 
 1.739110000000000e-10  6.192249631247900e-06  4.999999999587907e+00  3.214388755168329e-10  3.246951138405167e-10  6.489354789206842e-12 
 1.924590000000000e-10  6.192248548660288e-06  4.999999999587891e+00  3.245084201353166e-10  3.246941635915226e-10  6.403081081844675e-12 
 2.295549999999999e-10  6.192246383485064e-06  4.999999999587021e+00  3.266240611310423e-10  3.246924426374143e-10  6.412281242009626e-12 
 2.747774999999999e-10  6.192243743991948e-06  4.999999999587950e+00  3.227365041880148e-10  3.246901447793299e-10  6.755790994987174e-12 
 3.200000000000000e-10  6.192241104498834e-06  4.999999999586338e+00  3.274305271361300e-10  3.246882641222415e-10  6.817162448696096e-12 
 3.290445000000000e-10  6.192241353915221e-06  4.999999999585584e+00  3.285869354385795e-10  3.246879986011295e-10  6.818220711331605e-12 
 3.471335000000000e-10  6.192241852747997e-06  4.999999999583708e+00  3.303846085600526e-10  3.246876725815362e-10  6.818886086204859e-12 
 3.833115000000001e-10  6.192242850413548e-06  4.999999999580555e+00  3.288285199687380e-10  3.246878679547677e-10  6.926120674167688e-12 
 4.556675000000001e-10  6.192244845744649e-06  4.999999999579459e+00  3.232933920571668e-10  3.246894081723739e-10  7.037599669690309e-12 
 5.478337500000001e-10  6.192247387374716e-06  4.999999999577800e+00  3.255848923799931e-10  3.246930497906308e-10  6.520662780345673e-12 
 6.400000000000001e-10  6.192249929004783e-06  4.999999999580897e+00  3.219393640563339e-10  3.246954458774320e-10  6.155734694765838e-12 
 6.584332500000001e-10  6.192249755939505e-06  4.999999999580781e+00  3.247517810223144e-10  3.246958299018415e-10  5.943106819389712e-12 
 6.952997500000001e-10  6.192249409808949e-06  4.999999999580059e+00  3.262119463443014e-10  3.246967683872420e-10  5.676424066035357e-12 
 7.690327500000000e-10  6.192248717547837e-06  4.999999999582605e+00  3.214637445125845e-10  3.246976546140978e-10  5.564312872225960e-12 
 9.164987500000000e-10  6.192247333025615e-06  4.999999999590661e+00  3.211400034786038e-10  3.246914438703730e-10  5.754855684873827e-12 
 1.098249375000000e-09  6.192245626613428e-06  4.999999999587057e+00  3.276015014819222e-10  3.246837521064805e-10  5.945679034833826e-12 
 1.280000000000000e-09  6.192243920201242e-06  4.999999999586398e+00  3.245310686850189e-10  3.246767212722323e-10  6.573272199987545e-12 
 1.316350125000000e-09  6.192244079372723e-06  4.999999999585825e+00  3.254116975881516e-10  3.246755897988451e-10  6.620780963403905e-12 
 1.389050375000000e-09  6.192244397715687e-06  4.999999999582061e+00  3.283897598294061e-10  3.246749900182033e-10  6.521203200918549e-12 
 1.534450875000000e-09  6.192245034401612e-06  4.999999999580782e+00  3.238893597767856e-10  3.246762780503842e-10  6.450297706985658e-12 
 1.825251875000000e-09  6.192246307773465e-06  4.999999999584174e+00  3.233893153264944e-10  3.246751235919110e-10  6.090890378868119e-12 
 2.280000000000000e-09  6.192248299043997e-06  4.999999999589731e+00  3.239757351281014e-10  3.246548915120107e-10  6.222888632341494e-12 
 2.338160200000001e-09  6.192248012727132e-06  4.999999999587491e+00  3.264757353349523e-10  3.246521762360899e-10  6.117225297272086e-12 
 2.454480600000001e-09  6.192247440093401e-06  4.999999999584286e+00  3.257492053876376e-10  3.246489895490645e-10  5.983815412570134e-12 
 2.687121400000001e-09  6.192246294825938e-06  4.999999999586356e+00  3.229962963757771e-10  3.246415115898404e-10  5.971558913586000e-12 
 2.983560700000000e-09  6.192244835484821e-06  4.999999999586834e+00  3.247113689042180e-10  3.246305290555140e-10  6.069594723741648e-12 
 3.280000000000000e-09  6.192243376143705e-06  4.999999999585722e+00  3.249511770775371e-10  3.246213055307923e-10  6.298362954229239e-12 
 3.339287860000000e-09  6.192243706632443e-06  4.999999999588882e+00  3.220304023443532e-10  3.246177346025170e-10  6.577071135979717e-12 
 3.457863580000000e-09  6.192244367609919e-06  4.999999999588554e+00  3.264037928829566e-10  3.246108373419765e-10  6.661732743131615e-12 
 3.695015020000000e-09  6.192245689564872e-06  4.999999999583358e+00  3.264257752988442e-10  3.246047640750871e-10  6.379159407741281e-12 
 3.987507510000000e-09  6.192247320007832e-06  4.999999999590694e+00  3.220594901875984e-10  3.245873830132195e-10  6.530506143449452e-12 
 4.279999999999999e-09  6.192248950450791e-06  4.999999999590158e+00  3.252680347287651e-10  3.245673851209885e-10  6.148510357534970e-12 
 4.338498497999999e-09  6.192248712077159e-06  4.999999999589349e+00  3.252589308999632e-10  3.245635986533213e-10  6.045817329842357e-12 
 4.455495493999999e-09  6.192248235329893e-06  4.999999999586447e+00  3.261741987614641e-10  3.245581000135833e-10  5.683280940044916e-12 
 4.689489485999999e-09  6.192247281835364e-06  4.999999999587901e+00  3.232416556642193e-10  3.245468034943078e-10  5.341763733819963e-12 
 4.984744742999999e-09  6.192246078709291e-06  4.999999999592540e+00  3.234510437266636e-10  3.245235226378984e-10  5.634265786130105e-12 
 5.280000000000000e-09  6.192244875583219e-06  4.999999999590259e+00  3.254667646501730e-10  3.245014326691553e-10  5.876968182938480e-12 
