NOMATCH    sg13g2_IOPadIn | SG13G2_IOPADIN
   nets 10 devices 8 pins 0 subckts 0
      net ('-', 'I0.I0.SUB!', 'MISMATCH')
      net ('-', 'I2.SUB!', 'MISMATCH')
      net ('-', 'PAD', 'MISMATCH')
      net ('$1', 'I0.SUB!', 'MISMATCH')
      net ('anode,cathode,core,pad', 'I0.NET1', 'MISMATCH')
      net ('anode,iovss', '-', 'MISMATCH')
      net ('cathode,iovdd,plus', 'IOVDD', 'MISMATCH')
      net ('guard,iovss,minus', 'IOVSS', 'MISMATCH')
      net ('vdd', 'VDD', 'MISMATCH')
      net ('vss', 'VSS', 'MISMATCH')
      dev ('-', 'I0.I0.R0', 'MISMATCH')
      dev ('-', 'I0.P0', 'MISMATCH')
      dev ('$10', 'I0.I0.D1', 'MISMATCH')
      dev ('$9', 'I2.D1', 'MISMATCH')
      dev ('$11', 'I1.D1', 'MISMATCH')
      dev ('$15', '-', 'MISMATCH')
      dev ('$13', '-', 'MISMATCH')
      dev ('$14', '-', 'MISMATCH')
