[2026-09-23 06:34:24,963] [INFO]    LVSDB input file passed, bypassing LVS
[2026-09-23 06:34:24,984] [INFO]    (29, 0) -> (via2_drw)
[2026-09-23 06:34:24,986] [INFO]    (46, 0) -> (pwell pwell_sub)
[2026-09-23 06:34:24,988] [INFO]    (8, 0) -> (metal1_con)
[2026-09-23 06:34:24,989] [INFO]    (10, 0) -> (metal2_con)
[2026-09-23 06:34:24,991] [INFO]    (30, 0) -> (metal3_con)
[2026-09-23 06:34:24,992] [INFO]    (50, 0) -> (metal4_con)
[2026-09-23 06:34:24,994] [INFO]    (134, 0) -> (topmetal2_con)
[2026-09-23 06:34:25,808] [SUBPROCESS]    Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
[2026-09-23 06:34:25,856] [SUBPROCESS]    C40;CTX_L10_0,CTX_L30_7;FILL_L8_4;0.001;
[2026-09-23 06:34:25,857] [SUBPROCESS]    C41;CTX_L10_0,CTX_L30_7;FILL_L8_5;0.001;
[2026-09-23 06:34:25,858] [SUBPROCESS]    C42;CTX_L10_0,CTX_L30_7;FILL_L8_6;0.001;
[2026-09-23 06:34:25,859] [SUBPROCESS]    C43;CTX_L10_0,CTX_L30_7;FILL_L8_7;0.001;
[2026-09-23 06:34:25,860] [SUBPROCESS]    C44;CTX_L10_0,CTX_L30_7;FILL_L8_8;0.001;
[2026-09-23 06:34:25,862] [SUBPROCESS]    C45;CTX_L10_0,CTX_L30_7;FILL_L8_9;0.001;
[2026-09-23 06:34:25,863] [SUBPROCESS]    C46;CTX_L10_0,CTX_L30_7;VSUBS;1.714;
[2026-09-23 06:34:25,864] [SUBPROCESS]    C47;CTX_L134_0;CTX_L134_1;0.632;
[2026-09-23 06:34:25,865] [SUBPROCESS]    C48;CTX_L134_0;CTX_L30_0;0.301;
[2026-09-23 06:34:25,866] [SUBPROCESS]    C49;CTX_L134_0;CTX_L8_0;0.019;
[2026-09-23 06:34:25,867] [SUBPROCESS]    C50;CTX_L134_0;CTX_L8_1;0.0;
[2026-09-23 06:34:25,869] [SUBPROCESS]    C51;CTX_L134_0;FILL_L10_0;0.009;
[2026-09-23 06:34:25,870] [SUBPROCESS]    C52;CTX_L134_0;FILL_L10_1;0.009;
[2026-09-23 06:34:25,871] [SUBPROCESS]    C53;CTX_L134_0;FILL_L10_2;0.009;
[2026-09-23 06:34:25,872] [SUBPROCESS]    C54;CTX_L134_0;FILL_L10_3;0.009;
[2026-09-23 06:34:25,873] [SUBPROCESS]    C55;CTX_L134_0;FILL_L50_0;0.001;
[2026-09-23 06:34:25,874] [SUBPROCESS]    C56;CTX_L134_0;FILL_L50_1;0.001;
[2026-09-23 06:34:25,876] [SUBPROCESS]    C57;CTX_L134_0;FILL_L50_2;0.001;
[2026-09-23 06:34:25,877] [SUBPROCESS]    C58;CTX_L134_0;VSUBS;0.787;
[2026-09-23 06:34:25,878] [SUBPROCESS]    C59;CTX_L134_1;CTX_L30_0;0.309;
[2026-09-23 06:34:25,879] [SUBPROCESS]    C60;CTX_L134_1;CTX_L30_1;0.135;
[2026-09-23 06:34:25,880] [SUBPROCESS]    C61;CTX_L134_1;CTX_L30_2;0.009;
[2026-09-23 06:34:25,881] [SUBPROCESS]    C62;CTX_L134_1;CTX_L30_3;0.018;
[2026-09-23 06:34:25,883] [SUBPROCESS]    C63;CTX_L134_1;CTX_L30_6;0.015;
[2026-09-23 06:34:25,884] [SUBPROCESS]    C64;CTX_L134_1;CTX_L8_0;0.002;
[2026-09-23 06:34:25,885] [SUBPROCESS]    C65;CTX_L134_1;FILL_L10_0;0.013;
[2026-09-23 06:34:25,886] [SUBPROCESS]    C66;CTX_L134_1;FILL_L10_1;0.015;
[2026-09-23 06:34:25,887] [SUBPROCESS]    C67;CTX_L134_1;FILL_L10_10;0.004;
[2026-09-23 06:34:25,888] [SUBPROCESS]    C68;CTX_L134_1;FILL_L10_11;0.008;
[2026-09-23 06:34:25,889] [SUBPROCESS]    C69;CTX_L134_1;FILL_L10_12;0.008;
[2026-09-23 06:34:25,891] [SUBPROCESS]    C70;CTX_L134_1;FILL_L10_2;0.015;
[2026-09-23 06:34:25,892] [SUBPROCESS]    C71;CTX_L134_1;FILL_L10_3;0.014;
[2026-09-23 06:34:25,893] [SUBPROCESS]    C72;CTX_L134_1;FILL_L10_4;0.025;
[2026-09-23 06:34:25,894] [SUBPROCESS]    C73;CTX_L134_1;FILL_L10_5;0.031;
[2026-09-23 06:34:25,895] [SUBPROCESS]    C74;CTX_L134_1;FILL_L10_6;0.031;
[2026-09-23 06:34:25,896] [SUBPROCESS]    C75;CTX_L134_1;FILL_L10_7;0.028;
[2026-09-23 06:34:25,898] [SUBPROCESS]    C76;CTX_L134_1;FILL_L10_9;0.003;
[2026-09-23 06:34:25,899] [SUBPROCESS]    C77;CTX_L134_1;FILL_L50_0;0.1;
[2026-09-23 06:34:25,900] [SUBPROCESS]    C78;CTX_L134_1;FILL_L50_1;0.1;
[2026-09-23 06:34:25,901] [SUBPROCESS]    C79;CTX_L134_1;FILL_L50_2;0.1;
[2026-09-23 06:34:25,902] [SUBPROCESS]    C80;CTX_L134_1;FILL_L50_3;0.008;
[2026-09-23 06:34:25,903] [SUBPROCESS]    C81;CTX_L134_1;FILL_L50_4;0.045;
[2026-09-23 06:34:25,905] [SUBPROCESS]    C82;CTX_L134_1;FILL_L50_5;0.045;
[2026-09-23 06:34:25,906] [SUBPROCESS]    C83;CTX_L134_1;FILL_L50_6;0.045;
