 frequency                ir                       ii                       vr                       vi                      
 1.00000000000000000e+00 -9.99999999982770782e-01  8.55604460436691638e-11  8.63725499139137654e+00  4.15163336540997404e-03 
 1.02329299228075410e+00 -9.99999999982773891e-01  8.75534049015087856e-11  8.63725499147124154e+00  4.24833732934296656e-03 
 1.04712854805089939e+00 -9.99999999982776000e-01  8.95927857185070675e-11  8.63725499155449583e+00  4.34729381796135610e-03 
 1.07151930523760619e+00 -9.99999999982777998e-01  9.16796697694906293e-11  8.63725499163019705e+00  4.44855529930527054e-03 
 1.09647819614318465e+00 -9.99999999982780330e-01  9.38151636454068183e-11  8.63725499172016065e+00  4.55217546355245889e-03 
 1.12201845430196312e+00 -9.99999999982782661e-01  9.60003995243742525e-11  8.63725499181346024e+00  4.65820925148558405e-03 
 1.14815362149688238e+00 -9.99999999982785659e-01  9.82365360932546672e-11  8.63725499190825197e+00  4.76671288362253125e-03 
 1.17489755493952908e+00 -9.99999999982788879e-01  1.00524758927123675e-10  8.63725499200998392e+00  4.87774389002529254e-03 
 1.20226443461741250e+00 -9.99999999982791654e-01  1.02866281356632505e-10  8.63725499211683356e+00  4.99136114080308939e-03 
 1.23026877081238117e+00 -9.99999999982794874e-01  1.05262344955898979e-10  8.63725499222695170e+00  5.10762487732622453e-03 
 1.25892541179416684e+00 -9.99999999982798093e-01  1.07714219867768163e-10  8.63725499234214666e+00  5.22659674416672826e-03 
 1.28824955169313360e+00 -9.99999999982801757e-01  1.10223206321695411e-10  8.63725499246421258e+00  5.34833982178314730e-03 
 1.31825673855640679e+00 -9.99999999982804866e-01  1.12790634687956470e-10  8.63725499259314411e+00  5.47291865996673860e-03 
 1.34896288259165331e+00 -9.99999999982808530e-01  1.15417866019748572e-10  8.63725499272163333e+00  5.60039931206647579e-03 
 1.38038426460288455e+00 -9.99999999982812415e-01  1.18106293462653250e-10  8.63725499286057286e+00  5.73084937001151588e-03 
 1.41253754462275394e+00 -9.99999999982816523e-01  1.20857342579896998e-10  8.63725499300994670e+00  5.86433800014928616e-03 
 1.44543977074592700e+00 -9.99999999982820853e-01  1.23672471569191700e-10  8.63725499316063505e+00  6.00093597991840835e-03 
