[INFO ODB-0227] LEF file: /foss/pdks/ihp-sg13g2/libs.ref/sg13g2_stdcell/lef/sg13g2_tech.lef, created 19 layers, 70 vias
[INFO] analog_straps: 46 via stacks added
[INFO] analog_straps: check_power_grid -net VDD
[INFO PSM-0040] All shapes on net VDD are connected.
[INFO] analog_straps: check_power_grid -net IOVDD
[WARNING PSM-0038] Unconnected shape on net IOVSS at (874.420um, 287.160um) - (876.620um, 1062.300um), layer: TopMetal1.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (924.620um, 287.160um) - (926.820um, 777.960um), layer: TopMetal1.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (924.620um, 851.360um) - (926.820um, 1062.300um), layer: TopMetal1.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (950.020um, 287.160um) - (952.220um, 1062.300um), layer: TopMetal1.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (978.920um, 397.760um) - (983.920um, 954.560um), layer: TopMetal1.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (1050.420um, 397.760um) - (1065.420um, 929.160um), layer: TopMetal1.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 423.160um) - (1065.420um, 425.360um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 498.760um) - (1065.420um, 500.960um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 574.360um) - (1065.420um, 576.560um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 649.960um) - (1065.420um, 652.160um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 775.760um) - (1065.420um, 777.960um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 801.160um) - (1065.420um, 803.360um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 851.360um) - (1065.420um, 853.560um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 876.760um) - (1065.420um, 878.960um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (284.820um, 926.960um) - (1065.420um, 929.160um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (366.320um, 725.560um) - (983.920um, 727.760um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (366.320um, 952.360um) - (983.920um, 954.560um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (395.420um, 1047.300um) - (952.220um, 1062.300um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (395.420um, 287.160um) - (952.220um, 302.160um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (773.420um, 397.760um) - (1065.420um, 399.960um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (773.420um, 624.560um) - (1065.420um, 626.760um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (773.420um, 700.160um) - (1065.420um, 702.360um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (849.020um, 473.360um) - (1065.420um, 475.560um), layer: TopMetal2.
[WARNING PSM-0038] Unconnected shape on net IOVSS at (849.020um, 548.960um) - (1065.420um, 551.160um), layer: TopMetal2.
[WARNING PSM-0039] Unconnected instance i_core.u_t2f/vss at location (592.000um, 884.300um).
[WARNING PSM-0039] Unconnected instance i_core.u_bgr/vss at location (687.000um, 863.000um).
[WARNING PSM-0039] Unconnected instance i_core.u_sense/vss at location (859.080um, 444.500um).
[ERROR PSM-0069] Check connectivity failed on IOVSS.
[WARNING] analog_straps: PSM-0069
