run	metric	value	unit
PLUS	raw_variables	223	count
PLUS	raw_points	677	count
PLUS	time_start	0	s
PLUS	time_stop	1.2e-09	s
PLUS	pbit_raw_at_900ps	1.1983757860359059	V
PLUS	pbit_out_at_900ps	-6.4435225237691185e-06	V
PLUS	pbit_raw_at_1000ps	1.1982722317708692	V
PLUS	pbit_out_at_1000ps	6.6462829242386334e-06	V
PLUS	raw_window_min	1.1980985036029546	V
PLUS	raw_window_min_time	7.5899999999999986e-10	s
PLUS	raw_window_max	1.1985587772708615	V
PLUS	raw_window_max_time	8.5899999999999993e-10	s
PLUS	out_window_min	-1.9478254988269939e-05	V
PLUS	out_window_min_time	9.2300000000000002e-10	s
PLUS	out_window_max	1.1888975876228614e-05	V
PLUS	out_window_max_time	6.0699999999999997e-10	s
PLUS	out_crossings_0p6	0	count
MINUS	raw_variables	223	count
MINUS	raw_points	677	count
MINUS	time_start	0	s
MINUS	time_stop	1.2e-09	s
MINUS	pbit_raw_at_900ps	0.0034750204346793989	V
MINUS	pbit_out_at_900ps	1.2000097245684724	V
MINUS	pbit_raw_at_1000ps	0.0032421362294089151	V
MINUS	pbit_out_at_1000ps	1.1999894623364584	V
MINUS	raw_window_min	0.0031782321279267833	V
MINUS	raw_window_min_time	8.2140000000000008e-10	s
MINUS	raw_window_max	0.0035503587149116889	V
MINUS	raw_window_max_time	7.2e-10	s
MINUS	out_window_min	1.1999767388188531	V
MINUS	out_window_min_time	6.2140000000000005e-10	s
MINUS	out_window_max	1.2000149256402419	V
MINUS	out_window_max_time	8.7499999999999987e-10	s
MINUS	out_crossings_0p6	0	count
